Symbol,Date,Open,High,Low,Close
BDIY:IND,24/12/2024,997,997,997,997
BDIY:IND,23/12/2024,994,994,994,994
BDIY:IND,20/12/2024,990,990,990,990
BDIY:IND,19/12/2024,976,976,976,976
BDIY:IND,18/12/2024,1028,1028,1028,1028
BDIY:IND,17/12/2024,1053,1053,1053,1053
BDIY:IND,16/12/2024,1071,1071,1071,1071
BDIY:IND,13/12/2024,1051,1051,1051,1051
BDIY:IND,12/12/2024,1055,1055,1055,1055
BDIY:IND,11/12/2024,1106,1106,1106,1106
BDIY:IND,10/12/2024,1156,1156,1156,1156
BDIY:IND,09/12/2024,1168,1168,1168,1168
BDIY:IND,06/12/2024,1167,1167,1167,1167
BDIY:IND,05/12/2024,1160,1160,1160,1160
BDIY:IND,04/12/2024,1180,1180,1180,1180
BDIY:IND,03/12/2024,1237,1237,1237,1237
BDIY:IND,02/12/2024,1298,1298,1298,1298
BDIY:IND,29/11/2024,1354,1354,1354,1354
BDIY:IND,28/11/2024,1419,1419,1419,1419
BDIY:IND,27/11/2024,1509,1509,1509,1509
BDIY:IND,26/11/2024,1581,1581,1581,1581
BDIY:IND,25/11/2024,1529,1529,1529,1529
BDIY:IND,22/11/2024,1537,1537,1537,1537
BDIY:IND,21/11/2024,1576,1576,1576,1576
BDIY:IND,20/11/2024,1616,1616,1616,1616
BDIY:IND,19/11/2024,1627,1627,1627,1627
BDIY:IND,18/11/2024,1756,1756,1756,1756
BDIY:IND,15/11/2024,1785,1785,1785,1785
BDIY:IND,14/11/2024,1692,1692,1692,1692
BDIY:IND,13/11/2024,1630,1630,1630,1630
BDIY:IND,12/11/2024,1634,1634,1634,1634
BDIY:IND,11/11/2024,1558,1558,1558,1558
BDIY:IND,08/11/2024,1495,1495,1495,1495
BDIY:IND,07/11/2024,1451,1451,1451,1451
BDIY:IND,06/11/2024,1427,1427,1427,1427
BDIY:IND,05/11/2024,1405,1405,1405,1405
BDIY:IND,04/11/2024,1374,1374,1374,1374
BDIY:IND,01/11/2024,1378,1378,1378,1378
BDIY:IND,31/10/2024,1388,1388,1388,1388
BDIY:IND,30/10/2024,1395,1395,1395,1395
BDIY:IND,29/10/2024,1402,1402,1402,1402
BDIY:IND,28/10/2024,1382,1382,1382,1382
BDIY:IND,25/10/2024,1410,1410,1410,1410
BDIY:IND,24/10/2024,1417,1417,1417,1417
BDIY:IND,23/10/2024,1445,1445,1445,1445
BDIY:IND,22/10/2024,1480,1480,1480,1480
BDIY:IND,21/10/2024,1546,1546,1546,1546
BDIY:IND,18/10/2024,1576,1576,1576,1576
BDIY:IND,17/10/2024,1594,1594,1594,1594
BDIY:IND,16/10/2024,1676,1676,1676,1676
BDIY:IND,15/10/2024,1766,1766,1766,1766
BDIY:IND,14/10/2024,1814,1814,1814,1814
BDIY:IND,11/10/2024,1809,1809,1809,1809
BDIY:IND,10/10/2024,1790,1790,1790,1790
BDIY:IND,09/10/2024,1799,1799,1799,1799
BDIY:IND,08/10/2024,1860,1860,1860,1860
BDIY:IND,07/10/2024,1907,1907,1907,1907
BDIY:IND,04/10/2024,1928,1928,1928,1928
BDIY:IND,03/10/2024,1941,1941,1941,1941
BDIY:IND,02/10/2024,1978,1978,1978,1978
BDIY:IND,01/10/2024,2030,2030,2030,2030
BDIY:IND,30/09/2024,2084,2084,2084,2084
BDIY:IND,27/09/2024,2110,2110,2110,2110
BDIY:IND,26/09/2024,2091,2091,2091,2091
BDIY:IND,25/09/2024,2016,2016,2016,2016
BDIY:IND,24/09/2024,2014,2014,2014,2014
BDIY:IND,23/09/2024,1999,1999,1999,1999
BDIY:IND,20/09/2024,1977,1977,1977,1977
BDIY:IND,19/09/2024,1976,1976,1976,1976
BDIY:IND,18/09/2024,1890,1890,1890,1890
BDIY:IND,17/09/2024,1901,1901,1901,1901
BDIY:IND,16/09/2024,1896,1896,1896,1896
BDIY:IND,13/09/2024,1890,1890,1890,1890
BDIY:IND,12/09/2024,1927,1927,1927,1927
BDIY:IND,11/09/2024,1963,1963,1963,1963
BDIY:IND,10/09/2024,1941,1941,1941,1941
BDIY:IND,09/09/2024,1958,1958,1958,1958
BDIY:IND,06/09/2024,1941,1941,1941,1941
BDIY:IND,05/09/2024,1919,1919,1919,1919
BDIY:IND,04/09/2024,1902,1902,1902,1902
BDIY:IND,03/09/2024,1947,1947,1947,1947
BDIY:IND,02/09/2024,1919,1919,1919,1919
BDIY:IND,30/08/2024,1814,1814,1814,1814
BDIY:IND,29/08/2024,1827,1827,1827,1827
BDIY:IND,28/08/2024,1755,1755,1755,1755
BDIY:IND,27/08/2024,1721,1721,1721,1721
BDIY:IND,23/08/2024,1762,1762,1762,1762
BDIY:IND,22/08/2024,1768,1768,1768,1768
BDIY:IND,21/08/2024,1759,1759,1759,1759
BDIY:IND,20/08/2024,1735,1735,1735,1735
BDIY:IND,19/08/2024,1708,1708,1708,1708
BDIY:IND,16/08/2024,1691,1691,1691,1691
BDIY:IND,15/08/2024,1692,1692,1692,1692
BDIY:IND,14/08/2024,1728,1728,1728,1728
BDIY:IND,13/08/2024,1670,1670,1670,1670
BDIY:IND,12/08/2024,1655,1655,1655,1655
BDIY:IND,09/08/2024,1670,1670,1670,1670
BDIY:IND,08/08/2024,1683,1683,1683,1683
BDIY:IND,07/08/2024,1698,1698,1698,1698
BDIY:IND,06/08/2024,1685,1685,1685,1685
BDIY:IND,05/08/2024,1677,1677,1677,1677
BDIY:IND,02/08/2024,1675,1675,1675,1675
BDIY:IND,01/08/2024,1668,1668,1668,1668
BDIY:IND,31/07/2024,1708,1708,1708,1708
BDIY:IND,30/07/2024,1762,1762,1762,1762
BDIY:IND,29/07/2024,1797,1797,1797,1797
BDIY:IND,26/07/2024,1808,1808,1808,1808
BDIY:IND,25/07/2024,1834,1834,1834,1834
BDIY:IND,24/07/2024,1864,1864,1864,1864
BDIY:IND,23/07/2024,1869,1869,1869,1869
BDIY:IND,22/07/2024,1896,1896,1896,1896
BDIY:IND,19/07/2024,1902,1902,1902,1902
BDIY:IND,18/07/2024,1912,1912,1912,1912
BDIY:IND,17/07/2024,1890,1890,1890,1890
BDIY:IND,16/07/2024,1942,1942,1942,1942
BDIY:IND,15/07/2024,1993,1993,1993,1993
BDIY:IND,12/07/2024,1997,1997,1997,1997
BDIY:IND,11/07/2024,1947,1947,1947,1947
BDIY:IND,10/07/2024,1939,1939,1939,1939
BDIY:IND,09/07/2024,1894,1894,1894,1894
BDIY:IND,08/07/2024,1940,1940,1940,1940
BDIY:IND,05/07/2024,1966,1966,1966,1966
BDIY:IND,04/07/2024,2021,2021,2021,2021
BDIY:IND,03/07/2024,2064,2064,2064,2064
BDIY:IND,02/07/2024,2179,2179,2179,2179
BDIY:IND,01/07/2024,2158,2158,2158,2158
BDIY:IND,28/06/2024,2050,2050,2050,2050
BDIY:IND,27/06/2024,2031,2031,2031,2031
BDIY:IND,26/06/2024,1964,1964,1964,1964
BDIY:IND,25/06/2024,1926,1926,1926,1926
BDIY:IND,24/06/2024,1973,1973,1973,1973
BDIY:IND,21/06/2024,1997,1997,1997,1997
BDIY:IND,20/06/2024,1984,1984,1984,1984
BDIY:IND,19/06/2024,1943,1943,1943,1943
BDIY:IND,18/06/2024,1961,1961,1961,1961
BDIY:IND,17/06/2024,1948,1948,1948,1948
BDIY:IND,14/06/2024,1948,1948,1948,1948
BDIY:IND,13/06/2024,1942,1942,1942,1942
BDIY:IND,12/06/2024,1836,1836,1836,1836
BDIY:IND,11/06/2024,1831,1831,1831,1831
BDIY:IND,10/06/2024,1883,1883,1883,1883
BDIY:IND,07/06/2024,1881,1881,1881,1881
BDIY:IND,06/06/2024,1869,1869,1869,1869
BDIY:IND,05/06/2024,1852,1852,1852,1852
BDIY:IND,04/06/2024,1813,1813,1813,1813
BDIY:IND,03/06/2024,1808,1808,1808,1808
BDIY:IND,31/05/2024,1815,1815,1815,1815
BDIY:IND,30/05/2024,1801,1801,1801,1801
BDIY:IND,29/05/2024,1790,1790,1790,1790
BDIY:IND,28/05/2024,1784,1784,1784,1784
BDIY:IND,24/05/2024,1797,1797,1797,1797
BDIY:IND,23/05/2024,1796,1796,1796,1796
BDIY:IND,22/05/2024,1804,1804,1804,1804
