Symbol,Date,Open,High,Low,Close
CO1:COM,31/12/2024,74.45,74.84,74.22,74.7595
CO1:COM,30/12/2024,74.2,74.5,73.79,73.99
CO1:COM,27/12/2024,73.63,73.92,73.26,73.79
CO1:COM,26/12/2024,73.64,73.73,72.56,72.85
CO1:COM,25/12/2024,73.6159,73.617,73.609,73.617
CO1:COM,24/12/2024,73.08,73.41,72.85,73.17
CO1:COM,23/12/2024,72.69,73.04,71.98,72.63
CO1:COM,20/12/2024,72.28,73.28,71.99,72.94
CO1:COM,19/12/2024,73.72,73.85,72.53,72.88
CO1:COM,18/12/2024,73.57,74.19,72.8,73.39
CO1:COM,17/12/2024,73.06,73.39,72.46,73.19
CO1:COM,16/12/2024,74.2,74.34,73.71,73.91
CO1:COM,13/12/2024,73.76,74.59,73.74,74.49
CO1:COM,12/12/2024,73.14,73.81,72.43,73.41
CO1:COM,11/12/2024,72.98,73.74,72.56,73.52
CO1:COM,10/12/2024,72.14,72.72,71.92,72.19
CO1:COM,09/12/2024,72.01,72.65,71.88,72.14
CO1:COM,06/12/2024,71.36,71.54,70.83,71.12
CO1:COM,05/12/2024,72.71,72.9,71.99,72.09
CO1:COM,04/12/2024,74.09,74.1,72.25,72.31
CO1:COM,03/12/2024,72.87,73.9,72.51,73.62
CO1:COM,02/12/2024,72.64,72.69,71.52,71.83
CO1:COM,29/11/2024,73,73.33,72.22,72.38
CO1:COM,28/11/2024,72.8233,73.4532,72.4077,73.0553
CO1:COM,27/11/2024,72.18,72.81,71.7,72.3
CO1:COM,26/11/2024,72.98,73.79,71.64,72.32
CO1:COM,25/11/2024,73.34,73.72,72.3,72.48
CO1:COM,22/11/2024,74.09,75.42,73.93,75.17
CO1:COM,21/11/2024,74.14,74.37,73.49,74.23
CO1:COM,20/11/2024,73.82,73.82,72.7,72.81
CO1:COM,19/11/2024,73.59,73.87,72.61,73.31
CO1:COM,18/11/2024,72.23,73.46,72.16,73.3
CO1:COM,15/11/2024,72,72.46,70.84,71.04
CO1:COM,14/11/2024,73.15,73.17,71.95,72.56
