Symbol,Date,Open,High,Low,Close
DCE:COM,30/12/2024,3622,3622,3555,3579
DCE:COM,27/12/2024,3618,3649,3605,3626
DCE:COM,26/12/2024,4400,4452,4353,4452
DCE:COM,25/12/2024,4388,4400,4350,4372
DCE:COM,24/12/2024,4490,4500,4388,4409
DCE:COM,23/12/2024,4475,4500,4475,4480
DCE:COM,20/12/2024,4540,4549,4540,4544
DCE:COM,19/12/2024,4530,4540,4530,4535
DCE:COM,18/12/2024,4520,4520,4520,4520
DCE:COM,17/12/2024,4545,4549,4497,4539
DCE:COM,16/12/2024,4450,4555,4450,4544
DCE:COM,13/12/2024,4455,4494,4441,4452
DCE:COM,12/12/2024,4450,4507,4438,4468
DCE:COM,11/12/2024,4488,4488,4440,4458
DCE:COM,10/12/2024,4490,4500,4461,4482
DCE:COM,09/12/2024,4400,4481,4400,4448
DCE:COM,06/12/2024,4450,4480,4400,4437
DCE:COM,05/12/2024,4451,4501,4437,4493
DCE:COM,04/12/2024,4462,4550,4433,4488
DCE:COM,03/12/2024,4452,4528,4428,4485
DCE:COM,02/12/2024,4490,4590,4428,4537
DCE:COM,29/11/2024,4118,4319,4112,4230
DCE:COM,28/11/2024,4070,4122,4054,4075
DCE:COM,27/11/2024,4042,4082,4035,4063
DCE:COM,26/11/2024,3992,3992,3992,3992
DCE:COM,25/11/2024,4045,4100,4045,4068
DCE:COM,22/11/2024,3946,4050,3944,3975
DCE:COM,21/11/2024,3945,3945,3945,3945
DCE:COM,20/11/2024,3931,3944,3930,3931
DCE:COM,19/11/2024,3975,3975,3975,3975
DCE:COM,18/11/2024,3999,3999,3960,3975
DCE:COM,15/11/2024,4025,4025,3966,3994
DCE:COM,14/11/2024,3987,3987,3987,3987
DCE:COM,13/11/2024,4010,4010,3965,3987
DCE:COM,12/11/2024,4050,4050,3999,4012
DCE:COM,11/11/2024,4050,4050,4044,4046
DCE:COM,08/11/2024,4050,4055,4010,4038
DCE:COM,07/11/2024,3999,4014,3980,3998
DCE:COM,06/11/2024,4050,4067,3971,3996
DCE:COM,05/11/2024,4050,4050,4050,4050
DCE:COM,04/11/2024,4038,4099,4023,4058
DCE:COM,01/11/2024,3925,4212,3921,4055
DCE:COM,31/10/2024,3980,3993,3935,3974
DCE:COM,30/10/2024,3919,3998,3900,3959
DCE:COM,29/10/2024,3926,3926,3885,3899
DCE:COM,28/10/2024,4295,4300,4200,4238
DCE:COM,25/10/2024,4285,4399,4285,4318
DCE:COM,24/10/2024,4215,4252,4215,4224
DCE:COM,23/10/2024,4205,4220,4205,4211
DCE:COM,22/10/2024,4205,4205,4205,4205
DCE:COM,21/10/2024,4198,4239,4145,4205
DCE:COM,18/10/2024,4144,4144,4052,4116
DCE:COM,17/10/2024,4057,4057,4057,4057
DCE:COM,16/10/2024,4080,4082,4005,4056
DCE:COM,15/10/2024,3981,4000,3945,3976
DCE:COM,14/10/2024,3990,4065,3940,4032
DCE:COM,11/10/2024,3910,3940,3910,3927
DCE:COM,10/10/2024,3885,3899,3878,3889
DCE:COM,09/10/2024,3790,3885,3790,3848
