Symbol,Date,Open,High,Low,Close
CHE:COM,31/12/2024,1.925,1.948,1.8899,1.8938
CHE:COM,30/12/2024,1.883,1.92,1.883,1.915
CHE:COM,28/12/2024,1.836,1.882,1.836,1.879
CHE:COM,27/12/2024,1.836,1.89,1.836,1.882
CHE:COM,26/12/2024,1.851,1.856,1.831,1.836
CHE:COM,25/12/2024,1.7641,1.7641,1.7592,1.7601
CHE:COM,24/12/2024,1.839,1.851,1.826,1.846
CHE:COM,23/12/2024,1.853,1.856,1.834,1.849
CHE:COM,21/12/2024,1.856,1.856,1.854,1.854
CHE:COM,20/12/2024,1.856,1.869,1.842,1.854
CHE:COM,19/12/2024,1.862,1.864,1.815,1.82
CHE:COM,18/12/2024,1.904,1.917,1.85,1.875
CHE:COM,17/12/2024,1.89,1.92,1.889,1.909
CHE:COM,16/12/2024,1.848,1.895,1.848,1.895
CHE:COM,14/12/2024,1.86,1.86,1.854,1.854
CHE:COM,13/12/2024,1.86,1.9,1.848,1.854
CHE:COM,12/12/2024,1.808,1.877,1.808,1.875
CHE:COM,11/12/2024,1.78,1.817,1.779,1.807
CHE:COM,10/12/2024,1.78,1.784,1.758,1.784
CHE:COM,09/12/2024,1.795,1.805,1.78,1.784
CHE:COM,08/12/2024,1.795,1.795,1.795,1.795
CHE:COM,06/12/2024,1.76,1.799,1.748,1.794
CHE:COM,05/12/2024,1.78,1.784,1.74,1.765
CHE:COM,04/12/2024,1.754,1.787,1.745,1.782
CHE:COM,03/12/2024,1.753,1.776,1.75,1.772
CHE:COM,02/12/2024,1.739,1.761,1.737,1.75
CHE:COM,29/11/2024,1.791,1.791,1.729,1.749
CHE:COM,27/11/2024,1.791,1.791,1.729,1.749
CHE:COM,26/11/2024,1.783,1.785,1.757,1.783
CHE:COM,25/11/2024,1.745,1.78,1.737,1.75
CHE:COM,22/11/2024,1.77,1.777,1.75,1.753
CHE:COM,21/11/2024,1.802,1.811,1.77,1.777
CHE:COM,20/11/2024,1.818,1.819,1.794,1.818
CHE:COM,19/11/2024,1.85,1.876,1.783,1.805
CHE:COM,18/11/2024,1.79,1.845,1.786,1.843
CHE:COM,17/11/2024,1.79,1.79,1.786,1.788
