Symbol,Date,Open,High,Low,Close
XAL1:COM,30/12/2024,124.55,124.55,124.55,124.55
XAL1:COM,27/12/2024,125,125,125,125
XAL1:COM,26/12/2024,125,125,125,125
XAL1:COM,24/12/2024,125,125,125,125
XAL1:COM,23/12/2024,125.5,125.5,125.5,125.5
XAL1:COM,20/12/2024,127.3,127.3,127.3,127.3
XAL1:COM,19/12/2024,127.75,127.75,127.75,127.75
XAL1:COM,18/12/2024,128.6,128.6,128.6,128.6
XAL1:COM,17/12/2024,130.35,130.35,130.35,130.35
XAL1:COM,16/12/2024,128.75,128.75,128.75,128.75
XAL1:COM,13/12/2024,130.75,130.75,130.75,130.75
XAL1:COM,12/12/2024,133,133,133,133
XAL1:COM,11/12/2024,132.5,132.5,132.5,132.5
XAL1:COM,10/12/2024,133.25,133.25,133.25,133.25
XAL1:COM,09/12/2024,133.25,133.25,133.25,133.25
XAL1:COM,06/12/2024,132.4,132.4,132.4,132.4
XAL1:COM,05/12/2024,132.6,132.6,132.6,132.6
XAL1:COM,04/12/2024,134,134,134,134
XAL1:COM,03/12/2024,135.15,135.15,135.15,135.15
XAL1:COM,02/12/2024,136,136,136,136
XAL1:COM,29/11/2024,138.9,138.9,138.9,138.9
XAL1:COM,28/11/2024,139.45,139.45,139.45,139.45
XAL1:COM,27/11/2024,140.7,140.7,140.7,140.7
XAL1:COM,26/11/2024,141,141,141,141
XAL1:COM,25/11/2024,141,141,141,141
XAL1:COM,22/11/2024,141.25,141.25,141.25,141.25
XAL1:COM,21/11/2024,141.5,141.5,141.5,141.5
XAL1:COM,20/11/2024,141.5,141.5,141.5,141.5
XAL1:COM,19/11/2024,141.25,141.25,141.25,141.25
XAL1:COM,18/11/2024,141.75,141.75,141.75,141.75
XAL1:COM,15/11/2024,141.75,141.75,141.75,141.75
XAL1:COM,14/11/2024,141.5,141.5,141.5,141.5
XAL1:COM,13/11/2024,141.5,141.5,141.5,141.5
XAL1:COM,12/11/2024,142.25,142.25,142.25,142.25
XAL1:COM,11/11/2024,142.25,142.25,142.25,142.25
XAL1:COM,08/11/2024,143.35,143.35,143.35,143.35
XAL1:COM,07/11/2024,142.2,142.2,142.2,142.2
XAL1:COM,06/11/2024,141.1,141.1,141.1,141.1
XAL1:COM,05/11/2024,142.9,142.9,142.9,142.9
XAL1:COM,04/11/2024,143.9,143.9,143.9,143.9
XAL1:COM,01/11/2024,143.95,143.95,143.95,143.95
XAL1:COM,31/10/2024,144.05,144.05,144.05,144.05
XAL1:COM,30/10/2024,145,145,145,145
XAL1:COM,29/10/2024,145.25,145.25,145.25,145.25
XAL1:COM,28/10/2024,144.5,144.5,144.5,144.5
XAL1:COM,25/10/2024,145.9,145.9,145.9,145.9
XAL1:COM,24/10/2024,145.9,145.9,145.9,145.9
XAL1:COM,23/10/2024,145,145,145,145
XAL1:COM,22/10/2024,144,144,144,144
XAL1:COM,21/10/2024,145.6,145.6,145.6,145.6
XAL1:COM,18/10/2024,145.9,145.9,145.9,145.9
XAL1:COM,17/10/2024,147.6,147.6,147.6,147.6
XAL1:COM,16/10/2024,147.4,147.4,147.4,147.4
XAL1:COM,15/10/2024,148.75,148.75,148.75,148.75
XAL1:COM,14/10/2024,150.9,150.9,150.9,150.9
XAL1:COM,11/10/2024,149.4,149.4,149.4,149.4
XAL1:COM,10/10/2024,150.25,150.25,150.25,150.25
XAL1:COM,09/10/2024,147,147,147,147
XAL1:COM,08/10/2024,150.8,150.8,150.8,150.8
XAL1:COM,07/10/2024,153,153,153,153
XAL1:COM,04/10/2024,149.6,149.6,149.6,149.6
XAL1:COM,03/10/2024,142.6,142.6,142.6,142.6
XAL1:COM,02/10/2024,141.55,141.55,141.55,141.55
XAL1:COM,01/10/2024,142.65,142.65,142.65,142.65
XAL1:COM,30/09/2024,146.55,146.55,146.55,146.55
XAL1:COM,26/09/2024,139.6,139.6,139.6,139.6
XAL1:COM,25/09/2024,139.75,139.75,139.75,139.75
XAL1:COM,24/09/2024,139.5,139.5,139.5,139.5
XAL1:COM,23/09/2024,139.5,139.5,139.5,139.5
XAL1:COM,20/09/2024,139.5,139.5,139.5,139.5
XAL1:COM,19/09/2024,139.5,139.5,139.5,139.5
XAL1:COM,18/09/2024,139,139,139,139
XAL1:COM,17/09/2024,139.65,139.65,139.65,139.65
XAL1:COM,16/09/2024,137.25,137.25,137.25,137.25
XAL1:COM,13/09/2024,137.9,137.9,137.9,137.9
XAL1:COM,12/09/2024,138.15,138.15,138.15,138.15
XAL1:COM,11/09/2024,139,139,139,139
XAL1:COM,10/09/2024,138.75,138.75,138.75,138.75
XAL1:COM,09/09/2024,141.65,141.65,141.65,141.65
XAL1:COM,06/09/2024,141.5,141.5,141.5,141.5
XAL1:COM,05/09/2024,141,141,141,141
XAL1:COM,04/09/2024,139.5,139.5,139.5,139.5
XAL1:COM,03/09/2024,142,142,142,142
XAL1:COM,02/09/2024,143.9,143.9,143.9,143.9
XAL1:COM,30/08/2024,143.75,143.75,143.75,143.75
XAL1:COM,29/08/2024,143.25,143.25,143.25,143.25
XAL1:COM,28/08/2024,145,145,145,145
XAL1:COM,27/08/2024,146,146,146,146
XAL1:COM,26/08/2024,145.7,145.7,145.7,145.7
XAL1:COM,23/08/2024,145.2,145.2,145.2,145.2
XAL1:COM,22/08/2024,146.75,146.75,146.75,146.75
XAL1:COM,21/08/2024,145.9,145.9,145.9,145.9
XAL1:COM,20/08/2024,146,146,146,146
XAL1:COM,19/08/2024,146.5,146.5,146.5,146.5
XAL1:COM,16/08/2024,146.75,146.75,146.75,146.75
XAL1:COM,15/08/2024,150,150,150,150
XAL1:COM,14/08/2024,145.75,145.75,145.75,145.75
XAL1:COM,13/08/2024,146.9,146.9,146.9,146.9
XAL1:COM,12/08/2024,146.75,146.75,146.75,146.75
XAL1:COM,09/08/2024,146,146,146,146
XAL1:COM,08/08/2024,145.5,145.5,145.5,145.5
XAL1:COM,07/08/2024,145,145,145,145
XAL1:COM,06/08/2024,145.5,145.5,145.5,145.5
XAL1:COM,05/08/2024,143.7,143.7,143.7,143.7
XAL1:COM,02/08/2024,144.1,144.1,144.1,144.1
XAL1:COM,01/08/2024,142.55,142.55,142.55,142.55
XAL1:COM,31/07/2024,140.1,140.1,140.1,140.1
XAL1:COM,30/07/2024,139.25,139.25,139.25,139.25
XAL1:COM,29/07/2024,140.1,140.1,140.1,140.1
XAL1:COM,26/07/2024,139.25,139.25,139.25,139.25
XAL1:COM,25/07/2024,138.4,138.4,138.4,138.4
XAL1:COM,24/07/2024,134.75,134.75,134.75,134.75
XAL1:COM,23/07/2024,134.7,134.7,134.7,134.7
XAL1:COM,22/07/2024,135,135,135,135
XAL1:COM,19/07/2024,135.1,135.1,135.1,135.1
XAL1:COM,18/07/2024,135,135,135,135
XAL1:COM,17/07/2024,134.75,134.75,134.75,134.75
XAL1:COM,16/07/2024,134.4,134.4,134.4,134.4
XAL1:COM,15/07/2024,134.95,134.95,134.95,134.95
XAL1:COM,12/07/2024,133.85,133.85,133.85,133.85
XAL1:COM,11/07/2024,133.75,133.75,133.75,133.75
XAL1:COM,10/07/2024,133.75,133.75,133.75,133.75
XAL1:COM,09/07/2024,135.25,135.25,135.25,135.25
XAL1:COM,08/07/2024,135.05,135.05,135.05,135.05
XAL1:COM,05/07/2024,135.75,135.75,135.75,135.75
XAL1:COM,04/07/2024,136.5,136.5,136.5,136.5
XAL1:COM,03/07/2024,135,135,135,135
XAL1:COM,02/07/2024,132.25,132.25,132.25,132.25
XAL1:COM,01/07/2024,132.1,132.1,132.1,132.1
XAL1:COM,28/06/2024,133.2,133.2,133.2,133.2
XAL1:COM,27/06/2024,132.6,132.6,132.6,132.6
XAL1:COM,26/06/2024,133,133,133,133
XAL1:COM,25/06/2024,133.5,133.5,133.5,133.5
XAL1:COM,24/06/2024,131.9,131.9,131.9,131.9
XAL1:COM,21/06/2024,132.5,132.5,132.5,132.5
XAL1:COM,20/06/2024,134.75,134.75,134.75,134.75
XAL1:COM,19/06/2024,136,136,136,136
XAL1:COM,18/06/2024,134.9,134.9,134.9,134.9
XAL1:COM,17/06/2024,135.5,135.5,135.5,135.5
XAL1:COM,14/06/2024,135.15,135.15,135.15,135.15
XAL1:COM,13/06/2024,136.4,136.4,136.4,136.4
XAL1:COM,12/06/2024,135.45,135.45,135.45,135.45
XAL1:COM,11/06/2024,133.35,133.35,133.35,133.35
XAL1:COM,10/06/2024,133.7,133.7,133.7,133.7
XAL1:COM,07/06/2024,133,133,133,133
XAL1:COM,06/06/2024,135.9,135.9,135.9,135.9
XAL1:COM,05/06/2024,137,137,137,137
XAL1:COM,04/06/2024,139.8,139.8,139.8,139.8
XAL1:COM,03/06/2024,144.45,144.45,144.45,144.45
XAL1:COM,31/05/2024,143.9,143.9,143.9,143.9
XAL1:COM,30/05/2024,143.2,143.2,143.2,143.2
XAL1:COM,29/05/2024,142.1,142.1,142.1,142.1
XAL1:COM,28/05/2024,142,142,142,142
XAL1:COM,27/05/2024,143.3,143.3,143.3,143.3
XAL1:COM,24/05/2024,143.3,143.3,143.3,143.3
XAL1:COM,23/05/2024,144.9,144.9,144.9,144.9
XAL1:COM,22/05/2024,142.95,142.95,142.95,142.95
XAL1:COM,21/05/2024,142.8,142.8,142.8,142.8
XAL1:COM,20/05/2024,142.2,142.2,142.2,142.2
XAL1:COM,17/05/2024,142.15,142.15,142.15,142.15
XAL1:COM,16/05/2024,143.75,143.75,143.75,143.75
XAL1:COM,15/05/2024,141.5,141.5,141.5,141.5
XAL1:COM,14/05/2024,140.65,140.65,140.65,140.65
XAL1:COM,13/05/2024,142.05,142.05,142.05,142.05
XAL1:COM,10/05/2024,144,144,144,144
XAL1:COM,09/05/2024,143.95,143.95,143.95,143.95
XAL1:COM,08/05/2024,146.1,146.1,146.1,146.1
XAL1:COM,07/05/2024,146.6,146.6,146.6,146.6
XAL1:COM,06/05/2024,146.1,146.1,146.1,146.1
XAL1:COM,03/05/2024,145.6,145.6,145.6,145.6
XAL1:COM,02/05/2024,147.75,147.75,147.75,147.75
XAL1:COM,01/05/2024,147,147,147,147
XAL1:COM,30/04/2024,142.25,142.25,142.25,142.25
XAL1:COM,29/04/2024,137.4,137.4,137.4,137.4
XAL1:COM,26/04/2024,134.5,134.5,134.5,134.5
XAL1:COM,25/04/2024,135.75,135.75,135.75,135.75
XAL1:COM,24/04/2024,135.5,135.5,135.5,135.5
XAL1:COM,23/04/2024,136.75,136.75,136.75,136.75
XAL1:COM,22/04/2024,138,138,138,138
XAL1:COM,19/04/2024,141.75,141.75,141.75,141.75
XAL1:COM,18/04/2024,141,141,141,141
XAL1:COM,17/04/2024,139.5,139.5,139.5,139.5
XAL1:COM,16/04/2024,136.4,136.4,136.4,136.4
XAL1:COM,15/04/2024,136.5,136.5,136.5,136.5
XAL1:COM,12/04/2024,133.75,133.75,133.75,133.75
XAL1:COM,11/04/2024,132,132,132,132
XAL1:COM,10/04/2024,128,128,128,128
XAL1:COM,09/04/2024,127,127.75,127,127.75
XAL1:COM,08/04/2024,128.2,128.2,128.2,128.2
XAL1:COM,05/04/2024,129.1,129.1,129.1,129.1
XAL1:COM,04/04/2024,128.2,128.2,128.2,128.2
XAL1:COM,03/04/2024,129.65,129.65,129.65,129.65
XAL1:COM,02/04/2024,132.25,132.25,132.25,132.25
XAL1:COM,01/04/2024,132,132,132,132
XAL1:COM,28/03/2024,129.1,129.1,129.1,129.1
XAL1:COM,27/03/2024,129,129,129,129
XAL1:COM,26/03/2024,128.9,128.9,128.9,128.9
XAL1:COM,25/03/2024,128.95,128.95,128.95,128.95
