Symbol,Date,Open,High,Low,Close
HG1:COM,31/12/2024,4.046,4.0529,3.9665,3.9805
HG1:COM,30/12/2024,4.0505,4.0505,4.0335,4.0455
HG1:COM,27/12/2024,4.0805,4.0805,4.0685,4.073
HG1:COM,26/12/2024,4.08,4.096,4.078,4.081
HG1:COM,25/12/2024,4.0483,4.0484,4.0478,4.0478
HG1:COM,24/12/2024,4.052,4.0665,4.052,4.061
HG1:COM,23/12/2024,4.04,4.0465,4.028,4.0345
HG1:COM,20/12/2024,4.0365,4.044,4.0315,4.041
HG1:COM,19/12/2024,4.0295,4.0295,4.02,4.0205
HG1:COM,18/12/2024,4.1045,4.1065,4.038,4.1
HG1:COM,17/12/2024,4.084,4.093,4.0835,4.0915
HG1:COM,16/12/2024,4.151,4.151,4.1425,4.1435
HG1:COM,13/12/2024,4.151,4.151,4.1395,4.149
HG1:COM,12/12/2024,4.1885,4.195,4.17,4.195
HG1:COM,11/12/2024,4.215,4.224,4.2035,4.214
HG1:COM,10/12/2024,4.208,4.2275,4.208,4.2235
HG1:COM,09/12/2024,4.222,4.234,4.2035,4.2235
HG1:COM,06/12/2024,4.15,4.1565,4.136,4.1385
HG1:COM,05/12/2024,4.1315,4.14,4.125,4.135
HG1:COM,04/12/2024,4.153,4.153,4.1335,4.142
HG1:COM,03/12/2024,4.1665,4.1665,4.139,4.146
HG1:COM,02/12/2024,4.079,4.091,4.06,4.0755
HG1:COM,29/11/2024,4.0765,4.0825,4.0765,4.0805
HG1:COM,28/11/2024,4.0645,4.071,4.0645,4.067
HG1:COM,27/11/2024,4.074,4.088,4.063,4.067
HG1:COM,26/11/2024,4.087,4.087,4.045,4.049
HG1:COM,25/11/2024,4.119,4.123,4.088,4.1
HG1:COM,22/11/2024,4.0855,4.098,4.071,4.086
HG1:COM,21/11/2024,4.1295,4.148,4.097,4.125
HG1:COM,20/11/2024,4.1445,4.146,4.13,4.1435
HG1:COM,19/11/2024,4.0985,4.161,4.095,4.13
HG1:COM,18/11/2024,4.1105,4.116,4.104,4.108
HG1:COM,15/11/2024,4.1,4.1,4.0485,4.051
HG1:COM,14/11/2024,4.0665,4.073,4.058,4.073
HG1:COM,13/11/2024,4.0825,4.093,4.0615,4.066
HG1:COM,12/11/2024,4.135,4.1355,4.1175,4.1195
HG1:COM,11/11/2024,4.24,4.24,4.211,4.211
HG1:COM,08/11/2024,4.282,4.2915,4.2755,4.2865
HG1:COM,07/11/2024,4.4105,4.4115,4.4065,4.41
HG1:COM,06/11/2024,4.23,4.241,4.2075,4.2225
HG1:COM,05/11/2024,4.458,4.458,4.433,4.4505
HG1:COM,04/11/2024,4.4075,4.416,4.4035,4.407
HG1:COM,01/11/2024,4.355,4.355,4.33,4.3475
HG1:COM,31/10/2024,4.34,4.34,4.3025,4.3135
HG1:COM,30/10/2024,4.319,4.3415,4.3145,4.3275
HG1:COM,29/10/2024,4.3395,4.3435,4.3225,4.336
HG1:COM,28/10/2024,4.3215,4.344,4.3215,4.3365
HG1:COM,25/10/2024,4.355,4.36,4.34,4.344
HG1:COM,24/10/2024,4.339,4.341,4.302,4.325
HG1:COM,23/10/2024,4.304,4.3135,4.2945,4.3045
HG1:COM,22/10/2024,4.3565,4.3565,4.348,4.348
HG1:COM,21/10/2024,4.3515,4.3515,4.319,4.323
HG1:COM,18/10/2024,4.3385,4.346,4.333,4.346
HG1:COM,17/10/2024,4.2975,4.2975,4.285,4.2865
HG1:COM,16/10/2024,4.331,4.3325,4.314,4.3315
HG1:COM,15/10/2024,4.3005,4.302,4.293,4.3005
HG1:COM,14/10/2024,4.399,4.399,4.35,4.3635
HG1:COM,11/10/2024,4.4305,4.4515,4.4295,4.4515
HG1:COM,10/10/2024,4.4015,4.4025,4.385,4.385
HG1:COM,09/10/2024,4.365,4.368,4.355,4.355
HG1:COM,08/10/2024,4.433,4.433,4.4065,4.412
HG1:COM,07/10/2024,4.4955,4.519,4.4955,4.519
HG1:COM,04/10/2024,4.539,4.539,4.5165,4.5225
HG1:COM,03/10/2024,4.4755,4.502,4.4755,4.502
HG1:COM,02/10/2024,4.5765,4.6055,4.5685,4.596
HG1:COM,01/10/2024,4.538,4.538,4.511,4.5355
HG1:COM,30/09/2024,4.4685,4.5,4.4685,4.496
HG1:COM,27/09/2024,4.574,4.574,4.521,4.541
HG1:COM,26/09/2024,4.521,4.5905,4.5095,4.5825
HG1:COM,25/09/2024,4.451,4.4625,4.4255,4.431
HG1:COM,24/09/2024,4.417,4.469,4.4135,4.433
HG1:COM,23/09/2024,4.283,4.299,4.282,4.2925
HG1:COM,20/09/2024,4.268,4.282,4.261,4.2815
HG1:COM,19/09/2024,4.3005,4.3005,4.2695,4.286
HG1:COM,18/09/2024,4.2395,4.27,4.2255,4.238
HG1:COM,17/09/2024,4.2175,4.233,4.2075,4.2135
HG1:COM,16/09/2024,4.225,4.247,4.2075,4.213
HG1:COM,13/09/2024,4.168,4.184,4.159,4.175
HG1:COM,12/09/2024,4.1225,4.1455,4.1225,4.133
HG1:COM,11/09/2024,4.082,4.1,4.082,4.083
HG1:COM,10/09/2024,4.0405,4.0495,4.033,4.0405
HG1:COM,09/09/2024,4.067,4.085,4.0525,4.0845
HG1:COM,06/09/2024,4.057,4.057,4.0045,4.0145
HG1:COM,05/09/2024,4.0785,4.1035,4.072,4.0775
HG1:COM,04/09/2024,4.026,4.043,4.019,4.0195
HG1:COM,03/09/2024,4.01,4.0345,3.993,4.032
HG1:COM,02/09/2024,4.1475,4.1527,3.991,3.993
HG1:COM,30/08/2024,4.1545,4.166,4.1425,4.145
HG1:COM,29/08/2024,4.1255,4.155,4.1225,4.1475
HG1:COM,28/08/2024,4.1695,4.175,4.135,4.1495
HG1:COM,27/08/2024,4.2355,4.2535,4.228,4.2375
HG1:COM,26/08/2024,4.2205,4.226,4.1945,4.2185
HG1:COM,23/08/2024,4.1615,4.225,4.1565,4.201
HG1:COM,22/08/2024,4.204,4.2175,4.127,4.148
HG1:COM,21/08/2024,4.154,4.215,4.135,4.19
HG1:COM,20/08/2024,4.1965,4.207,4.1385,4.1585
HG1:COM,19/08/2024,4.15,4.2005,4.1415,4.1805
HG1:COM,16/08/2024,4.1425,4.1635,4.095,4.1435
HG1:COM,15/08/2024,4.042,4.1635,4.0285,4.151
HG1:COM,14/08/2024,4.061,4.096,4.0335,4.04
HG1:COM,13/08/2024,4.068,4.0725,4.0105,4.0515
HG1:COM,12/08/2024,3.983,4.093,3.971,4.0685
HG1:COM,09/08/2024,3.9835,4.049,3.974,3.993
HG1:COM,08/08/2024,3.9315,3.984,3.9235,3.959
HG1:COM,07/08/2024,4.008,4.016,3.921,3.952
HG1:COM,06/08/2024,4.004,4.06,3.96,4.027
HG1:COM,05/08/2024,4.122,4.15,3.9305,3.999
HG1:COM,02/08/2024,4.0675,4.1345,4.055,4.103
HG1:COM,01/08/2024,4.1945,4.2235,4.055,4.0825
HG1:COM,31/07/2024,4.095,4.2095,4.0865,4.1765
HG1:COM,30/07/2024,4.094,4.1,4.03,4.084
HG1:COM,29/07/2024,4.1115,4.15,4.061,4.0845
HG1:COM,26/07/2024,4.1165,4.156,4.1,4.124
HG1:COM,25/07/2024,4.082,4.156,4.036,4.1255
HG1:COM,24/07/2024,4.166,4.178,4.076,4.109
HG1:COM,23/07/2024,4.1945,4.214,4.1355,4.1605
HG1:COM,22/07/2024,4.236,4.2615,4.162,4.1975
HG1:COM,19/07/2024,4.262,4.291,4.228,4.2365
HG1:COM,18/07/2024,4.415,4.428,4.2525,4.2795
HG1:COM,17/07/2024,4.457,4.4835,4.401,4.4085
HG1:COM,16/07/2024,4.512,4.525,4.4285,4.4495
HG1:COM,15/07/2024,4.5815,4.6025,4.5015,4.5265
HG1:COM,12/07/2024,4.5275,4.6015,4.476,4.593
HG1:COM,11/07/2024,4.594,4.6255,4.5025,4.5065
HG1:COM,10/07/2024,4.583,4.657,4.5475,4.6085
HG1:COM,09/07/2024,4.6065,4.6515,4.551,4.5775
HG1:COM,08/07/2024,4.671,4.671,4.5885,4.618
HG1:COM,05/07/2024,4.5655,4.6995,4.5565,4.652
HG1:COM,04/07/2024,4.5655,4.57,4.559,4.561
