Symbol,Date,Open,High,Low,Close
C 1:COM,31/12/2024,452.2231,457.9952,452.0266,457.6864
C 1:COM,30/12/2024,457.25,458.5,449.75,452.25
C 1:COM,27/12/2024,454,455,453,454
C 1:COM,26/12/2024,448.5,454.25,448.5,453.75
C 1:COM,25/12/2024,448.5178,448.5178,448.5178,448.5178
C 1:COM,24/12/2024,447.75,448.75,446.75,448.5
C 1:COM,23/12/2024,447.5,448.25,445.25,447.75
C 1:COM,20/12/2024,443.75,447.5,443.5,446.25
C 1:COM,19/12/2024,437,441,436.5,440.75
C 1:COM,18/12/2024,443.5,446.5,437,437.25
C 1:COM,17/12/2024,445,445.25,441.25,443.5
C 1:COM,16/12/2024,444,445.75,442.25,445
C 1:COM,13/12/2024,442.5,443.5,440,442
C 1:COM,12/12/2024,446,448,442.5,443.5
C 1:COM,11/12/2024,449.75,451.25,447.75,448.25
C 1:COM,10/12/2024,440.75,450,440.75,449
C 1:COM,09/12/2024,433,434.75,431,434
C 1:COM,06/12/2024,427.75,431.5,427,430.75
C 1:COM,05/12/2024,422.25,427,422,426.5
C 1:COM,04/12/2024,421.25,424.5,421,422
C 1:COM,03/12/2024,427.25,428,422.75,423.25
C 1:COM,02/12/2024,422,425.5,420.75,424.5
C 1:COM,29/11/2024,416,423.5,415,423
C 1:COM,28/11/2024,414.5273,425.0205,414.4792,425.0205
C 1:COM,27/11/2024,421.75,422.25,414.75,415.75
C 1:COM,26/11/2024,424.25,425,417.75,420
C 1:COM,25/11/2024,423,425.75,422.25,424.75
C 1:COM,22/11/2024,428.5,429.25,425,425.5
C 1:COM,21/11/2024,429.25,429.75,426.25,426.75
C 1:COM,20/11/2024,425.25,432,424.75,430.25
C 1:COM,19/11/2024,429.25,431.5,426.5,427.25
C 1:COM,18/11/2024,422.25,429.5,422.25,429.25
C 1:COM,15/11/2024,418,425,417,424
C 1:COM,14/11/2024,425.5,425.75,418.25,419
C 1:COM,13/11/2024,427,427.5,424.25,426.5
C 1:COM,12/11/2024,433,433.5,426.75,428.5
C 1:COM,11/11/2024,429.75,431.5,426.5,430
C 1:COM,08/11/2024,429.25,434.75,427.75,431
C 1:COM,07/11/2024,426.25,428.5,422.25,427.5
C 1:COM,06/11/2024,415,426.75,414.5,426.25
C 1:COM,05/11/2024,417.75,419.75,416.75,418.5
C 1:COM,04/11/2024,417.5,420,416,416.5
C 1:COM,01/11/2024,413.5,415.75,411.75,414.5
C 1:COM,31/10/2024,411.5,412.75,410,410.75
C 1:COM,30/10/2024,413.25,414.25,411,411.5
C 1:COM,29/10/2024,411.25,414.75,411,413.75
C 1:COM,28/10/2024,413,414.75,410,410.75
C 1:COM,25/10/2024,418.25,418.5,414.5,415.25
C 1:COM,24/10/2024,422.5,424,419.25,421.5
