Symbol,Date,Open,High,Low,Close
CRYTR:IND,30/12/2024,356.77039,356.77039,356.77039,356.77039
CRYTR:IND,27/12/2024,350.3913,350.3913,350.3913,350.3913
CRYTR:IND,26/12/2024,350.20181,350.20181,350.20181,350.20181
CRYTR:IND,24/12/2024,352.9599,352.9599,352.9599,352.9599
CRYTR:IND,23/12/2024,349.84329,349.84329,349.84329,349.84329
CRYTR:IND,20/12/2024,350.9137,350.9137,350.9137,350.9137
CRYTR:IND,19/12/2024,348.48761,348.48761,348.48761,348.48761
CRYTR:IND,18/12/2024,350.60709,350.60709,350.60709,350.60709
CRYTR:IND,17/12/2024,349.2673,349.2673,349.2673,349.2673
CRYTR:IND,16/12/2024,351.96899,351.96899,351.96899,351.96899
CRYTR:IND,13/12/2024,352.7305,352.7305,352.7305,352.7305
CRYTR:IND,12/12/2024,351.8601,351.8601,351.8601,351.8601
CRYTR:IND,11/12/2024,352.3101,352.3101,352.3101,352.3101
CRYTR:IND,10/12/2024,348.4199,348.4199,348.4199,348.4199
CRYTR:IND,09/12/2024,346.6899,346.6899,346.6899,346.6899
CRYTR:IND,06/12/2024,343.29,343.29,343.29,343.29
CRYTR:IND,05/12/2024,343.3601,343.3601,343.3601,343.3601
CRYTR:IND,04/12/2024,342.03,342.03,342.03,342.03
CRYTR:IND,03/12/2024,342.74,342.74,342.74,342.74
CRYTR:IND,02/12/2024,340.98,340.98,340.98,340.98
CRYTR:IND,29/11/2024,343.72,343.72,343.72,343.72
CRYTR:IND,27/11/2024,343.3701,343.3701,343.3701,343.3701
CRYTR:IND,26/11/2024,344.8901,344.8901,344.8901,344.8901
CRYTR:IND,25/11/2024,344.23,344.23,344.23,344.23
CRYTR:IND,22/11/2024,346.98,346.98,346.98,346.98
CRYTR:IND,21/11/2024,345.04,345.04,345.04,345.04
CRYTR:IND,20/11/2024,342.5,342.5,342.5,342.5
CRYTR:IND,19/11/2024,341.0901,341.0901,341.0901,341.0901
CRYTR:IND,18/11/2024,339.75,339.75,339.75,339.75
CRYTR:IND,15/11/2024,334.5,334.5,334.5,334.5
CRYTR:IND,14/11/2024,335.3999,335.3999,335.3999,335.3999
CRYTR:IND,13/11/2024,335.0801,335.0801,335.0801,335.0801
CRYTR:IND,12/11/2024,333.97,333.97,333.97,333.97
CRYTR:IND,11/11/2024,333.3701,333.3701,333.3701,333.3701
CRYTR:IND,08/11/2024,336.55,336.55,336.55,336.55
CRYTR:IND,07/11/2024,341.9099,341.9099,341.9099,341.9099
CRYTR:IND,06/11/2024,336.1799,336.1799,336.1799,336.1799
CRYTR:IND,05/11/2024,338.77,338.77,338.77,338.77
CRYTR:IND,04/11/2024,337.6599,337.6599,337.6599,337.6599
CRYTR:IND,03/11/2024,333.57,333.57,333.57,333.57
CRYTR:IND,01/11/2024,333.57,333.57,333.57,333.57
CRYTR:IND,31/10/2024,334.04,334.04,334.04,334.04
CRYTR:IND,30/10/2024,334.47,334.47,334.47,334.47
CRYTR:IND,29/10/2024,332.1301,332.1301,332.1301,332.1301
CRYTR:IND,28/10/2024,331.3401,331.3401,331.3401,331.3401
CRYTR:IND,25/10/2024,339.53,339.53,339.53,339.53
CRYTR:IND,24/10/2024,336.75,336.75,336.75,336.75
CRYTR:IND,23/10/2024,337.97,337.97,337.97,337.97
CRYTR:IND,22/10/2024,338.8801,338.8801,338.8801,338.8801
CRYTR:IND,21/10/2024,335.0601,335.0601,335.0601,335.0601
CRYTR:IND,20/10/2024,333.12,333.12,333.12,333.12
CRYTR:IND,18/10/2024,333.12,333.12,333.12,333.12
CRYTR:IND,17/10/2024,335.6599,335.6599,335.6599,335.6599
CRYTR:IND,16/10/2024,335.6799,335.6799,335.6799,335.6799
CRYTR:IND,15/10/2024,336.9399,336.9399,336.9399,336.9399
CRYTR:IND,14/10/2024,341.98,341.98,341.98,341.98
CRYTR:IND,13/10/2024,346.45,346.45,346.45,346.45
CRYTR:IND,11/10/2024,346.45,346.45,346.45,346.45
CRYTR:IND,10/10/2024,345.97,345.97,345.97,345.97
CRYTR:IND,09/10/2024,340.5901,340.5901,340.5901,340.5901
CRYTR:IND,08/10/2024,341.8999,341.8999,341.8999,341.8999
CRYTR:IND,07/10/2024,349.3401,349.3401,349.3401,349.3401
CRYTR:IND,06/10/2024,346.92,346.92,346.92,346.92
CRYTR:IND,04/10/2024,346.92,346.92,346.92,346.92
CRYTR:IND,03/10/2024,346.28,346.28,346.28,346.28
CRYTR:IND,02/10/2024,341.47,341.47,341.47,341.47
CRYTR:IND,01/10/2024,340.52,340.52,340.52,340.52
CRYTR:IND,30/09/2024,338.78,338.78,338.78,338.78
CRYTR:IND,27/09/2024,338.24,339.83,338.24,339.83
CRYTR:IND,26/09/2024,338.24,338.24,338.24,338.24
CRYTR:IND,25/09/2024,340.01,340.01,340.01,340.01
CRYTR:IND,24/09/2024,341.6699,341.6699,341.6699,341.6699
CRYTR:IND,23/09/2024,337.51,337.51,337.51,337.51
CRYTR:IND,20/09/2024,335.31,335.31,335.31,335.31
CRYTR:IND,19/09/2024,335.03,335.03,335.03,335.03
CRYTR:IND,18/09/2024,332.1699,332.1699,332.1699,332.1699
CRYTR:IND,17/09/2024,330.75,330.75,330.75,330.75
CRYTR:IND,16/09/2024,328.5601,328.5601,328.5601,328.5601
CRYTR:IND,15/09/2024,324.85,324.85,324.85,324.85
CRYTR:IND,13/09/2024,324.85,324.85,324.85,324.85
CRYTR:IND,12/09/2024,323.8,323.8,323.8,323.8
CRYTR:IND,11/09/2024,319.45,319.45,319.45,319.45
CRYTR:IND,10/09/2024,314.8101,314.8101,314.8101,314.8101
CRYTR:IND,09/09/2024,319.6499,319.6499,319.6499,319.6499
CRYTR:IND,08/09/2024,316.27,316.27,316.27,316.27
CRYTR:IND,06/09/2024,316.27,316.27,316.27,316.27
CRYTR:IND,05/09/2024,321.45,321.45,321.45,321.45
CRYTR:IND,04/09/2024,320.2,320.2,320.2,320.2
CRYTR:IND,03/09/2024,323.1799,323.1799,323.1799,323.1799
CRYTR:IND,30/08/2024,328,328,328,328
CRYTR:IND,29/08/2024,331.3301,331.3301,331.3301,331.3301
CRYTR:IND,28/08/2024,328.6001,328.6001,328.6001,328.6001
CRYTR:IND,27/08/2024,332.02,332.02,332.02,332.02
CRYTR:IND,26/08/2024,333.6699,333.6699,333.6699,333.6699
CRYTR:IND,23/08/2024,329.68,329.68,329.68,329.68
CRYTR:IND,22/08/2024,324.8501,324.8501,324.8501,324.8501
CRYTR:IND,21/08/2024,325.6699,325.6699,325.6699,325.6699
CRYTR:IND,20/08/2024,326.8201,326.8201,326.8201,326.8201
CRYTR:IND,19/08/2024,326.73,326.73,326.73,326.73
CRYTR:IND,18/08/2024,325.47,325.47,325.47,325.47
CRYTR:IND,16/08/2024,325.47,325.47,325.47,325.47
CRYTR:IND,15/08/2024,327.6799,327.6799,327.6799,327.6799
CRYTR:IND,14/08/2024,325.4299,325.4299,325.4299,325.4299
CRYTR:IND,13/08/2024,326.3901,326.3901,326.3901,326.3901
CRYTR:IND,12/08/2024,330.1101,330.1101,330.1101,330.1101
CRYTR:IND,11/08/2024,325.77,325.77,325.77,325.77
CRYTR:IND,09/08/2024,325.77,325.77,325.77,325.77
CRYTR:IND,08/08/2024,323.3999,323.3999,323.3999,323.3999
CRYTR:IND,07/08/2024,323.01,323.01,323.01,323.01
CRYTR:IND,06/08/2024,318.78,318.78,318.78,318.78
CRYTR:IND,05/08/2024,317.1301,317.1301,317.1301,317.1301
CRYTR:IND,04/08/2024,322.61,322.61,318.57,318.57
CRYTR:IND,02/08/2024,322.61,322.61,318.57,318.57
CRYTR:IND,01/08/2024,322.6101,322.6101,322.6101,322.6101
CRYTR:IND,31/07/2024,327.8999,327.8999,327.8999,327.8999
CRYTR:IND,30/07/2024,323.8701,323.8701,323.8701,323.8701
CRYTR:IND,29/07/2024,324.05,324.05,324.05,324.05
CRYTR:IND,28/07/2024,326.8,326.8,326.8,326.8
CRYTR:IND,26/07/2024,326.8,326.8,326.8,326.8
CRYTR:IND,25/07/2024,329.46,329.46,329.46,329.46
CRYTR:IND,24/07/2024,329.49,329.49,329.49,329.49
CRYTR:IND,23/07/2024,330.24,330.24,330.24,330.24
CRYTR:IND,22/07/2024,333.3201,333.3201,333.3201,333.3201
CRYTR:IND,21/07/2024,329.96,329.96,329.96,329.96
CRYTR:IND,19/07/2024,329.96,329.96,329.96,329.96
CRYTR:IND,18/07/2024,336.0701,336.0701,336.0701,336.0701
CRYTR:IND,17/07/2024,336.5701,336.5701,336.5701,336.5701
CRYTR:IND,16/07/2024,336.21,336.21,336.21,336.21
CRYTR:IND,15/07/2024,339.21,339.21,339.21,339.21
CRYTR:IND,14/07/2024,341.48,341.48,341.48,341.48
CRYTR:IND,12/07/2024,341.48,341.48,341.48,341.48
CRYTR:IND,11/07/2024,341.3901,341.3901,341.3901,341.3901
CRYTR:IND,10/07/2024,340.51,340.51,340.51,340.51
CRYTR:IND,09/07/2024,340.78,340.78,340.78,340.78
CRYTR:IND,08/07/2024,341.8201,341.8201,341.8201,341.8201
CRYTR:IND,05/07/2024,344.63,344.63,344.63,344.63
CRYTR:IND,03/07/2024,345.23,345.23,345.23,345.23
CRYTR:IND,02/07/2024,343.21,343.21,343.21,343.21
CRYTR:IND,01/07/2024,342.25,342.25,342.25,342.25
CRYTR:IND,30/06/2024,341.73,341.73,340.81,340.81
CRYTR:IND,28/06/2024,341.73,341.73,340.81,340.81
CRYTR:IND,27/06/2024,341.73,341.73,341.73,341.73
CRYTR:IND,26/06/2024,341.6699,341.6699,341.6699,341.6699
CRYTR:IND,25/06/2024,342.52,342.52,342.52,342.52
CRYTR:IND,24/06/2024,345.6599,345.6599,345.6599,345.6599
CRYTR:IND,23/06/2024,343.68,343.68,343.68,343.68
CRYTR:IND,21/06/2024,343.68,343.68,343.68,343.68
CRYTR:IND,20/06/2024,346.1699,346.1699,346.1699,346.1699
CRYTR:IND,19/06/2024,346.4099,346.4099,346.4099,346.4099
CRYTR:IND,18/06/2024,346.4099,346.4099,346.4099,346.4099
CRYTR:IND,17/06/2024,343.3101,343.3101,343.3101,343.3101
CRYTR:IND,14/06/2024,344.28,344.28,344.28,344.28
CRYTR:IND,13/06/2024,346.1001,346.1001,346.1001,346.1001
CRYTR:IND,12/06/2024,345.47,345.47,345.47,345.47
CRYTR:IND,11/06/2024,342.6201,342.6201,342.6201,342.6201
CRYTR:IND,10/06/2024,340.98,340.98,340.98,340.98
CRYTR:IND,07/06/2024,339.05,339.05,339.05,339.05
CRYTR:IND,06/06/2024,341.99,341.99,341.99,341.99
CRYTR:IND,05/06/2024,336.4399,336.4399,336.4399,336.4399
CRYTR:IND,04/06/2024,334.7,334.7,334.7,334.7
CRYTR:IND,03/06/2024,337.95,337.95,337.95,337.95
CRYTR:IND,31/05/2024,342.31,342.31,339.05,339.05
CRYTR:IND,30/05/2024,342.3101,342.3101,342.3101,342.3101
CRYTR:IND,29/05/2024,347.6799,347.6799,347.6799,347.6799
CRYTR:IND,28/05/2024,350.6699,350.6699,350.6699,350.6699
CRYTR:IND,24/05/2024,343.51,343.51,343.51,343.51
CRYTR:IND,23/05/2024,342.8801,342.8801,342.8801,342.8801
CRYTR:IND,22/05/2024,344.55,344.55,344.55,344.55
CRYTR:IND,21/05/2024,345.3101,345.3101,345.3101,345.3101
CRYTR:IND,20/05/2024,344.8601,344.8601,344.8601,344.8601
CRYTR:IND,17/05/2024,342.54,342.54,342.54,342.54
CRYTR:IND,16/05/2024,338.1001,338.1001,338.1001,338.1001
CRYTR:IND,15/05/2024,338.04,338.04,338.04,338.04
CRYTR:IND,14/05/2024,334.96,334.96,334.96,334.96
CRYTR:IND,13/05/2024,335.28,335.28,335.28,335.28
CRYTR:IND,10/05/2024,337.76,337.76,337.2,337.2
CRYTR:IND,09/05/2024,337.76,337.76,337.76,337.76
CRYTR:IND,08/05/2024,336.5701,336.5701,336.5701,336.5701
CRYTR:IND,07/05/2024,337.1699,337.1699,337.1699,337.1699
CRYTR:IND,06/05/2024,334.8301,334.8301,334.8301,334.8301
CRYTR:IND,02/05/2024,331.3101,331.3101,331.3101,331.3101
CRYTR:IND,01/05/2024,332.0701,332.0701,332.0701,332.0701
CRYTR:IND,30/04/2024,339.03,339.03,339.03,339.03
CRYTR:IND,29/04/2024,343.4299,343.4299,343.4299,343.4299
CRYTR:IND,26/04/2024,345.97,345.97,345.07,345.07
CRYTR:IND,25/04/2024,345.97,345.97,345.97,345.97
CRYTR:IND,24/04/2024,345.27,345.27,345.27,345.27
CRYTR:IND,23/04/2024,345.74,345.74,345.74,345.74
CRYTR:IND,22/04/2024,346.3501,346.3501,346.3501,346.3501
CRYTR:IND,19/04/2024,346.24,346.24,346.24,346.24
CRYTR:IND,18/04/2024,343.23,343.23,343.23,343.23
CRYTR:IND,17/04/2024,341.8401,341.8401,341.8401,341.8401
CRYTR:IND,16/04/2024,344.5701,344.5701,344.5701,344.5701
CRYTR:IND,15/04/2024,346.0801,346.0801,346.0801,346.0801
CRYTR:IND,12/04/2024,345.56,345.56,345.56,345.56
CRYTR:IND,11/04/2024,342.8201,342.8201,342.8201,342.8201
CRYTR:IND,10/04/2024,345.446,345.446,345.446,345.446
CRYTR:IND,09/04/2024,344.0887,344.0887,344.0887,344.0887
CRYTR:IND,08/04/2024,344.906,344.906,344.906,344.906
CRYTR:IND,05/04/2024,344.878,344.878,344.878,344.878
CRYTR:IND,04/04/2024,343.392,343.392,343.392,343.392
CRYTR:IND,03/04/2024,342.019,342.019,342.019,342.019
CRYTR:IND,02/04/2024,340.845,340.845,340.845,340.845
CRYTR:IND,01/04/2024,338.598,338.598,338.598,338.598
CRYTR:IND,29/03/2024,336.035,336.035,336.035,336.035
CRYTR:IND,28/03/2024,336.0347,336.0347,336.0347,336.0347
CRYTR:IND,27/03/2024,331.904,331.904,331.904,331.904
CRYTR:IND,26/03/2024,333.073,333.073,333.073,333.073
CRYTR:IND,25/03/2024,334.323,334.323,334.323,334.323
CRYTR:IND,22/03/2024,330.5,330.5,330.5,330.5
CRYTR:IND,21/03/2024,331.381,331.381,331.381,331.381
CRYTR:IND,20/03/2024,330.125,330.125,330.125,330.125
CRYTR:IND,19/03/2024,331.623,331.623,331.623,331.623
CRYTR:IND,18/03/2024,332.011,332.011,332.011,332.011
CRYTR:IND,15/03/2024,328.847,328.847,328.847,328.847
CRYTR:IND,14/03/2024,326.86,326.86,326.86,326.86
CRYTR:IND,13/03/2024,324.666,324.666,324.666,324.666
CRYTR:IND,12/03/2024,321.422,321.422,321.422,321.422
CRYTR:IND,11/03/2024,320.99,320.99,320.99,320.99
CRYTR:IND,08/03/2024,319.249,319.249,319.249,319.249
CRYTR:IND,07/03/2024,322.079,322.079,322.079,322.079
CRYTR:IND,06/03/2024,320.911,320.911,320.911,320.911
CRYTR:IND,05/03/2024,318.217,318.217,318.217,318.217
CRYTR:IND,04/03/2024,319.854,319.854,319.854,319.854
CRYTR:IND,01/03/2024,319.51,319.51,319.51,319.51
