Symbol,Date,Open,High,Low,Close
CL1:COM,31/12/2024,71.54,72.0165,71.27,71.9573
CL1:COM,30/12/2024,71.17,71.56,70.78,70.99
CL1:COM,27/12/2024,70.46,70.75,70.05,70.6
CL1:COM,26/12/2024,70.63,70.75,69.33,69.62
CL1:COM,25/12/2024,70.1735,70.1742,70.1709,70.1728
CL1:COM,24/12/2024,70.12,70.43,69.84,70.1
CL1:COM,23/12/2024,69.34,69.63,68.59,69.24
CL1:COM,20/12/2024,68.78,69.85,68.46,69.46
CL1:COM,19/12/2024,70.38,70.55,69.1,69.38
CL1:COM,18/12/2024,70.13,70.8,69.39,70.02
CL1:COM,17/12/2024,69.46,69.91,68.81,69.65
CL1:COM,16/12/2024,70.6,70.74,70.07,70.29
CL1:COM,13/12/2024,70.52,71.42,70.42,71.29
CL1:COM,12/12/2024,69.84,70.53,69.14,70.02
CL1:COM,11/12/2024,69.48,70.53,69.09,70.29
CL1:COM,10/12/2024,68.45,69.06,68.27,68.59
CL1:COM,09/12/2024,68.18,68.88,68.07,68.37
CL1:COM,06/12/2024,67.59,67.68,66.98,67.2
CL1:COM,05/12/2024,68.93,69.12,68.18,68.3
CL1:COM,04/12/2024,70.34,70.37,68.49,68.54
CL1:COM,03/12/2024,69.14,70.23,68.75,69.94
CL1:COM,02/12/2024,68.86,68.94,67.71,68.1
CL1:COM,29/11/2024,69.3,69.69,68.5,68.63
CL1:COM,28/11/2024,68.7769,69.316,68.2358,68.9259
CL1:COM,27/11/2024,68.67,69.29,68.18,68.72
CL1:COM,26/11/2024,69.52,70.3,68.05,68.77
CL1:COM,25/11/2024,69.94,70.39,68.74,68.94
CL1:COM,22/11/2024,70.1,71.51,69.91,71.24
CL1:COM,21/11/2024,70.14,70.26,69.41,70.1
CL1:COM,20/11/2024,69.84,69.84,68.64,68.75
CL1:COM,19/11/2024,69.47,69.74,68.49,69.24
CL1:COM,18/11/2024,68.07,69.37,67.99,69.17
CL1:COM,15/11/2024,68.01,68.45,66.71,66.92
CL1:COM,14/11/2024,69.33,69.34,68.1,68.7
CL1:COM,13/11/2024,67.61,68.79,66.94,68.43
CL1:COM,12/11/2024,69.07,69.13,67.78,68.12
CL1:COM,11/11/2024,68.54,68.77,67.92,68.04
CL1:COM,08/11/2024,71.17,71.23,69.99,70.38
CL1:COM,07/11/2024,71.39,72.88,70.86,72.36
CL1:COM,06/11/2024,70.64,72.63,70.62,71.69
CL1:COM,05/11/2024,72.28,72.67,71.4,71.99
CL1:COM,04/11/2024,71.25,71.8,70.66,71.47
CL1:COM,01/11/2024,71.05,71.19,69.32,69.49
CL1:COM,31/10/2024,69.3,70.81,68.92,69.26
CL1:COM,30/10/2024,68.2,69.17,67.89,68.61
CL1:COM,29/10/2024,67.69,67.87,66.72,67.21
CL1:COM,28/10/2024,67.36,68.2,67.23,67.38
CL1:COM,25/10/2024,71.27,71.92,70.81,71.78
CL1:COM,24/10/2024,71.18,71.55,69.77,70.19
CL1:COM,23/10/2024,70.97,71.49,70.39,70.77
CL1:COM,22/10/2024,70.67,72.09,70.48,71.74
CL1:COM,21/10/2024,69.92,70.39,69.25,70.04
CL1:COM,18/10/2024,69.3,69.49,68.17,68.69
CL1:COM,17/10/2024,69.63,70.39,68.89,70.09
CL1:COM,16/10/2024,70.59,70.85,69.64,70.39
CL1:COM,15/10/2024,70.42,71.09,69.81,70.58
CL1:COM,14/10/2024,74.16,74.78,71.81,73.83
CL1:COM,11/10/2024,75.18,76.04,74.78,75.56
