Symbol,Date,Open,High,Low,Close
DL1:COM,30/12/2024,1.675,1.675,1.675,1.675
DL1:COM,27/12/2024,1.655,1.655,1.645,1.645
DL1:COM,26/12/2024,1.66,1.66,1.66,1.66
DL1:COM,24/12/2024,1.655,1.655,1.655,1.655
DL1:COM,23/12/2024,1.6475,1.6475,1.6475,1.6475
DL1:COM,20/12/2024,1.62,1.635,1.62,1.62
DL1:COM,19/12/2024,1.5925,1.5925,1.5925,1.5925
DL1:COM,18/12/2024,1.575,1.575,1.575,1.575
DL1:COM,17/12/2024,1.5825,1.5825,1.5825,1.5825
DL1:COM,16/12/2024,1.585,1.585,1.585,1.585
DL1:COM,13/12/2024,1.59,1.59,1.59,1.59
DL1:COM,12/12/2024,1.57,1.57,1.57,1.57
DL1:COM,11/12/2024,1.58,1.58,1.58,1.58
DL1:COM,10/12/2024,1.5875,1.5875,1.5875,1.5875
DL1:COM,09/12/2024,1.565,1.565,1.565,1.565
DL1:COM,06/12/2024,1.59,1.59,1.59,1.59
DL1:COM,05/12/2024,1.555,1.555,1.555,1.555
DL1:COM,04/12/2024,1.555,1.555,1.555,1.555
DL1:COM,03/12/2024,1.545,1.545,1.545,1.545
DL1:COM,02/12/2024,1.53,1.53,1.53,1.53
DL1:COM,29/11/2024,1.555,1.555,1.555,1.555
DL1:COM,27/11/2024,1.55,1.55,1.55,1.55
DL1:COM,26/11/2024,1.5525,1.5525,1.5525,1.5525
DL1:COM,25/11/2024,1.5725,1.5725,1.5725,1.5725
DL1:COM,22/11/2024,1.5825,1.5825,1.5825,1.5825
DL1:COM,21/11/2024,1.605,1.605,1.605,1.605
DL1:COM,20/11/2024,1.635,1.635,1.635,1.635
DL1:COM,19/11/2024,1.665,1.665,1.665,1.665
DL1:COM,18/11/2024,1.685,1.685,1.685,1.685
DL1:COM,15/11/2024,1.6425,1.6425,1.6425,1.6425
DL1:COM,14/11/2024,1.615,1.615,1.615,1.615
DL1:COM,13/11/2024,1.6025,1.6025,1.6025,1.6025
DL1:COM,12/11/2024,1.6,1.6,1.6,1.6
DL1:COM,11/11/2024,1.5775,1.5775,1.5775,1.5775
DL1:COM,08/11/2024,1.575,1.575,1.575,1.575
DL1:COM,07/11/2024,1.57,1.57,1.57,1.57
DL1:COM,06/11/2024,1.555,1.555,1.555,1.555
DL1:COM,05/11/2024,1.56,1.56,1.56,1.56
DL1:COM,04/11/2024,1.575,1.575,1.575,1.575
DL1:COM,01/11/2024,1.57,1.57,1.57,1.57
DL1:COM,31/10/2024,1.5575,1.5575,1.5575,1.5575
DL1:COM,30/10/2024,1.555,1.555,1.555,1.555
DL1:COM,29/10/2024,1.525,1.525,1.525,1.525
DL1:COM,28/10/2024,1.5225,1.5225,1.5225,1.5225
DL1:COM,25/10/2024,1.5425,1.5425,1.5425,1.5425
DL1:COM,24/10/2024,1.56,1.56,1.56,1.56
DL1:COM,23/10/2024,1.5575,1.5575,1.5575,1.5575
DL1:COM,22/10/2024,1.575,1.575,1.575,1.575
DL1:COM,21/10/2024,1.565,1.565,1.565,1.565
DL1:COM,18/10/2024,1.545,1.545,1.545,1.545
DL1:COM,17/10/2024,1.53,1.53,1.53,1.53
DL1:COM,16/10/2024,1.505,1.505,1.505,1.505
DL1:COM,15/10/2024,1.5075,1.5075,1.5075,1.5075
DL1:COM,14/10/2024,1.525,1.525,1.525,1.525
DL1:COM,11/10/2024,1.55,1.55,1.55,1.55
DL1:COM,10/10/2024,1.5475,1.5475,1.5475,1.5475
DL1:COM,09/10/2024,1.565,1.565,1.565,1.565
DL1:COM,08/10/2024,1.595,1.595,1.595,1.595
DL1:COM,07/10/2024,1.595,1.595,1.595,1.595
DL1:COM,04/10/2024,1.56,1.56,1.56,1.56
DL1:COM,03/10/2024,1.55,1.55,1.55,1.55
DL1:COM,02/10/2024,1.58,1.58,1.58,1.58
DL1:COM,01/10/2024,1.605,1.605,1.605,1.605
