Symbol,Date,Open,High,Low,Close
EECXM:IND,30/12/2024,71.65,72.06,70.4,71.98
EECXM:IND,27/12/2024,69.75,71.8,69.61,71.56
EECXM:IND,24/12/2024,69.66,70.05,69.06,69.47
EECXM:IND,23/12/2024,68,70.15,67.36,69.68
EECXM:IND,20/12/2024,67.85,68.7,67.4,68.2
EECXM:IND,19/12/2024,65,68,64.78,67.69
EECXM:IND,18/12/2024,64.4,65.75,64.15,64.86
EECXM:IND,17/12/2024,65,65.85,64.05,64.26
EECXM:IND,16/12/2024,64.05,65.27,62.73,65.27
EECXM:IND,13/12/2024,65.81,66.61,64.15,64.43
EECXM:IND,12/12/2024,68.53,68.84,65.54,66.1
EECXM:IND,11/12/2024,68.3,69.58,67.91,68.63
EECXM:IND,10/12/2024,66.35,68.72,66.15,68.18
EECXM:IND,09/12/2024,68.55,68.7,65.93,66.37
EECXM:IND,06/12/2024,67.25,68.74,66.92,68.31
EECXM:IND,05/12/2024,67.81,68.69,66.91,67.34
EECXM:IND,04/12/2024,68.01,68.28,67.28,67.86
EECXM:IND,03/12/2024,68.9,69.25,67.85,68.49
EECXM:IND,02/12/2024,68.55,70.14,68.1,68.83
EECXM:IND,29/11/2024,67.85,68.54,67.13,68.4
EECXM:IND,28/11/2024,68.13,68.91,67.53,67.63
EECXM:IND,27/11/2024,69.24,69.38,67.7,68.47
EECXM:IND,26/11/2024,69.7,69.75,68.25,69.23
EECXM:IND,25/11/2024,69.75,71.54,69.24,69.86
EECXM:IND,22/11/2024,70.49,70.96,69.01,69.27
EECXM:IND,21/11/2024,68.46,70.78,68.45,69.99
EECXM:IND,20/11/2024,68.02,69.4,67.89,68.38
EECXM:IND,19/11/2024,69.47,69.83,67.84,68.13
EECXM:IND,18/11/2024,67.28,70.03,66.96,69.51
EECXM:IND,15/11/2024,68.25,68.8,66.75,68.01
EECXM:IND,14/11/2024,66.72,68.46,66.61,68.27
EECXM:IND,13/11/2024,67.12,67.24,65.39,66.31
EECXM:IND,12/11/2024,67.5,67.77,65.76,67.53
EECXM:IND,11/11/2024,67.27,68.8,66.92,67.57
EECXM:IND,08/11/2024,66.25,68.28,65.96,68.02
EECXM:IND,07/11/2024,63.78,66.29,63.65,66.04
EECXM:IND,06/11/2024,64,64.19,62.37,63.76
EECXM:IND,05/11/2024,65.46,65.69,64.1,64.3
EECXM:IND,04/11/2024,64.09,65.89,64,65.22
EECXM:IND,01/11/2024,63.78,64.96,63.22,63.87
EECXM:IND,31/10/2024,65.48,65.95,63.54,64.58
EECXM:IND,30/10/2024,66.85,67.19,64.94,65.47
EECXM:IND,29/10/2024,66.82,67.75,66.14,67.28
EECXM:IND,28/10/2024,66.25,66.61,64.61,66.4
EECXM:IND,25/10/2024,66.61,67.36,66.08,66.97
EECXM:IND,24/10/2024,64.95,67.57,64.75,66.63
EECXM:IND,23/10/2024,62.35,65.36,61.71,64.89
EECXM:IND,22/10/2024,61.9,62.56,61.29,62.25
EECXM:IND,21/10/2024,62.45,62.95,61.36,61.76
