Symbol,Date,Open,High,Low,Close
SPGSCITR:IND,31/12/2024,547.91,550.7,545.83,549.6
SPGSCITR:IND,30/12/2024,543.1503,551.6283,543.1503,547.914
SPGSCITR:IND,29/12/2024,543.15,544.96,543.15,544.63
SPGSCITR:IND,27/12/2024,540.0006,543.6683,539.0143,543.1503
SPGSCITR:IND,26/12/2024,541.7462,543.4159,538.9976,540.0005
SPGSCITR:IND,25/12/2024,537.3289,542.8368,537.3289,541.7461
SPGSCITR:IND,24/12/2024,537.3289,542.8368,537.3289,541.7461
SPGSCITR:IND,23/12/2024,539.0708,542.3468,534.7564,537.3288
SPGSCITR:IND,22/12/2024,539.07,540.21,539.07,540.15
SPGSCITR:IND,20/12/2024,535.8841,540.4228,533.1482,539.0708
SPGSCITR:IND,19/12/2024,539.9394,540.8308,534.743,535.8841
SPGSCITR:IND,18/12/2024,538.7578,543.5207,538.5153,539.9394
SPGSCITR:IND,17/12/2024,543.148,543.8524,534.9854,538.7578
SPGSCITR:IND,16/12/2024,546.2978,546.2978,542.7543,543.1479
SPGSCITR:IND,15/12/2024,546.3,546.3,545.63,545.68
SPGSCITR:IND,13/12/2024,543.1705,546.7065,542.8829,546.2978
SPGSCITR:IND,12/12/2024,544.998,546.7249,539.4246,543.1705
SPGSCITR:IND,11/12/2024,543.5,547.2,543.5,546.45
SPGSCITR:IND,10/12/2024,536.9637,540.4094,534.6147,538.8645
SPGSCITR:IND,09/12/2024,531.2685,539.6744,531.2685,537.2308
SPGSCITR:IND,08/12/2024,531.27,532.74,531.27,532.24
SPGSCITR:IND,06/12/2024,534.3472,534.8631,529.7613,531.4829
SPGSCITR:IND,05/12/2024,535.1673,538.3188,533.287,534.6221
SPGSCITR:IND,04/12/2024,540.0185,541.9279,534.9823,535.1673
SPGSCITR:IND,03/12/2024,533.2838,541.3988,532.4469,540.0185
SPGSCITR:IND,02/12/2024,535.7093,539.5211,531.817,533.2838
SPGSCITR:IND,01/12/2024,535.71,535.78,535.02,535.06
SPGSCITR:IND,29/11/2024,536.7875,541.6705,535.477,535.7093
SPGSCITR:IND,28/11/2024,536.79,541.67,535.48,535.71
SPGSCITR:IND,27/11/2024,538.9873,540.8165,535.0488,536.7875
SPGSCITR:IND,26/11/2024,538.5927,544.62,535.8924,538.9872
SPGSCITR:IND,25/11/2024,547.2668,549.8744,538.0714,538.5927
SPGSCITR:IND,24/11/2024,547.27,549.01,547.27,548.58
SPGSCITR:IND,22/11/2024,543.8431,548.0943,540.8029,547.1942
SPGSCITR:IND,21/11/2024,539.2717,546.4085,539.2717,543.843
SPGSCITR:IND,20/11/2024,539.2561,542.4813,538.7912,539.2716
SPGSCITR:IND,19/11/2024,538.0513,541.2411,536.1043,539.2561
SPGSCITR:IND,18/11/2024,527.1868,538.6695,526.5811,538.0512
SPGSCITR:IND,17/11/2024,527.19,527.49,526.83,526.93
SPGSCITR:IND,15/11/2024,530.3392,532.6176,525.8519,527.1867
SPGSCITR:IND,14/11/2024,531.4751,535.0496,528.5424,530.3392
SPGSCITR:IND,13/11/2024,531.1058,534.0926,525.419,531.475
SPGSCITR:IND,12/11/2024,531.0769,535.0016,529.4808,530.5007
SPGSCITR:IND,11/11/2024,539.0042,540.0475,529.198,530.4168
SPGSCITR:IND,10/11/2024,539,539.55,539,539.48
SPGSCITR:IND,08/11/2024,547.8085,547.9555,537.2395,538.4194
SPGSCITR:IND,07/11/2024,541.9987,548.797,539.8609,547.224
SPGSCITR:IND,06/11/2024,545.501,545.8197,532.637,541.4801
SPGSCITR:IND,05/11/2024,543.0374,548.6144,542.2647,545.501
SPGSCITR:IND,04/11/2024,534.8001,543.85,534.366,543.0374
SPGSCITR:IND,03/11/2024,534.8,539,534.37,538.99
SPGSCITR:IND,01/11/2024,534.2032,543.412,534.2032,534.8001
SPGSCITR:IND,31/10/2024,533.3871,538.5994,531.791,534.2031
SPGSCITR:IND,30/10/2024,527.5066,535.3329,527.5066,533.3871
SPGSCITR:IND,29/10/2024,527.5023,532.3158,525.3831,527.5065
