Symbol,Date,Open,High,Low,Close
HO1:COM,31/12/2024,2.3048,2.3338,2.2894,2.3276
HO1:COM,30/12/2024,2.2994,2.3173,2.2934,2.2995
HO1:COM,27/12/2024,2.2427,2.2564,2.2336,2.2448
HO1:COM,26/12/2024,2.2449,2.2456,2.1969,2.2053
HO1:COM,25/12/2024,2.2243,2.2249,2.216,2.2237
HO1:COM,24/12/2024,2.2371,2.249,2.2163,2.2244
HO1:COM,23/12/2024,2.2396,2.2606,2.2131,2.2345
HO1:COM,20/12/2024,2.2278,2.2411,2.2011,2.2375
HO1:COM,19/12/2024,2.2402,2.27,2.2269,2.2281
HO1:COM,18/12/2024,2.2309,2.2752,2.2275,2.2402
HO1:COM,17/12/2024,2.2598,2.2663,2.2069,2.2308
HO1:COM,16/12/2024,2.2717,2.2749,2.2495,2.2598
HO1:COM,13/12/2024,2.2358,2.2748,2.2339,2.266
HO1:COM,12/12/2024,2.2302,2.2439,2.1991,2.2346
HO1:COM,11/12/2024,2.1828,2.2312,2.1816,2.2302
HO1:COM,10/12/2024,2.1794,2.2052,2.1654,2.1825
HO1:COM,09/12/2024,2.1394,2.1921,2.1359,2.179
HO1:COM,06/12/2024,2.1568,2.1581,2.1224,2.1303
HO1:COM,05/12/2024,2.1652,2.1894,2.1434,2.1562
HO1:COM,04/12/2024,2.2117,2.2325,2.1637,2.1649
HO1:COM,03/12/2024,2.1774,2.2307,2.1724,2.2117
HO1:COM,02/12/2024,2.2047,2.2278,2.1718,2.1771
HO1:COM,29/11/2024,2.2116,2.2484,2.1905,2.2032
HO1:COM,28/11/2024,2.2007,2.22,2.1769,2.2115
HO1:COM,27/11/2024,2.2176,2.2413,2.1899,2.2036
HO1:COM,26/11/2024,2.2638,2.2891,2.2197,2.2404
HO1:COM,25/11/2024,2.2496,2.2621,2.2155,2.2353
HO1:COM,22/11/2024,2.2713,2.294,2.246,2.2738
HO1:COM,21/11/2024,2.2308,2.278,2.2261,2.2716
HO1:COM,20/11/2024,2.235,2.2488,2.2205,2.2307
HO1:COM,19/11/2024,2.2474,2.2743,2.2251,2.2349
HO1:COM,18/11/2024,2.1698,2.2592,2.1698,2.2476
HO1:COM,15/11/2024,2.2068,2.2197,2.1685,2.1713
HO1:COM,14/11/2024,2.2104,2.2464,2.2001,2.2072
HO1:COM,13/11/2024,2.2088,2.2362,2.1721,2.2097
HO1:COM,12/11/2024,2.1995,2.236,2.1881,2.2081
HO1:COM,11/11/2024,2.2357,2.2478,2.1903,2.1992
HO1:COM,08/11/2024,2.2766,2.2793,2.2253,2.2382
HO1:COM,07/11/2024,2.2636,2.2975,2.236,2.2773
HO1:COM,06/11/2024,2.2991,2.3117,2.2406,2.2634
HO1:COM,05/11/2024,2.2806,2.3228,2.278,2.2998
HO1:COM,04/11/2024,2.2599,2.2984,2.2548,2.2807
HO1:COM,01/11/2024,2.2648,2.289,2.2244,2.2244
HO1:COM,31/10/2024,2.1989,2.2722,2.1978,2.2644
HO1:COM,30/10/2024,2.165,2.2063,2.1587,2.1876
HO1:COM,29/10/2024,2.1281,2.1468,2.1062,2.1337
HO1:COM,28/10/2024,2.1394,2.1565,2.1276,2.1286
HO1:COM,25/10/2024,2.2115,2.2513,2.1969,2.2367
HO1:COM,24/10/2024,2.2292,2.2587,2.1948,2.211
HO1:COM,23/10/2024,2.2329,2.2419,2.2023,2.2293
HO1:COM,22/10/2024,2.1828,2.2467,2.1699,2.2338
HO1:COM,21/10/2024,2.1566,2.1936,2.1484,2.1831
HO1:COM,18/10/2024,2.1939,2.2083,2.1481,2.1527
HO1:COM,17/10/2024,2.1802,2.1986,2.1566,2.1936
HO1:COM,16/10/2024,2.1951,2.2034,2.1546,2.1802
HO1:COM,15/10/2024,2.2193,2.2238,2.169,2.1954
HO1:COM,14/10/2024,2.3067,2.3204,2.2132,2.2208
HO1:COM,11/10/2024,2.3446,2.3632,2.3124,2.34
HO1:COM,10/10/2024,2.2783,2.3606,2.2781,2.3445
HO1:COM,09/10/2024,2.3093,2.3181,2.24,2.278
HO1:COM,08/10/2024,2.3953,2.3976,2.2697,2.3094
HO1:COM,07/10/2024,2.3086,2.4168,2.3038,2.3924
HO1:COM,04/10/2024,2.3011,2.3504,2.2916,2.3196
HO1:COM,03/10/2024,2.1975,2.3069,2.1841,2.3008
HO1:COM,02/10/2024,2.194,2.2549,2.176,2.1976
HO1:COM,01/10/2024,2.1568,2.2314,2.1009,2.195
HO1:COM,30/09/2024,2.1587,2.1877,2.1377,2.1569
HO1:COM,27/09/2024,2.1194,2.1558,2.1034,2.1327
HO1:COM,26/09/2024,2.1223,2.1483,2.1051,2.1361
HO1:COM,25/09/2024,2.1729,2.1907,2.1471,2.1602
HO1:COM,24/09/2024,2.1564,2.1988,2.1519,2.1841
HO1:COM,23/09/2024,2.1698,2.1849,2.1164,2.1568
HO1:COM,20/09/2024,2.1718,2.1788,2.15,2.1747
HO1:COM,19/09/2024,2.1335,2.1849,2.1319,2.1704
HO1:COM,18/09/2024,2.1395,2.1586,2.1035,2.1337
HO1:COM,17/09/2024,2.1017,2.149,2.0804,2.1381
HO1:COM,16/09/2024,2.0821,2.1153,2.0665,2.1015
HO1:COM,13/09/2024,2.1232,2.1411,2.0826,2.0878
HO1:COM,12/09/2024,2.093,2.1468,2.0817,2.1241
HO1:COM,11/09/2024,2.068,2.1034,2.0418,2.0924
HO1:COM,10/09/2024,2.1526,2.1589,2.0534,2.0675
HO1:COM,09/09/2024,2.149,2.1657,2.1073,2.1514
HO1:COM,06/09/2024,2.17,2.1873,2.1029,2.1246
HO1:COM,05/09/2024,2.1556,2.2044,2.1551,2.17
HO1:COM,04/09/2024,2.2071,2.2277,2.1489,2.156
HO1:COM,03/09/2024,2.2795,2.2949,2.1983,2.2071
HO1:COM,02/09/2024,2.27,2.2913,2.2608,2.2806
HO1:COM,30/08/2024,2.3173,2.3475,2.2748,2.2857
HO1:COM,29/08/2024,2.2733,2.2961,2.2666,2.284
HO1:COM,28/08/2024,2.2494,2.2706,2.2279,2.2291
HO1:COM,27/08/2024,2.3147,2.3238,2.2837,2.2862
HO1:COM,26/08/2024,2.3154,2.3684,2.3111,2.3473
HO1:COM,23/08/2024,2.2715,2.3172,2.2651,2.3089
HO1:COM,22/08/2024,2.2479,2.2778,2.2327,2.2711
HO1:COM,21/08/2024,2.2688,2.3069,2.2396,2.2481
HO1:COM,20/08/2024,2.2623,2.2866,2.2326,2.2705
HO1:COM,19/08/2024,2.3236,2.333,2.2564,2.2625
HO1:COM,16/08/2024,2.3715,2.3761,2.3134,2.3306
HO1:COM,15/08/2024,2.3684,2.3985,2.3629,2.3712
HO1:COM,14/08/2024,2.397,2.4082,2.3649,2.3677
HO1:COM,13/08/2024,2.4003,2.4155,2.3777,2.3975
HO1:COM,12/08/2024,2.3392,2.4114,2.3377,2.4009
HO1:COM,09/08/2024,2.3573,2.3704,2.3337,2.3404
HO1:COM,08/08/2024,2.3539,2.3646,2.3297,2.3562
HO1:COM,07/08/2024,2.2888,2.3668,2.284,2.3536
HO1:COM,06/08/2024,2.328,2.341,2.2779,2.2901
HO1:COM,05/08/2024,2.3293,2.3318,2.2635,2.3296
HO1:COM,02/08/2024,2.4139,2.4295,2.3122,2.3304
HO1:COM,01/08/2024,2.4522,2.4673,2.4031,2.4141
HO1:COM,31/07/2024,2.3708,2.4574,2.3659,2.4515
HO1:COM,30/07/2024,2.3739,2.3775,2.3292,2.3705
HO1:COM,29/07/2024,2.4323,2.4394,2.3672,2.3729
HO1:COM,26/07/2024,2.4695,2.4791,2.4014,2.4105
HO1:COM,25/07/2024,2.4457,2.4759,2.4018,2.4694
HO1:COM,24/07/2024,2.4229,2.4582,2.4127,2.4454
HO1:COM,23/07/2024,2.4301,2.4509,2.3977,2.4226
HO1:COM,22/07/2024,2.4355,2.4392,2.396,2.4303
HO1:COM,19/07/2024,2.4775,2.5023,2.4173,2.4189
HO1:COM,18/07/2024,2.4987,2.5156,2.4644,2.4769
HO1:COM,17/07/2024,2.4671,2.5023,2.452,2.4984
HO1:COM,16/07/2024,2.5112,2.5149,2.4572,2.467
HO1:COM,15/07/2024,2.5059,2.5269,2.4873,2.5105
HO1:COM,12/07/2024,2.5242,2.5512,2.5047,2.5061
HO1:COM,11/07/2024,2.521,2.5439,2.503,2.5234
HO1:COM,10/07/2024,2.5233,2.5359,2.4968,2.5199
HO1:COM,09/07/2024,2.575,2.5868,2.5189,2.5218
HO1:COM,08/07/2024,2.5978,2.5986,2.5661,2.5751
HO1:COM,05/07/2024,2.6259,2.6465,2.5949,2.619
HO1:COM,04/07/2024,2.6257,2.634,2.6011,2.6252
HO1:COM,03/07/2024,2.6316,2.6369,2.5917,2.625
HO1:COM,02/07/2024,2.6127,2.658,2.6112,2.6307
HO1:COM,01/07/2024,2.5504,2.6184,2.5428,2.6124
HO1:COM,28/06/2024,2.5491,2.5971,2.5276,2.5391
HO1:COM,27/06/2024,2.5287,2.5869,2.5137,2.5475
HO1:COM,26/06/2024,2.5117,2.5589,2.5085,2.5294
HO1:COM,25/06/2024,2.5241,2.5393,2.504,2.5105
HO1:COM,24/06/2024,2.4871,2.5268,2.4726,2.5219
HO1:COM,21/06/2024,2.5236,2.5437,2.484,2.4902
HO1:COM,20/06/2024,2.5379,2.543,2.5183,2.5249
HO1:COM,19/06/2024,2.5249,2.5499,2.5161,2.5374
HO1:COM,18/06/2024,2.4848,2.5293,2.4656,2.5251
HO1:COM,17/06/2024,2.4738,2.4989,2.4577,2.4838
HO1:COM,14/06/2024,2.4802,2.5337,2.4682,2.4717
HO1:COM,13/06/2024,2.4373,2.4878,2.4241,2.4794
HO1:COM,12/06/2024,2.4315,2.4702,2.4215,2.4373
HO1:COM,11/06/2024,2.4219,2.4419,2.3987,2.4316
HO1:COM,10/06/2024,2.3579,2.4339,2.3572,2.4212
HO1:COM,07/06/2024,2.3596,2.3732,2.3442,2.3581
HO1:COM,06/06/2024,2.3124,2.3624,2.3014,2.3601
HO1:COM,05/06/2024,2.2822,2.3152,2.2793,2.313
HO1:COM,04/06/2024,2.2919,2.2968,2.2573,2.2837
HO1:COM,03/06/2024,2.3782,2.3988,2.2859,2.2931
HO1:COM,31/05/2024,2.3871,2.4129,2.3701,2.3864
HO1:COM,30/05/2024,2.431,2.4358,2.3553,2.3614
HO1:COM,29/05/2024,2.4799,2.4949,2.4262,2.4314
HO1:COM,28/05/2024,2.4347,2.4808,2.4339,2.4799
HO1:COM,27/05/2024,2.4192,2.4506,2.4117,2.4339
HO1:COM,24/05/2024,2.4111,2.4298,2.3895,2.414
HO1:COM,23/05/2024,2.4244,2.4701,2.4015,2.411
HO1:COM,22/05/2024,2.4593,2.4624,2.4217,2.4236
HO1:COM,21/05/2024,2.4833,2.4848,2.4413,2.4601
HO1:COM,20/05/2024,2.4789,2.503,2.4601,2.4824
HO1:COM,17/05/2024,2.4545,2.4929,2.4538,2.4883
HO1:COM,16/05/2024,2.4305,2.4573,2.4196,2.4553
HO1:COM,15/05/2024,2.427,2.4382,2.3755,2.4317
HO1:COM,14/05/2024,2.4399,2.4456,2.4025,2.4279
HO1:COM,13/05/2024,2.432,2.4655,2.4233,2.4397
HO1:COM,10/05/2024,2.4811,2.4997,2.4292,2.4324
HO1:COM,09/05/2024,2.4829,2.5077,2.4704,2.4807
HO1:COM,08/05/2024,2.459,2.4866,2.4268,2.4826
HO1:COM,07/05/2024,2.4702,2.4824,2.4276,2.4588
HO1:COM,06/05/2024,2.4427,2.4762,2.435,2.4701
HO1:COM,03/05/2024,2.4447,2.4616,2.4318,2.4391
