Symbol,Date,Open,High,Low,Close
IOE:COM,31/12/2024,779,779,779,779
IOE:COM,30/12/2024,779,779,777,779
IOE:COM,27/12/2024,761.5,761.5,761.5,761.5
IOE:COM,26/12/2024,780.5,780.5,779,780.5
IOE:COM,25/12/2024,776,776,776,776
IOE:COM,24/12/2024,779,779,779,779
IOE:COM,23/12/2024,773.5,777.5,773.5,773.5
IOE:COM,20/12/2024,770.5,770.5,770.5,770.5
IOE:COM,19/12/2024,773.5,778.5,773.5,773.5
IOE:COM,18/12/2024,780.5,780.5,780.5,780.5
IOE:COM,17/12/2024,789,789,789,789
IOE:COM,16/12/2024,800,800,800,800
IOE:COM,13/12/2024,797,797,795.5,797
IOE:COM,12/12/2024,802,802,802,802
IOE:COM,11/12/2024,809.5,809.5,804.5,809.5
IOE:COM,10/12/2024,814,814,814,814
IOE:COM,09/12/2024,824,824,824,824
IOE:COM,06/12/2024,791.5,795,791.5,791.5
IOE:COM,05/12/2024,790,790,790,790
IOE:COM,04/12/2024,812,812,812,812
IOE:COM,03/12/2024,815.5,815.5,815.5,815.5
IOE:COM,02/12/2024,810.5,810.5,810.5,810.5
IOE:COM,29/11/2024,793,794,793,793
IOE:COM,28/11/2024,789,789,789,789
IOE:COM,27/11/2024,795,795,793,795
IOE:COM,26/11/2024,784.5,784.5,784,784.5
IOE:COM,25/11/2024,781.5,783.5,781.5,781.5
IOE:COM,22/11/2024,788.5,788.5,782,788.5
IOE:COM,21/11/2024,781,781,781,781
IOE:COM,20/11/2024,777,777,776.5,777
IOE:COM,19/11/2024,774,775.5,774,774
IOE:COM,18/11/2024,760,760,760,760
IOE:COM,15/11/2024,738.5,738.5,738.5,738.5
IOE:COM,14/11/2024,752,756,752,752
IOE:COM,13/11/2024,764.5,764.5,762.5,764.5
IOE:COM,12/11/2024,767.5,767.5,767.5,767.5
IOE:COM,11/11/2024,767,767,767,767
IOE:COM,08/11/2024,763.5,772,763.5,763.5
IOE:COM,07/11/2024,792.5,795.5,792.5,792.5
IOE:COM,06/11/2024,780,780,777.5,780
IOE:COM,05/11/2024,787,787,787,787
IOE:COM,04/11/2024,781,781,781,781
IOE:COM,01/11/2024,770.5,770.5,770.5,770.5
IOE:COM,31/10/2024,766,781.5,766,766
IOE:COM,30/10/2024,783.5,785.5,783.5,783.5
IOE:COM,29/10/2024,788.5,788.5,788.5,788.5
IOE:COM,28/10/2024,786,786,786,786
IOE:COM,25/10/2024,787,787,771.5,787
IOE:COM,24/10/2024,765.5,765.5,765.5,765.5
IOE:COM,23/10/2024,748.5,749.5,748.5,748.5
IOE:COM,22/10/2024,766.5,766.5,766,766.5
IOE:COM,21/10/2024,754,754,754,754
IOE:COM,18/10/2024,752.5,760.5,752.5,752.5
IOE:COM,17/10/2024,754,754.5,754,754
IOE:COM,16/10/2024,782.5,782.5,782.5,782.5
IOE:COM,15/10/2024,791.5,791.5,791.5,791.5
IOE:COM,14/10/2024,804,804,804,804
IOE:COM,11/10/2024,789,789,789,789
IOE:COM,10/10/2024,775.5,775.5,775.5,775.5
IOE:COM,09/10/2024,777.5,777.5,777.5,777.5
IOE:COM,08/10/2024,783.5,783.5,783.5,783.5
IOE:COM,30/09/2024,821.5,821.5,821.5,821.5
IOE:COM,27/09/2024,750,750,750,750
IOE:COM,26/09/2024,728,728,728,728
IOE:COM,25/09/2024,709,709,709,709
IOE:COM,24/09/2024,699.5,699.5,699.5,699.5
IOE:COM,23/09/2024,658.5,658.5,658.5,658.5
IOE:COM,20/09/2024,680,680,680,680
IOE:COM,19/09/2024,693,693,693,693
IOE:COM,18/09/2024,675,675,675,675
IOE:COM,13/09/2024,694,694,694,694
IOE:COM,12/09/2024,707,707,707,707
IOE:COM,11/09/2024,694,694,694,694
IOE:COM,10/09/2024,675,675,675,675
IOE:COM,09/09/2024,685,685,685,685
IOE:COM,06/09/2024,684,684,684,684
IOE:COM,05/09/2024,678.5,678.5,678.5,678.5
IOE:COM,04/09/2024,689.5,689.5,689.5,689.5
IOE:COM,03/09/2024,703.5,703.5,703.5,703.5
IOE:COM,02/09/2024,723.5,723.5,723.5,723.5
IOE:COM,30/08/2024,754,754,754,754
IOE:COM,29/08/2024,760,760,760,760
IOE:COM,28/08/2024,754.5,754.5,754.5,754.5
IOE:COM,27/08/2024,758,758,758,758
IOE:COM,26/08/2024,750.5,750.5,750.5,750.5
IOE:COM,23/08/2024,719.5,719.5,719.5,719.5
IOE:COM,22/08/2024,730,730,730,730
IOE:COM,21/08/2024,742,742,742,742
IOE:COM,20/08/2024,710.5,710.5,710.5,710.5
