Symbol,Date,Open,High,Low,Close
KSP:COM,31/12/2024,5864,5884,5840,5870
KSP:COM,30/12/2024,5870,5904,5852,5878
KSP:COM,27/12/2024,5868,5904,5854,5896
KSP:COM,26/12/2024,5850,5870,5838,5856
KSP:COM,25/12/2024,5850,5868,5838,5852
KSP:COM,24/12/2024,5768,5856,5762,5820
KSP:COM,23/12/2024,5746,5790,5740,5770
KSP:COM,20/12/2024,5730,5776,5730,5762
KSP:COM,19/12/2024,5762,5782,5690,5736
KSP:COM,18/12/2024,5780,5812,5768,5786
KSP:COM,17/12/2024,5790,5822,5762,5792
KSP:COM,16/12/2024,5740,5760,5460,5728
KSP:COM,13/12/2024,5752,5752,5752,5752
KSP:COM,12/12/2024,5786,5802,5772,5776
KSP:COM,11/12/2024,5780,5790,5772,5778
KSP:COM,10/12/2024,5800,5800,5780,5780
KSP:COM,09/12/2024,5810,5832,5766,5774
KSP:COM,06/12/2024,5764,5828,5748,5828
KSP:COM,05/12/2024,5792,5800,5744,5746
KSP:COM,04/12/2024,5828,5828,5790,5796
KSP:COM,03/12/2024,5810,5810,5810,5810
KSP:COM,02/12/2024,5790,5848,5790,5842
KSP:COM,29/11/2024,5790,5808,5716,5790
KSP:COM,28/11/2024,5798,5800,5682,5792
KSP:COM,27/11/2024,5794,5804,5760,5804
KSP:COM,26/11/2024,5790,5798,5766,5794
KSP:COM,25/11/2024,5826,5868,5756,5782
KSP:COM,22/11/2024,5858,5872,5846,5854
KSP:COM,21/11/2024,5802,5878,5786,5864
KSP:COM,20/11/2024,5830,5838,5782,5810
KSP:COM,19/11/2024,5816,5856,5786,5820
KSP:COM,18/11/2024,5782,5892,5700,5828
KSP:COM,15/11/2024,5842,5842,5842,5842
KSP:COM,14/11/2024,5778,5860,5778,5852
KSP:COM,13/11/2024,5714,5776,5714,5776
KSP:COM,12/11/2024,5700,5706,5692,5700
KSP:COM,11/11/2024,5772,5782,5678,5700
KSP:COM,08/11/2024,5772,5794,5740,5754
KSP:COM,07/11/2024,5650,5758,5650,5758
KSP:COM,06/11/2024,5706,5720,5680,5680
KSP:COM,05/11/2024,5710,5740,5700,5706
KSP:COM,04/11/2024,5708,5738,5672,5726
KSP:COM,01/11/2024,5760,5762,5706,5706
KSP:COM,31/10/2024,5766,5788,5748,5776
KSP:COM,30/10/2024,5710,5768,5680,5758
KSP:COM,29/10/2024,5726,5742,5672,5680
KSP:COM,28/10/2024,5704,5754,5690,5720
KSP:COM,25/10/2024,5784,5790,5680,5704
KSP:COM,24/10/2024,5800,5800,5668,5768
KSP:COM,23/10/2024,5770,5802,5756,5786
KSP:COM,22/10/2024,5798,5818,5742,5788
KSP:COM,21/10/2024,5764,5800,5742,5782
KSP:COM,18/10/2024,5684,5778,5684,5764
KSP:COM,17/10/2024,5674,5700,5632,5664
KSP:COM,16/10/2024,5746,5816,5646,5652
KSP:COM,15/10/2024,5720,5800,5720,5800
KSP:COM,14/10/2024,5770,5774,5760,5760
KSP:COM,11/10/2024,5724,5800,5724,5800
KSP:COM,10/10/2024,5798,5800,5630,5740
KSP:COM,09/10/2024,5800,5800,5800,5800
KSP:COM,08/10/2024,5780,5800,5670,5670
KSP:COM,30/09/2024,5752,5794,5712,5794
KSP:COM,27/09/2024,5702,5734,5682,5732
KSP:COM,26/09/2024,5748,5748,5650,5700
KSP:COM,25/09/2024,5706,5736,5692,5720
KSP:COM,24/09/2024,5630,5680,5628,5676
KSP:COM,23/09/2024,5674,5674,5612,5630
KSP:COM,20/09/2024,5614,5696,5614,5684
KSP:COM,19/09/2024,5556,5632,5542,5620
KSP:COM,18/09/2024,5580,5600,5510,5580
KSP:COM,13/09/2024,5532,5578,5526,5578
KSP:COM,12/09/2024,5566,5582,5510,5582
KSP:COM,11/09/2024,5602,5624,5502,5566
KSP:COM,10/09/2024,5616,5670,5612,5618
KSP:COM,09/09/2024,5652,5660,5610,5628
KSP:COM,06/09/2024,5712,5712,5640,5660
KSP:COM,05/09/2024,5652,5744,5652,5700
KSP:COM,04/09/2024,5840,5866,5648,5650
KSP:COM,03/09/2024,5792,5888,5792,5868
KSP:COM,02/09/2024,5810,5840,5790,5792
KSP:COM,30/08/2024,5840,5850,5810,5810
KSP:COM,29/08/2024,5786,5856,5764,5846
KSP:COM,28/08/2024,5808,5848,5796,5798
KSP:COM,27/08/2024,5790,5802,5756,5802
KSP:COM,26/08/2024,5710,5780,5706,5780
KSP:COM,23/08/2024,5760,5760,5708,5710
KSP:COM,22/08/2024,5738,5760,5718,5742
KSP:COM,21/08/2024,5688,5750,5688,5748
KSP:COM,20/08/2024,5684,5714,5666,5698
KSP:COM,19/08/2024,5658,5696,5634,5684
KSP:COM,16/08/2024,5650,5690,5616,5658
KSP:COM,15/08/2024,5616,5664,5600,5610
KSP:COM,14/08/2024,5668,5668,5616,5616
KSP:COM,13/08/2024,5712,5818,5668,5668
KSP:COM,12/08/2024,5680,5688,5668,5668
KSP:COM,09/08/2024,5600,5692,5580,5692
KSP:COM,08/08/2024,5674,5772,5600,5600
KSP:COM,07/08/2024,5650,5660,5642,5660
KSP:COM,06/08/2024,5650,5700,5650,5658
KSP:COM,05/08/2024,5764,5764,5664,5670
KSP:COM,02/08/2024,5702,5748,5702,5748
KSP:COM,01/08/2024,5742,5768,5692,5720
KSP:COM,31/07/2024,5616,5748,5572,5736
KSP:COM,30/07/2024,5702,5702,5614,5614
KSP:COM,29/07/2024,5648,5716,5648,5704
KSP:COM,26/07/2024,5600,5680,5592,5654
KSP:COM,25/07/2024,5684,5702,5570,5588
KSP:COM,24/07/2024,5608,5710,5608,5684
KSP:COM,23/07/2024,5682,5682,5612,5618
KSP:COM,22/07/2024,5710,5710,5634,5666
KSP:COM,19/07/2024,5736,5746,5716,5738
KSP:COM,18/07/2024,5656,5756,5604,5718
KSP:COM,17/07/2024,5674,5714,5630,5656
