Symbol,Date,Open,High,Low,Close
LL1:COM,31/12/2024,1944.5,1962,1944,1956
LL1:COM,30/12/2024,1969,1969,1946.5,1947
LL1:COM,27/12/2024,1986.5,1986.5,1954.5,1968
LL1:COM,24/12/2024,1994,2003,1986,1988
LL1:COM,23/12/2024,1986,2008,1980,1995
LL1:COM,20/12/2024,1967,1991.5,1965,1986
LL1:COM,19/12/2024,1976.5,1977.5,1957,1974
LL1:COM,18/12/2024,1991.5,1999,1972,1983
LL1:COM,17/12/2024,1999.5,2013.5,1985,1988
LL1:COM,16/12/2024,2008,2024,1998,1998
LL1:COM,13/12/2024,2003.5,2015.5,1995.5,2015
LL1:COM,12/12/2024,2036.5,2045,2003.5,2004
LL1:COM,11/12/2024,2066,2074,2035.5,2037
LL1:COM,10/12/2024,2066.5,2074,2061,2069
LL1:COM,09/12/2024,2065,2099,2065,2066
LL1:COM,06/12/2024,2100,2107,2070,2073
LL1:COM,05/12/2024,2091,2104,2087,2101
LL1:COM,04/12/2024,2078.5,2091.5,2069,2090
LL1:COM,03/12/2024,2079.5,2087,2058,2087
LL1:COM,02/12/2024,2077.5,2083,2061,2076
LL1:COM,29/11/2024,2060,2085,2056.5,2085
LL1:COM,28/11/2024,2059.5,2071,2042,2052
LL1:COM,27/11/2024,2023.5,2063,2023.5,2062
LL1:COM,26/11/2024,2018.5,2039,2010,2018
LL1:COM,25/11/2024,2033,2051.5,2023.5,2028
LL1:COM,22/11/2024,2004.5,2037,2004.5,2026
LL1:COM,21/11/2024,2018.5,2026,1985,2005
LL1:COM,20/11/2024,2009.5,2044,2002.5,2018
LL1:COM,19/11/2024,2002,2013,1976,2005
LL1:COM,18/11/2024,1963,1997,1948,1995
LL1:COM,15/11/2024,1963.5,1995.5,1950,1950
LL1:COM,14/11/2024,2006.5,2011.5,1959,1963
LL1:COM,13/11/2024,2024.5,2038.5,2004,2009
LL1:COM,12/11/2024,2023.5,2036,2019,2025
LL1:COM,11/11/2024,2031,2040,2016,2022
LL1:COM,08/11/2024,2044.5,2055.5,2025,2027
LL1:COM,07/11/2024,2047.5,2062,2038,2041
LL1:COM,06/11/2024,2024.5,2052,2008,2049
LL1:COM,05/11/2024,2038.5,2050,2024.5,2031
LL1:COM,04/11/2024,2049.5,2074,2033,2040
LL1:COM,01/11/2024,2039,2074.5,2034,2042
LL1:COM,31/10/2024,2011.5,2042,1997,2041
LL1:COM,30/10/2024,2010.5,2033,2006.5,2008
LL1:COM,29/10/2024,2029.5,2031.5,2000.5,2012
LL1:COM,28/10/2024,2049,2052.5,2025,2032
LL1:COM,25/10/2024,2081.5,2084.5,2047.5,2049
LL1:COM,24/10/2024,2059.5,2086,2058.5,2078
LL1:COM,23/10/2024,2083,2087,2056,2059
LL1:COM,22/10/2024,2058,2089,2051.5,2080
LL1:COM,21/10/2024,2075,2089,2054,2055
LL1:COM,18/10/2024,2074,2086.5,2065.5,2076
LL1:COM,17/10/2024,2091.5,2106.5,2069.5,2073
LL1:COM,16/10/2024,2080.5,2113,2074.5,2087
LL1:COM,15/10/2024,2068.5,2087,2037,2080
LL1:COM,14/10/2024,2092.5,2096.5,2047,2071
LL1:COM,11/10/2024,2070,2101,2070,2100
LL1:COM,10/10/2024,2077,2079,2047.5,2075
LL1:COM,09/10/2024,2100.5,2112,2050,2076
LL1:COM,08/10/2024,2152.5,2159,2088.5,2106
LL1:COM,07/10/2024,2154,2168.5,2146.5,2155
LL1:COM,04/10/2024,2147,2164,2139,2156
LL1:COM,03/10/2024,2153,2163.5,2125,2148
LL1:COM,02/10/2024,2113,2160,2110.5,2153
LL1:COM,01/10/2024,2107.5,2129,2103,2108
LL1:COM,30/09/2024,2107,2138,2096,2114
LL1:COM,27/09/2024,2130,2130,2119.5,2119.5
LL1:COM,26/09/2024,2142,2142,2133,2137
LL1:COM,25/09/2024,2090,2096.5,2085,2096.5
LL1:COM,24/09/2024,2094,2094,2085,2085
LL1:COM,23/09/2024,2050,2057.5,2050,2057.5
LL1:COM,20/09/2024,2079,2079,2055,2055
LL1:COM,19/09/2024,2072,2074.5,2070,2074.5
LL1:COM,18/09/2024,2026,2037.5,2026,2037.5
LL1:COM,17/09/2024,2025,2025,2018,2018
LL1:COM,16/09/2024,2056,2056,2038.5,2038.5
LL1:COM,13/09/2024,2017,2043.5,2012,2043.5
LL1:COM,12/09/2024,2033,2033,2027,2027
LL1:COM,11/09/2024,1997,1997,1988.5,1988.5
LL1:COM,10/09/2024,1962,1962,1955,1955
LL1:COM,09/09/2024,1955,1955,1953,1953
LL1:COM,06/09/2024,1996,1996,1963,1963
LL1:COM,05/09/2024,2014,2014,1995,1995
LL1:COM,04/09/2024,2025,2026,2020,2020
LL1:COM,03/09/2024,2043,2049.5,2043,2049.5
LL1:COM,02/09/2024,2050,2059.5,2048,2059.5
LL1:COM,30/08/2024,2067,2067,2053,2053
LL1:COM,29/08/2024,2057,2057,2035.5,2035.5
LL1:COM,28/08/2024,2088,2088,2083,2085
LL1:COM,27/08/2024,2117,2124,2115,2124
LL1:COM,23/08/2024,2105,2117,2102,2117
LL1:COM,22/08/2024,2089,2089,2053,2053
LL1:COM,21/08/2024,2086,2086,2082,2085.5
LL1:COM,20/08/2024,2067,2067,2053.5,2053.5
LL1:COM,19/08/2024,2055,2055,2039,2039
LL1:COM,16/08/2024,2015,2036.5,2013,2036.5
LL1:COM,15/08/2024,2042,2042,2034.5,2034.5
LL1:COM,14/08/2024,2005,2009,2000,2009
LL1:COM,13/08/2024,2014,2014,1990.5,1990.5
LL1:COM,12/08/2024,2070,2070,2047.5,2047.5
LL1:COM,09/08/2024,2030,2038,2028,2038
