Symbol,Date,Open,High,Low,Close
LH1:COM,31/12/2024,82,82,80,80.9
LH1:COM,30/12/2024,84,84.15,80.9,81.625
LH1:COM,27/12/2024,84.2,84.975,83.625,84.15
LH1:COM,26/12/2024,84.35,84.7,83.7,84.2
LH1:COM,25/12/2024,84.3331,84.3331,84.3222,84.3256
LH1:COM,24/12/2024,84.25,84.775,83.5,84.375
LH1:COM,23/12/2024,85.7,86.075,83.35,84.375
LH1:COM,20/12/2024,84.05,86,83.675,85.925
LH1:COM,19/12/2024,84.25,84.625,83.5,83.625
LH1:COM,18/12/2024,83.2,83.975,83.1,83.7
LH1:COM,17/12/2024,83.9,84.4,82.75,83.2
LH1:COM,16/12/2024,85.825,86.6,82.675,83.55
LH1:COM,13/12/2024,84.6,86.25,83.925,85.6
LH1:COM,12/12/2024,84.675,85.3,83.975,84.475
LH1:COM,11/12/2024,84.975,85.55,83.9,84.375
LH1:COM,10/12/2024,86.825,87.3,83.75,84.575
LH1:COM,09/12/2024,83.05,83.375,82.675,82.9
LH1:COM,06/12/2024,82.1,83.5,81.95,83.3
LH1:COM,05/12/2024,82.475,82.775,82.25,82.425
LH1:COM,04/12/2024,83.15,83.2,82.2,82.5
LH1:COM,03/12/2024,83.6,83.875,83.125,83.25
LH1:COM,02/12/2024,82.25,83.275,82.2,83.225
LH1:COM,29/11/2024,82.2,83,81.75,82.075
LH1:COM,27/11/2024,82.975,83.6,82.275,82.4
LH1:COM,26/11/2024,82.075,83.325,81.775,83.1
LH1:COM,25/11/2024,81.575,82.425,81.325,81.975
LH1:COM,22/11/2024,80.625,81.75,80.425,81.675
LH1:COM,21/11/2024,80.525,81.55,80.275,80.8
LH1:COM,20/11/2024,79.75,80.75,79.25,80.525
LH1:COM,19/11/2024,80.025,80.45,78.9,79.55
LH1:COM,18/11/2024,80.075,80.55,79.6,80.025
LH1:COM,15/11/2024,80,80.6,79.1,79.5
LH1:COM,14/11/2024,82.3,82.35,79.4,80.1
LH1:COM,13/11/2024,81.975,82.025,80.775,81.875
LH1:COM,12/11/2024,81.95,83.425,81.95,82.35
LH1:COM,11/11/2024,81,82.2,80.875,81.775
LH1:COM,08/11/2024,80.5,81.175,79.8,80.425
LH1:COM,07/11/2024,81.95,81.95,81,81.2
LH1:COM,06/11/2024,81.025,82.35,80.825,82.125
LH1:COM,05/11/2024,82.925,82.975,81.075,81.125
LH1:COM,04/11/2024,84.55,84.825,82.85,83.225
LH1:COM,01/11/2024,84.525,85.075,83.875,84.075
LH1:COM,31/10/2024,84.65,84.675,83.65,83.8
LH1:COM,30/10/2024,83,84.65,83,84.375
LH1:COM,29/10/2024,81.5,83,81.25,82.825
LH1:COM,28/10/2024,79.75,80.825,79.2,80.625
LH1:COM,25/10/2024,78.85,79.725,78.175,79.675
LH1:COM,24/10/2024,79.8,80.3,78.425,78.65
LH1:COM,23/10/2024,79,80.225,78.875,80.175
LH1:COM,22/10/2024,78.85,79.45,78.25,79.125
LH1:COM,21/10/2024,77.725,78.475,76.8,78.275
LH1:COM,18/10/2024,77.85,78.375,77.275,77.825
LH1:COM,17/10/2024,77.7,78.425,77.05,77.675
LH1:COM,16/10/2024,75.4,77.85,75.225,77.7
LH1:COM,15/10/2024,75.8,76.275,75.1,75.225
LH1:COM,14/10/2024,77.35,77.5,75.2,75.8
LH1:COM,11/10/2024,76.75,77.9,76.7,77.65
LH1:COM,10/10/2024,75.8,77.275,75.55,76.95
LH1:COM,09/10/2024,76.9,77.225,75.075,75.575
LH1:COM,08/10/2024,84.1,84.4,83.975,84.125
LH1:COM,07/10/2024,83.85,84.05,83.625,83.975
LH1:COM,04/10/2024,84.075,84.5,83.775,84.025
LH1:COM,03/10/2024,84.375,84.4,83.775,84.175
LH1:COM,02/10/2024,83.85,84.75,83.725,84.675
LH1:COM,01/10/2024,82.55,83.775,82.475,83.5
LH1:COM,30/09/2024,82.05,82.5,81.725,82.25
LH1:COM,27/09/2024,81.8,82.9,81.5,82.05
LH1:COM,26/09/2024,82.525,82.525,81.275,82.025
LH1:COM,25/09/2024,81.975,82.7,81.975,82.475
LH1:COM,24/09/2024,82.5,83.05,81.975,82.125
LH1:COM,23/09/2024,82.225,82.55,81.875,82.3
LH1:COM,20/09/2024,82.275,82.65,81.95,82.225
LH1:COM,19/09/2024,81.925,82.4,81.725,82.25
LH1:COM,18/09/2024,81.95,82.3,81.275,82.05
LH1:COM,17/09/2024,80.2,82.075,80.2,81.775
LH1:COM,16/09/2024,78.725,80.675,78.6,79.925
LH1:COM,13/09/2024,79.225,79.75,78.275,78.45
LH1:COM,12/09/2024,79.45,80.15,78.875,78.9
LH1:COM,11/09/2024,79,79.8,78.475,79.75
LH1:COM,10/09/2024,79.2,79.55,78.2,78.55
LH1:COM,09/09/2024,79.95,80.025,78.475,78.8
LH1:COM,06/09/2024,80.6,81.3,79.425,79.5
LH1:COM,05/09/2024,81.125,81.775,80.45,80.7
LH1:COM,04/09/2024,82.825,83.375,81.425,81.575
LH1:COM,03/09/2024,82.25,83,80.75,82.525
LH1:COM,30/08/2024,82.125,83,81.925,82.225
LH1:COM,29/08/2024,81.375,82.3,81.1,82.175
LH1:COM,28/08/2024,81.8,82.425,81.525,81.675
LH1:COM,27/08/2024,79.9,82.475,79.675,82.075
LH1:COM,26/08/2024,80.6,81.45,79.775,80.4
LH1:COM,23/08/2024,79.55,80.925,79.45,80.55
LH1:COM,22/08/2024,75.225,79.775,74.925,79.625
LH1:COM,21/08/2024,76.675,78.125,75.7,76.15
LH1:COM,20/08/2024,76.225,76.925,76.075,76.4
LH1:COM,19/08/2024,74.85,77.275,74.75,76.8
LH1:COM,16/08/2024,76.475,76.725,74.675,75.075
LH1:COM,15/08/2024,75.4,76.875,74.825,76.5
LH1:COM,14/08/2024,73.3,76.1,73,75.925
LH1:COM,13/08/2024,74.375,74.5,71.325,72.85
LH1:COM,12/08/2024,73.725,74.65,73.375,74.325
LH1:COM,09/08/2024,72.825,74.375,72.825,73.975
LH1:COM,08/08/2024,90,90.4,89.75,90.025
LH1:COM,07/08/2024,91.175,91.225,90.4,90.6
LH1:COM,06/08/2024,91.3,92.35,91.025,91.275
LH1:COM,05/08/2024,91.775,91.95,90.9,91.15
LH1:COM,02/08/2024,93,93.15,92.075,92.2
LH1:COM,01/08/2024,92.275,93.3,92.125,93.15
LH1:COM,31/07/2024,91.375,92.35,91.075,92.275
LH1:COM,30/07/2024,91.675,91.9,90.7,91.2
LH1:COM,29/07/2024,93.05,93.05,90.625,91.45
LH1:COM,26/07/2024,94.075,94.1,93.375,93.475
