Symbol,Date,Open,High,Low,Close
NG1:COM,31/12/2024,3.7,3.775,3.577,3.6173
NG1:COM,30/12/2024,4.02,4.201,3.813,3.936
NG1:COM,27/12/2024,3.398,3.428,3.297,3.383
NG1:COM,26/12/2024,3.307,3.328,3.256,3.319
NG1:COM,25/12/2024,3.9473,3.9749,3.8144,3.84
NG1:COM,24/12/2024,3.453,3.51,3.442,3.504
NG1:COM,23/12/2024,3.382,3.396,3.289,3.346
NG1:COM,20/12/2024,3.604,3.828,3.554,3.748
NG1:COM,19/12/2024,3.481,3.646,3.464,3.584
NG1:COM,18/12/2024,3.38,3.441,3.329,3.374
NG1:COM,17/12/2024,3.14,3.394,3.091,3.308
NG1:COM,16/12/2024,3.194,3.253,3.182,3.214
NG1:COM,13/12/2024,3.36,3.37,3.264,3.28
NG1:COM,12/12/2024,3.396,3.559,3.342,3.455
NG1:COM,11/12/2024,3.298,3.404,3.298,3.378
NG1:COM,10/12/2024,3.087,3.193,3.071,3.163
NG1:COM,09/12/2024,3.177,3.223,3.137,3.182
NG1:COM,06/12/2024,3.05,3.108,3.037,3.076
NG1:COM,05/12/2024,3.097,3.155,3.047,3.079
NG1:COM,04/12/2024,3.033,3.088,2.977,3.043
NG1:COM,03/12/2024,3.137,3.138,3.03,3.042
NG1:COM,02/12/2024,3.224,3.279,3.177,3.213
NG1:COM,29/11/2024,3.311,3.384,3.289,3.335
NG1:COM,28/11/2024,3.1925,3.3128,3.1773,3.2767
NG1:COM,27/11/2024,3.243,3.278,3.189,3.204
NG1:COM,26/11/2024,3.468,3.528,3.39,3.467
NG1:COM,25/11/2024,3.464,3.566,3.4,3.443
NG1:COM,22/11/2024,3.3,3.337,3.249,3.287
NG1:COM,21/11/2024,3.558,3.585,3.423,3.482
NG1:COM,20/11/2024,3.096,3.237,3.072,3.193
NG1:COM,19/11/2024,2.966,3.058,2.928,2.998
NG1:COM,18/11/2024,2.867,2.977,2.867,2.973
NG1:COM,15/11/2024,2.761,2.843,2.752,2.823
NG1:COM,14/11/2024,2.933,2.961,2.759,2.785
NG1:COM,13/11/2024,2.873,3.02,2.86,2.983
NG1:COM,12/11/2024,2.91,3.013,2.859,2.907
NG1:COM,11/11/2024,2.915,2.956,2.888,2.92
NG1:COM,08/11/2024,2.716,2.748,2.643,2.669
NG1:COM,07/11/2024,2.69,2.719,2.656,2.693
NG1:COM,06/11/2024,2.725,2.796,2.702,2.747
NG1:COM,05/11/2024,2.794,2.799,2.651,2.67
NG1:COM,04/11/2024,2.683,2.795,2.67,2.781
NG1:COM,01/11/2024,2.708,2.724,2.632,2.663
NG1:COM,31/10/2024,2.763,2.788,2.688,2.707
NG1:COM,30/10/2024,2.793,2.866,2.784,2.845
NG1:COM,29/10/2024,2.865,2.908,2.823,2.859
NG1:COM,28/10/2024,2.864,2.89,2.801,2.863
NG1:COM,25/10/2024,3.007,3.101,2.991,3.092
NG1:COM,24/10/2024,2.965,3.062,2.903,3.018
NG1:COM,23/10/2024,2.332,2.442,2.286,2.342
NG1:COM,22/10/2024,2.318,2.375,2.287,2.311
NG1:COM,21/10/2024,2.282,2.369,2.281,2.312
NG1:COM,18/10/2024,2.311,2.32,2.248,2.258
NG1:COM,17/10/2024,2.397,2.417,2.338,2.347
NG1:COM,16/10/2024,2.439,2.441,2.358,2.367
NG1:COM,15/10/2024,2.524,2.55,2.483,2.498
NG1:COM,14/10/2024,2.549,2.56,2.476,2.494
NG1:COM,11/10/2024,2.658,2.671,2.615,2.632
NG1:COM,10/10/2024,2.618,2.7,2.596,2.675
NG1:COM,09/10/2024,2.699,2.724,2.632,2.66
NG1:COM,08/10/2024,2.742,2.773,2.705,2.733
NG1:COM,07/10/2024,2.784,2.787,2.705,2.746
NG1:COM,04/10/2024,2.902,2.921,2.831,2.854
NG1:COM,03/10/2024,2.961,2.988,2.929,2.97
NG1:COM,02/10/2024,2.958,2.981,2.87,2.886
NG1:COM,01/10/2024,2.892,2.942,2.855,2.896
NG1:COM,30/09/2024,2.888,2.948,2.883,2.923
NG1:COM,27/09/2024,2.827,2.932,2.816,2.902
