Symbol,Date,Open,High,Low,Close
LN1:COM,31/12/2024,15480,15500,15300,15360
LN1:COM,30/12/2024,15480,15680,15390,15490
LN1:COM,29/12/2024,15305,15305,15305,15305
LN1:COM,28/12/2024,15305,15305,15305,15305
LN1:COM,27/12/2024,15550,15590,15215,15305
LN1:COM,26/12/2024,15465,15465,15465,15465
LN1:COM,25/12/2024,15465,15465,15465,15465
LN1:COM,24/12/2024,15390,15575,15290,15465
LN1:COM,23/12/2024,15435,15530,15270,15430
LN1:COM,22/12/2024,15350,15350,15350,15350
LN1:COM,21/12/2024,15350,15350,15350,15350
LN1:COM,20/12/2024,15065,15370,15065,15350
LN1:COM,19/12/2024,15540,15540,15070,15090
LN1:COM,18/12/2024,15525,15585,15465,15580
LN1:COM,17/12/2024,15690,15710,15495,15525
LN1:COM,16/12/2024,15865,15880,15670,15670
LN1:COM,13/12/2024,16198,16273.5,15803.5,15876
LN1:COM,12/12/2024,16168.5,16234.5,16126.5,16176
LN1:COM,11/12/2024,15783.5,15885.5,15740.5,15831.5
LN1:COM,10/12/2024,15891,15891,15692.5,15793
LN1:COM,09/12/2024,16097,16111,15936,15999
LN1:COM,06/12/2024,16032,16142,16012.5,16012.5
LN1:COM,05/12/2024,16040,16059.5,15869.5,15962
LN1:COM,04/12/2024,16177,16218.5,16013.5,16080.5
LN1:COM,03/12/2024,15928.5,16098,15925,16095
LN1:COM,02/12/2024,15867,15893.5,15659,15758
LN1:COM,29/11/2024,16020,16087,15895,16008.5
LN1:COM,28/11/2024,16015.5,16131,16002.5,16117
LN1:COM,27/11/2024,15941,16085,15843,15921
LN1:COM,26/11/2024,16078.5,16159.5,15950.5,16000.5
LN1:COM,25/11/2024,15987.5,16291,15935,16190.5
LN1:COM,22/11/2024,15780.5,16047.5,15743.5,15856
LN1:COM,21/11/2024,16025,16056.5,15674,15707
LN1:COM,20/11/2024,16023.5,16150,15872,15878
LN1:COM,19/11/2024,15816,15996.5,15778.5,15806
LN1:COM,18/11/2024,15648.5,15745.5,15464,15728
LN1:COM,15/11/2024,15602.5,15871,15492.5,15497
LN1:COM,14/11/2024,15754,15761.5,15582,15734
LN1:COM,13/11/2024,15933.5,15940,15723,15765
LN1:COM,12/11/2024,16003.5,16103,15879,15989
LN1:COM,11/11/2024,16180.5,16278.5,16076,16083
LN1:COM,08/11/2024,16465,16533,16324,16327
LN1:COM,07/11/2024,16350.5,16638.5,16346,16606.5
LN1:COM,06/11/2024,16032.5,16216,15898.5,16204
LN1:COM,05/11/2024,16203,16378,16089,16164.5
LN1:COM,04/11/2024,15969,16120.5,15936,16120.5
LN1:COM,01/11/2024,15922.5,16166,15900,15984
LN1:COM,31/10/2024,15837.5,15888.5,15714,15732
LN1:COM,30/10/2024,15897,16082,15810.5,15817.5
LN1:COM,29/10/2024,15971.5,16077,15857,15907.5
LN1:COM,28/10/2024,16127.5,16208,15937,15990
LN1:COM,25/10/2024,16253,16283.5,16118.5,16143
LN1:COM,24/10/2024,16315,16410.5,16248,16289.5
LN1:COM,23/10/2024,16298.5,16349,16160.5,16272
LN1:COM,22/10/2024,16647,16661,16313.5,16504
LN1:COM,21/10/2024,17140,17146,16635.5,16659
LN1:COM,18/10/2024,17009.5,17080.5,16846.5,16982
LN1:COM,17/10/2024,16989.5,17131.5,16884,17035.5
LN1:COM,16/10/2024,17326.5,17422.5,17256.5,17366.5
LN1:COM,15/10/2024,17421.5,17509.5,17324,17457
LN1:COM,14/10/2024,17674.5,17775.5,17480,17680
LN1:COM,11/10/2024,17637.5,17961,17604.5,17898
LN1:COM,10/10/2024,17379.5,17604,17320.5,17550
LN1:COM,09/10/2024,17767.5,17797.5,17319.5,17499
LN1:COM,08/10/2024,17565.5,17815.5,17534.5,17759
LN1:COM,07/10/2024,17924.5,18226,17921.5,17982
LN1:COM,04/10/2024,17788,18056.5,17731.5,17905
LN1:COM,03/10/2024,18268.5,18304.5,17528.5,17825.5
LN1:COM,02/10/2024,17874.5,18256.5,17847.5,18220.5
LN1:COM,01/10/2024,17693.5,17809.5,17625,17698
LN1:COM,30/09/2024,17146,17598,17145.5,17531
LN1:COM,27/09/2024,16925,16996,16875,16996
LN1:COM,26/09/2024,16850,16850,16745,16745
LN1:COM,25/09/2024,16750,16796,16730,16796
LN1:COM,24/09/2024,16750,16750,16675,16710
LN1:COM,23/09/2024,16500,16544,16500,16544
LN1:COM,20/09/2024,16500,16510,16440,16510
LN1:COM,19/09/2024,16400,16400,16333,16333
LN1:COM,18/09/2024,16250,16250,16220,16233
LN1:COM,17/09/2024,16250,16250,16175,16188
LN1:COM,16/09/2024,16200,16284,16195,16284
LN1:COM,13/09/2024,15950,15975,15940,15944
LN1:COM,12/09/2024,16150,16150,16100,16136
LN1:COM,11/09/2024,16000,16112,15950,16112
LN1:COM,10/09/2024,15900,15900,15741,15741
LN1:COM,09/09/2024,15925,15925,15890,15903
LN1:COM,06/09/2024,16000,16000,15893,15893
LN1:COM,05/09/2024,16025,16078,15980,16078
LN1:COM,04/09/2024,16300,16300,16214,16214
LN1:COM,03/09/2024,16550,16550,16462,16462
LN1:COM,02/09/2024,16650,16650,16625,16625
LN1:COM,30/08/2024,17050,17050,16766,16766
LN1:COM,29/08/2024,17000,17003,16925,17003
LN1:COM,28/08/2024,16870,17019,16835,17019
