Symbol,Date,Open,High,Low,Close
MVNLRTR:IND,31/12/2024,26.75,27.13,26.61,26.76
MVNLRTR:IND,30/12/2024,27.34,28.03,26.66,26.66
MVNLRTR:IND,27/12/2024,28,28.3,27.6,28.3
MVNLRTR:IND,26/12/2024,27.61,28.26,27.61,28.19
MVNLRTR:IND,25/12/2024,28.04,28.04,28.04,28.04
MVNLRTR:IND,24/12/2024,28.05,28.25,27.58,28.04
MVNLRTR:IND,23/12/2024,28.26,28.38,27.78,28.03
MVNLRTR:IND,20/12/2024,27.8,28.39,27.36,27.81
MVNLRTR:IND,19/12/2024,27.78,28.28,27.71,27.8
MVNLRTR:IND,18/12/2024,28.75,29.19,27.63,27.63
MVNLRTR:IND,17/12/2024,28.77,28.89,28.2,28.75
MVNLRTR:IND,16/12/2024,29.31,29.44,28.61,29.06
MVNLRTR:IND,13/12/2024,30.33,30.33,29.36,29.41
MVNLRTR:IND,12/12/2024,30.5,30.8,30,30.12
MVNLRTR:IND,11/12/2024,30.33,30.98,30.01,30.95
MVNLRTR:IND,10/12/2024,30.3,30.73,30.12,30.35
MVNLRTR:IND,09/12/2024,31.84,32.15,30.32,30.63
MVNLRTR:IND,07/12/2024,31.83,31.83,31.83,31.83
MVNLRTR:IND,06/12/2024,31.66,32.25,31.62,31.83
MVNLRTR:IND,05/12/2024,31.78,32.16,31.3,31.94
MVNLRTR:IND,04/12/2024,31.8,32.39,31.35,31.68
MVNLRTR:IND,03/12/2024,32.19,32.24,31.25,32.15
MVNLRTR:IND,02/12/2024,32.68,32.83,31.64,32.27
MVNLRTR:IND,30/11/2024,32.45,32.45,32.45,32.45
MVNLRTR:IND,29/11/2024,31.95,33.06,31.79,32.45
MVNLRTR:IND,28/11/2024,31.81,31.81,31.81,31.81
MVNLRTR:IND,27/11/2024,31.76,32.2,31.65,31.81
MVNLRTR:IND,26/11/2024,32.02,32.28,31.33,31.71
MVNLRTR:IND,25/11/2024,33.28,33.5,31.84,32.02
MVNLRTR:IND,22/11/2024,33.2,33.6,32.49,33.26
MVNLRTR:IND,21/11/2024,31.97,33.2,31.8,33.1
MVNLRTR:IND,20/11/2024,32.55,32.85,31.61,31.83
MVNLRTR:IND,19/11/2024,32.02,32.64,31.6,32.58
MVNLRTR:IND,18/11/2024,30.85,32.47,30.6,32.17
MVNLRTR:IND,15/11/2024,30.3,31.56,29.66,30.73
MVNLRTR:IND,14/11/2024,30.07,30.74,30.02,30.28
MVNLRTR:IND,13/11/2024,30.98,31.43,29.81,29.81
