Symbol,Date,Open,High,Low,Close
O 1:COM,31/12/2024,325.9833,334.1447,325.9833,333.8884
O 1:COM,30/12/2024,324.5,332,320.5,324
O 1:COM,27/12/2024,328.25,330.25,317.5,318
O 1:COM,26/12/2024,333.75,338,329.75,330.5
O 1:COM,25/12/2024,332.9863,333.032,332.9863,333.0185
O 1:COM,24/12/2024,344,344,332.25,332.5
O 1:COM,23/12/2024,354.5,354.5,340,341
O 1:COM,20/12/2024,358,358.25,351,351.25
O 1:COM,19/12/2024,359.25,363.25,355.25,355.75
O 1:COM,18/12/2024,362.75,364.25,356,359.5
O 1:COM,17/12/2024,362.75,366.25,361,364
O 1:COM,16/12/2024,368.25,368.75,364.75,368
O 1:COM,13/12/2024,359.75,369,359.75,368.75
O 1:COM,12/12/2024,359.5,363,356.25,362
O 1:COM,11/12/2024,356.25,364,356.25,357.5
O 1:COM,10/12/2024,354.25,360.5,350,353.5
O 1:COM,09/12/2024,348.25,348.25,332,332
O 1:COM,06/12/2024,336.75,336.75,336.75,336.75
O 1:COM,05/12/2024,341.5,341.5,341.5,341.5
O 1:COM,04/12/2024,356,356,356,356
O 1:COM,03/12/2024,356.75,356.75,356.75,356.75
O 1:COM,02/12/2024,343.5,348.5,343.5,348.5
O 1:COM,29/11/2024,332.25,337.5,332.25,337.5
O 1:COM,27/11/2024,350,352,332.25,334.25
O 1:COM,26/11/2024,350,358.25,347,347.75
O 1:COM,25/11/2024,347.5,349.25,345,345
O 1:COM,22/11/2024,348,352.25,347.5,349.25
O 1:COM,21/11/2024,344,352,343.25,346.25
O 1:COM,20/11/2024,345.75,349,336.75,344.75
O 1:COM,19/11/2024,365.25,366,338.75,344.75
O 1:COM,18/11/2024,360,372.25,360,363.75
O 1:COM,15/11/2024,351.25,359.25,348.75,356.75
O 1:COM,14/11/2024,347.25,357,345.25,348.5
O 1:COM,13/11/2024,341.25,343.5,336,342
O 1:COM,12/11/2024,347,347.75,338.25,345
O 1:COM,11/11/2024,352.25,355.25,341.5,345.75
O 1:COM,08/11/2024,371.5,373.25,359.25,361.5
O 1:COM,07/11/2024,388,388,379.5,383.25
O 1:COM,06/11/2024,385.5,393,384,391.75
O 1:COM,05/11/2024,393.75,395,387.25,391.25
O 1:COM,04/11/2024,402.75,408,389.5,390
O 1:COM,01/11/2024,397,400.5,395.75,399.25
O 1:COM,31/10/2024,391.25,403.75,387.75,394.5
O 1:COM,30/10/2024,385,392.5,385,390.75
O 1:COM,29/10/2024,379.75,388,379,384
O 1:COM,28/10/2024,375.75,383,375.75,379.75
O 1:COM,25/10/2024,378,381.5,376.5,380.25
O 1:COM,24/10/2024,381.5,382.75,373.5,376.75
O 1:COM,23/10/2024,377,382.25,377,380.5
O 1:COM,22/10/2024,378.75,384.75,377.25,383
O 1:COM,21/10/2024,385.75,388,376.25,379.5
O 1:COM,18/10/2024,384.25,385.5,382,382.5
O 1:COM,17/10/2024,381.5,389.75,380.75,388.25
O 1:COM,16/10/2024,379.75,388,376.75,379
O 1:COM,15/10/2024,373.75,379.75,372.25,377
O 1:COM,14/10/2024,375.25,377,370.5,372.75
O 1:COM,11/10/2024,384.5,388.75,378.25,379.75
O 1:COM,10/10/2024,385.75,394,381.5,384
