Symbol,Date,Open,High,Low,Close
XPDUSD:CUR,31/12/2024,879,896,876.5,891.5
XPDUSD:CUR,30/12/2024,898.5,901.5,876.5,879
XPDUSD:CUR,27/12/2024,911.5,912,890,894.5
XPDUSD:CUR,26/12/2024,906.5,906.5,906.5,906.5
XPDUSD:CUR,25/12/2024,934,936,931.5,935
XPDUSD:CUR,24/12/2024,938.5,938.5,938.5,938.5
XPDUSD:CUR,23/12/2024,915.5,915.5,915.5,915.5
XPDUSD:CUR,20/12/2024,891.5,908,882,903
XPDUSD:CUR,19/12/2024,886.5,906.5,884,890.5
XPDUSD:CUR,18/12/2024,921.5,924.5,884.5,886
XPDUSD:CUR,17/12/2024,933,937.5,911,921.5
XPDUSD:CUR,16/12/2024,947.5,948,927,932.5
XPDUSD:CUR,13/12/2024,967,973.5,823,945.5
XPDUSD:CUR,12/12/2024,994.5,995,966,967.5
XPDUSD:CUR,11/12/2024,991.5,1003,991.5,1003
XPDUSD:CUR,10/12/2024,974.5,974.5,974.5,974.5
XPDUSD:CUR,09/12/2024,955,994.5,953.5,975
XPDUSD:CUR,06/12/2024,962.5,974.5,950.5,952.5
XPDUSD:CUR,05/12/2024,975,983,958.5,963
XPDUSD:CUR,04/12/2024,966.5,988,941,976.5
XPDUSD:CUR,03/12/2024,983,995.5,966,966
XPDUSD:CUR,02/12/2024,980.5,999,966.5,983
XPDUSD:CUR,29/11/2024,982,996,966,983.5
XPDUSD:CUR,28/11/2024,979.5,989.5,973.5,981.5
XPDUSD:CUR,27/11/2024,983,1000,966,979
XPDUSD:CUR,26/11/2024,969,998.5,966,983
XPDUSD:CUR,25/11/2024,980,980,980,980
XPDUSD:CUR,22/11/2024,1025,1040,1017,1017
XPDUSD:CUR,21/11/2024,1042.5,1042.5,1042.5,1042.5
XPDUSD:CUR,20/11/2024,1031,1043.5,1007.5,1021.5
XPDUSD:CUR,19/11/2024,1004,1042.5,991.5,1030.5
XPDUSD:CUR,18/11/2024,956,1008,952,1003.5
XPDUSD:CUR,15/11/2024,933.5,961,930.5,943.5
XPDUSD:CUR,14/11/2024,926,939.5,909.5,933.5
XPDUSD:CUR,13/11/2024,943.5,954.5,924,925
XPDUSD:CUR,12/11/2024,981.5,983,936.5,944
XPDUSD:CUR,11/11/2024,991,996,972.5,980.5
XPDUSD:CUR,08/11/2024,1023,1025,983.5,987.5
XPDUSD:CUR,07/11/2024,1030,1041,1013.5,1023.5
XPDUSD:CUR,06/11/2024,1071,1071,1021.5,1031
XPDUSD:CUR,05/11/2024,1070.5,1091,1066,1072.5
XPDUSD:CUR,04/11/2024,1103.5,1117.5,1050.5,1071
XPDUSD:CUR,01/11/2024,1108.5,1136.5,1097.5,1097.5
XPDUSD:CUR,31/10/2024,1138.5,1144,1102,1110
XPDUSD:CUR,30/10/2024,1211,1213,1126.5,1138.5
