Symbol,Date,Open,High,Low,Close
XPTUSD:CUR,31/12/2024,898.2,903.6,890.7,893.6
XPTUSD:CUR,30/12/2024,913.9,913.9,896.5,902.4
XPTUSD:CUR,27/12/2024,938.7,939.9,917.7,919.5
XPTUSD:CUR,26/12/2024,959.5,960.6,949.8,954.2
XPTUSD:CUR,25/12/2024,952.1,956.8,952.1,955.7
XPTUSD:CUR,24/12/2024,958.9,963.6,957.9,960.5
XPTUSD:CUR,23/12/2024,948.8,952.8,943.6,948.9
XPTUSD:CUR,20/12/2024,934.4,934.4,934.4,934.4
XPTUSD:CUR,19/12/2024,921.5,921.5,921.5,921.5
XPTUSD:CUR,18/12/2024,932.6,932.6,932.6,932.6
XPTUSD:CUR,17/12/2024,941.5,941.5,941.5,941.5
XPTUSD:CUR,16/12/2024,938.3,938.3,938.3,938.3
XPTUSD:CUR,13/12/2024,921.3,921.3,921.3,921.3
XPTUSD:CUR,12/12/2024,937,937,936.1,936.6
XPTUSD:CUR,11/12/2024,947,947,947,947
XPTUSD:CUR,10/12/2024,945.3,945.3,945.3,945.3
XPTUSD:CUR,09/12/2024,932.6,960.3,928.8,943.7
XPTUSD:CUR,06/12/2024,939.8,947.3,927.9,930.6
XPTUSD:CUR,05/12/2024,943.7,952,935.2,939.9
XPTUSD:CUR,04/12/2024,950.8,952.9,930.1,943.8
XPTUSD:CUR,03/12/2024,946.8,959.4,940.2,950.9
XPTUSD:CUR,02/12/2024,944.6,947.9,936,946.7
XPTUSD:CUR,29/11/2024,932.4,951.5,930.4,946.5
XPTUSD:CUR,28/11/2024,929,936,895,932.3
XPTUSD:CUR,27/11/2024,926.9,938.4,923.5,928.9
XPTUSD:CUR,26/11/2024,927.2,937.1,920.3,926.7
XPTUSD:CUR,25/11/2024,938.8,938.8,938.8,938.8
XPTUSD:CUR,22/11/2024,969.7,969.7,969.7,969.7
XPTUSD:CUR,21/11/2024,965.2,965.2,965.2,965.2
XPTUSD:CUR,20/11/2024,969.2,971.4,953.6,957.4
XPTUSD:CUR,19/11/2024,964.3,973,957,969
XPTUSD:CUR,18/11/2024,940.8,967.9,939.7,964.2
XPTUSD:CUR,15/11/2024,932.7,949.7,930.7,936
XPTUSD:CUR,14/11/2024,929.8,940.5,922.3,938.1
XPTUSD:CUR,13/11/2024,946.9,953,928.6,929.6
XPTUSD:CUR,12/11/2024,962.3,962.3,935.2,942.3
XPTUSD:CUR,11/11/2024,972.8,984.4,956.7,961.9
XPTUSD:CUR,08/11/2024,994.1,995.5,962.4,967.9
XPTUSD:CUR,07/11/2024,982.7,993.6,971.2,989.4
XPTUSD:CUR,06/11/2024,996.1,997.9,961.4,982.8
XPTUSD:CUR,05/11/2024,979.4,1002,976.2,996.2
XPTUSD:CUR,04/11/2024,991.6,999.5,975.9,979.3
XPTUSD:CUR,01/11/2024,989.6,1005.6,984.3,993.3
XPTUSD:CUR,31/10/2024,1008.4,1011.8,983.2,989.7
XPTUSD:CUR,30/10/2024,1051.8,1054.5,1007.6,1008.5
XPTUSD:CUR,29/10/2024,1033,1055.1,1033,1051.7
XPTUSD:CUR,28/10/2024,1036.9,1040,1036.9,1037.3
XPTUSD:CUR,25/10/2024,1027,1027.2,1027,1027.2
XPTUSD:CUR,24/10/2024,1024.2,1024.2,1024.2,1024.2
XPTUSD:CUR,23/10/2024,1030.4,1038.3,1012.4,1021.8
XPTUSD:CUR,22/10/2024,1004.1,1032.5,1003.4,1030.7
XPTUSD:CUR,21/10/2024,1017.3,1024.1,1002.9,1004.2
XPTUSD:CUR,18/10/2024,994.9,1016.9,990,1014.1
XPTUSD:CUR,17/10/2024,998.1,1012.4,990,995.1
XPTUSD:CUR,16/10/2024,985,1002.7,984.3,998.2
XPTUSD:CUR,15/10/2024,993.1,995.8,973.1,985
XPTUSD:CUR,14/10/2024,974.1,999.2,966.3,993
XPTUSD:CUR,11/10/2024,972.9,986.2,970.3,986
XPTUSD:CUR,10/10/2024,952,973,950.8,973
XPTUSD:CUR,09/10/2024,955.5,958.5,943,951.9
XPTUSD:CUR,08/10/2024,971.4,977.4,949.7,955.9
XPTUSD:CUR,07/10/2024,987.3,993.4,968.6,971.5
XPTUSD:CUR,04/10/2024,992.5,1006.2,985.6,987.7
XPTUSD:CUR,03/10/2024,1005.3,1005.5,976,992.3
XPTUSD:CUR,02/10/2024,988.6,1013,900,1005.2
XPTUSD:CUR,01/10/2024,979.2,999.8,943,988.5
XPTUSD:CUR,30/09/2024,1004.5,1004.8,969.7,978.9
XPTUSD:CUR,27/09/2024,1010.5,1019,997.4,1001
XPTUSD:CUR,26/09/2024,990.3,1020,990.3,1010
XPTUSD:CUR,25/09/2024,991.4,991.4,991.4,991.4
XPTUSD:CUR,24/09/2024,987.4,987.4,987.4,987.4
XPTUSD:CUR,23/09/2024,961.5,961.5,961.5,961.5
XPTUSD:CUR,20/09/2024,985,995.5,973.7,977.4
XPTUSD:CUR,19/09/2024,970.7,993.6,964.6,984.9
XPTUSD:CUR,18/09/2024,982.9,986.9,966.1,970.6
XPTUSD:CUR,17/09/2024,986,994.8,978.3,983.1
XPTUSD:CUR,16/09/2024,997.8,1005.6,982.2,986.1
XPTUSD:CUR,13/09/2024,982.6,1006,982.6,998
XPTUSD:CUR,12/09/2024,955.7,982.6,952.6,982.5
XPTUSD:CUR,11/09/2024,940.1,957.2,929.1,956
XPTUSD:CUR,10/09/2024,942.4,947,934.3,940
XPTUSD:CUR,09/09/2024,924.2,943.2,923.3,942.3
XPTUSD:CUR,06/09/2024,927,936.7,910.7,920.4
XPTUSD:CUR,05/09/2024,904.2,932.8,903.1,924.3
XPTUSD:CUR,04/09/2024,903.5,911.8,896.6,904.2
XPTUSD:CUR,03/09/2024,924.6,925.5,897.6,903.1
XPTUSD:CUR,02/09/2024,926.3,929,920.2,924.4
XPTUSD:CUR,30/08/2024,937.7,948,923.7,926
XPTUSD:CUR,29/08/2024,931.5,947.1,930.9,937.8
XPTUSD:CUR,28/08/2024,959.5,960.2,929.7,931.4
XPTUSD:CUR,27/08/2024,959,959,959,959
XPTUSD:CUR,26/08/2024,968.6,968.6,968.6,968.6
XPTUSD:CUR,23/08/2024,960.4,960.4,960.4,960.4
XPTUSD:CUR,22/08/2024,967.9,968.7,937.6,946.7
XPTUSD:CUR,21/08/2024,950.4,978,947.9,967.8
XPTUSD:CUR,20/08/2024,957,965.4,946.6,950.5
XPTUSD:CUR,19/08/2024,952.8,962.8,943.5,957.1
XPTUSD:CUR,16/08/2024,954.7,957.4,942.3,955.9
XPTUSD:CUR,15/08/2024,923,962.7,920.9,954.6
XPTUSD:CUR,14/08/2024,937.6,944.3,920.5,922.7
XPTUSD:CUR,13/08/2024,940.9,941.7,930.7,937.2
XPTUSD:CUR,12/08/2024,921.3,947.5,918.5,941
XPTUSD:CUR,09/08/2024,936.5,940.7,921.7,925.2
XPTUSD:CUR,08/08/2024,914.6,936.6,913.4,936.4
XPTUSD:CUR,07/08/2024,908,930.2,907.2,914.5
XPTUSD:CUR,06/08/2024,913,924.3,905.3,908.1
XPTUSD:CUR,05/08/2024,952.2,955.8,904.9,912.8
XPTUSD:CUR,02/08/2024,959.1,976.4,953.1,959
XPTUSD:CUR,01/08/2024,978.4,979.6,958.7,959
XPTUSD:CUR,31/07/2024,965,980.7,963,978.5
XPTUSD:CUR,30/07/2024,949.4,967.3,947.5,965.1
XPTUSD:CUR,29/07/2024,939.1,956.5,914,951.9
XPTUSD:CUR,26/07/2024,932.9,938.7,923.8,935.9
XPTUSD:CUR,25/07/2024,946.4,946.7,925.8,932.8
XPTUSD:CUR,24/07/2024,942.9,962.2,940.6,946.3
XPTUSD:CUR,23/07/2024,946.9,957.3,930,943.1
XPTUSD:CUR,22/07/2024,971,971.1,930,946.9
XPTUSD:CUR,19/07/2024,967.7,971.8,960,964
