Symbol,Date,Open,High,Low,Close
FAPP:COM,31/12/2024,29.2,29.2,29.2,29.2
FAPP:COM,30/12/2024,29.2,29.2,29.2,29.2
FAPP:COM,27/12/2024,29.2,29.2,29.2,29.2
FAPP:COM,24/12/2024,29.7,29.7,29.7,29.7
FAPP:COM,23/12/2024,29.7,29.7,29.7,29.7
FAPP:COM,20/12/2024,29.5,29.5,29.5,29.5
FAPP:COM,19/12/2024,29.1,29.1,29.1,29.1
FAPP:COM,18/12/2024,29.1,29.1,29.1,29.1
FAPP:COM,17/12/2024,29,29,29,29
FAPP:COM,16/12/2024,28.9,28.9,28.9,28.9
FAPP:COM,13/12/2024,28.8,28.8,28.8,28.8
FAPP:COM,12/12/2024,28.5,28.5,28.5,28.5
FAPP:COM,11/12/2024,28.3,28.3,28.3,28.3
FAPP:COM,10/12/2024,28.3,28.3,28.3,28.3
FAPP:COM,09/12/2024,28,28,28,28
FAPP:COM,06/12/2024,27.8,27.8,27.8,27.8
FAPP:COM,05/12/2024,27.8,27.8,27.8,27.8
FAPP:COM,04/12/2024,27.9,27.9,27.9,27.9
FAPP:COM,03/12/2024,27.6,27.6,27.6,27.6
FAPP:COM,02/12/2024,27.5,27.5,27.5,27.5
FAPP:COM,29/11/2024,27.4,27.4,27.4,27.4
FAPP:COM,28/11/2024,27.6,27.6,27.6,27.6
FAPP:COM,27/11/2024,27.6,27.6,27.6,27.6
FAPP:COM,26/11/2024,27.8,27.8,27.8,27.8
FAPP:COM,25/11/2024,28,28,28,28
FAPP:COM,22/11/2024,27.8,27.8,27.8,27.8
FAPP:COM,21/11/2024,28,28,28,28
FAPP:COM,20/11/2024,28.1,28.1,28.1,28.1
FAPP:COM,19/11/2024,28.2,28.2,28.2,28.2
FAPP:COM,18/11/2024,28.2,28.2,28.2,28.2
FAPP:COM,15/11/2024,28,28,28,28
FAPP:COM,14/11/2024,28.3,28.3,28.3,28.3
FAPP:COM,13/11/2024,28.3,28.3,28.3,28.3
FAPP:COM,12/11/2024,28.4,28.4,28.4,28.4
FAPP:COM,11/11/2024,28.6,28.6,28.6,28.6
FAPP:COM,08/11/2024,28.5,28.5,28.5,28.5
FAPP:COM,07/11/2024,28.6,28.6,28.6,28.6
FAPP:COM,06/11/2024,28.6,28.6,28.6,28.6
FAPP:COM,05/11/2024,28.7,28.7,28.7,28.7
FAPP:COM,04/11/2024,28.8,28.8,28.8,28.8
FAPP:COM,01/11/2024,28.9,28.9,28.9,28.9
FAPP:COM,31/10/2024,28.8,28.8,28.8,28.8
FAPP:COM,30/10/2024,29,29,29,29
FAPP:COM,29/10/2024,28.8,28.8,28.8,28.8
FAPP:COM,28/10/2024,28.8,28.8,28.8,28.8
FAPP:COM,25/10/2024,29,29,29,29
FAPP:COM,24/10/2024,28.9,28.9,28.9,28.9
