Symbol,Date,Open,High,Low,Close
NOSMFZ:COM,20/12/2024,76.39,76.39,76.39,76.39
NOSMFZ:COM,13/12/2024,73.62,73.62,73.62,73.62
NOSMFZ:COM,06/12/2024,79.33,79.33,79.33,79.33
NOSMFZ:COM,29/11/2024,80.99,80.99,80.99,80.99
NOSMFZ:COM,22/11/2024,83.33,83.33,83.33,83.33
NOSMFZ:COM,15/11/2024,83.02,83.02,83.02,83.02
NOSMFZ:COM,08/11/2024,78.44,78.44,78.44,78.44
NOSMFZ:COM,01/11/2024,82.18,82.18,82.18,82.18
NOSMFZ:COM,25/10/2024,71.49,71.49,71.49,71.49
NOSMFZ:COM,18/10/2024,81.9,81.9,81.9,81.9
NOSMFZ:COM,11/10/2024,73.69,73.69,73.69,73.69
NOSMFZ:COM,04/10/2024,78.32,78.32,78.32,78.32
NOSMFZ:COM,27/09/2024,71.97,71.97,71.97,71.97
NOSMFZ:COM,20/09/2024,73.31,73.31,73.31,73.31
NOSMFZ:COM,13/09/2024,74.99,74.99,74.99,74.99
NOSMFZ:COM,06/09/2024,79.65,79.65,79.65,79.65
NOSMFZ:COM,30/08/2024,81.97,81.97,81.97,81.97
NOSMFZ:COM,23/08/2024,81.81,81.81,81.81,81.81
NOSMFZ:COM,16/08/2024,87.29,87.29,87.29,87.29
NOSMFZ:COM,09/08/2024,87.7,87.7,87.7,87.7
NOSMFZ:COM,02/08/2024,84.87,84.87,84.87,84.87
NOSMFZ:COM,26/07/2024,84.98,84.98,84.98,84.98
NOSMFZ:COM,19/07/2024,70.13,70.13,70.13,70.13
NOSMFZ:COM,12/07/2024,81.48,81.48,81.48,81.48
NOSMFZ:COM,05/07/2024,86.4,86.4,86.4,86.4
NOSMFZ:COM,28/06/2024,95.01,95.01,95.01,95.01
NOSMFZ:COM,21/06/2024,89.3,89.3,89.3,89.3
NOSMFZ:COM,14/06/2024,85.45,85.45,85.45,85.45
NOSMFZ:COM,07/06/2024,79.34,79.34,79.34,79.34
NOSMFZ:COM,31/05/2024,92.19,92.19,92.19,92.19
NOSMFZ:COM,24/05/2024,84.5,84.5,84.5,84.5
NOSMFZ:COM,17/05/2024,91,91,91,91
NOSMFZ:COM,10/05/2024,82.51,82.51,82.51,82.51
NOSMFZ:COM,03/05/2024,78.78,78.78,78.78,78.78
NOSMFZ:COM,26/04/2024,92.45,92.45,92.45,92.45
NOSMFZ:COM,19/04/2024,85.45,85.45,85.45,85.45
NOSMFZ:COM,12/04/2024,89.08,89.08,89.08,89.08
NOSMFZ:COM,05/04/2024,90.57,90.57,90.57,90.57
NOSMFZ:COM,29/03/2024,88.74,88.74,88.74,88.74
NOSMFZ:COM,22/03/2024,91.11,91.11,91.11,91.11
NOSMFZ:COM,15/03/2024,78.18,78.18,78.18,78.18
NOSMFZ:COM,08/03/2024,93.94,93.94,93.94,93.94
NOSMFZ:COM,01/03/2024,88.62,88.62,88.62,88.62
NOSMFZ:COM,23/02/2024,82.34,82.34,82.34,82.34
NOSMFZ:COM,16/02/2024,88.46,88.46,88.46,88.46
NOSMFZ:COM,09/02/2024,83.77,83.77,83.77,83.77
NOSMFZ:COM,02/02/2024,83.99,83.99,83.99,83.99
NOSMFZ:COM,26/01/2024,86.97,86.97,86.97,86.97
NOSMFZ:COM,19/01/2024,91.95,91.95,91.95,91.95
NOSMFZ:COM,12/01/2024,88,88,88,88
NOSMFZ:COM,05/01/2024,100.85,100.85,100.85,100.85
NOSMFZ:COM,29/12/2023,85.07,85.07,85.07,85.07
NOSMFZ:COM,22/12/2023,99.84,99.84,99.84,99.84
NOSMFZ:COM,15/12/2023,95.73,95.73,95.73,95.73
NOSMFZ:COM,08/12/2023,93.61,93.61,93.61,93.61
NOSMFZ:COM,01/12/2023,94.68,94.68,94.68,94.68
NOSMFZ:COM,24/11/2023,92.69,92.69,92.69,92.69
NOSMFZ:COM,17/11/2023,92.71,92.71,92.71,92.71
NOSMFZ:COM,10/11/2023,92.39,92.39,92.39,92.39
NOSMFZ:COM,03/11/2023,95.63,95.63,95.63,95.63
NOSMFZ:COM,27/10/2023,91.98,91.98,91.98,91.98
NOSMFZ:COM,20/10/2023,89.64,89.64,89.64,89.64
NOSMFZ:COM,13/10/2023,87.99,87.99,87.99,87.99
NOSMFZ:COM,06/10/2023,88.59,88.59,88.59,88.59
NOSMFZ:COM,29/09/2023,90.03,90.03,90.03,90.03
NOSMFZ:COM,22/09/2023,87.84,87.84,87.84,87.84
NOSMFZ:COM,15/09/2023,88.72,88.72,88.72,88.72
NOSMFZ:COM,08/09/2023,96.35,96.35,96.35,96.35
NOSMFZ:COM,01/09/2023,90.97,90.97,90.97,90.97
NOSMFZ:COM,25/08/2023,89.16,89.16,89.16,89.16
NOSMFZ:COM,18/08/2023,89.35,89.35,89.35,89.35
NOSMFZ:COM,11/08/2023,89.83,89.83,89.83,89.83
NOSMFZ:COM,04/08/2023,96.95,96.95,96.95,96.95
NOSMFZ:COM,28/07/2023,96,96,96,96
NOSMFZ:COM,21/07/2023,105.03,105.03,105.03,105.03
NOSMFZ:COM,14/07/2023,93.06,93.06,93.06,93.06
NOSMFZ:COM,07/07/2023,111.66,111.66,111.66,111.66
NOSMFZ:COM,30/06/2023,101.2,101.2,101.2,101.2
NOSMFZ:COM,23/06/2023,101.43,101.43,101.43,101.43
NOSMFZ:COM,16/06/2023,98.91,98.91,98.91,98.91
