Symbol,Date,Open,High,Low,Close
SOLARNTR:IND,31/12/2024,33.5,33.95,33.12,33.23
SOLARNTR:IND,30/12/2024,33.61,33.72,33.12,33.13
SOLARNTR:IND,27/12/2024,34.14,34.25,33.6,33.67
SOLARNTR:IND,26/12/2024,33.85,34.66,33.85,34.37
SOLARNTR:IND,25/12/2024,34.43,34.43,34.43,34.43
SOLARNTR:IND,24/12/2024,34.07,34.67,34.01,34.43
SOLARNTR:IND,23/12/2024,32.65,34.07,32.65,34.06
SOLARNTR:IND,20/12/2024,32.26,33.81,32.02,33.65
SOLARNTR:IND,19/12/2024,33.66,33.7,32.5,32.5
SOLARNTR:IND,18/12/2024,34.59,35.24,33.36,33.99
SOLARNTR:IND,17/12/2024,34.27,35.07,34.1,34.5
SOLARNTR:IND,16/12/2024,34.75,34.82,33.99,34.25
SOLARNTR:IND,13/12/2024,34.81,35.06,34.62,34.99
SOLARNTR:IND,12/12/2024,35.59,35.75,34.88,34.94
SOLARNTR:IND,11/12/2024,36.06,36.09,35.08,35.6
SOLARNTR:IND,10/12/2024,36.4,36.41,35.5,35.61
SOLARNTR:IND,09/12/2024,35.16,37.66,35.16,36.81
SOLARNTR:IND,06/12/2024,35.5,35.87,35.1,35.1
SOLARNTR:IND,05/12/2024,36,36.27,35.32,35.33
SOLARNTR:IND,04/12/2024,37.37,37.4,35.89,36
SOLARNTR:IND,03/12/2024,37.6,37.6,36.78,36.87
SOLARNTR:IND,02/12/2024,36.7,37.88,36.7,37.45
SOLARNTR:IND,30/11/2024,36.78,36.78,36.78,36.78
SOLARNTR:IND,29/11/2024,36.99,37.28,36.78,36.78
SOLARNTR:IND,28/11/2024,36.54,36.54,36.54,36.54
SOLARNTR:IND,27/11/2024,35.85,36.84,35.75,36.53
SOLARNTR:IND,26/11/2024,36.18,36.18,35.11,35.37
SOLARNTR:IND,25/11/2024,34.99,36.36,34.81,36.05
SOLARNTR:IND,22/11/2024,34.11,34.73,33.86,34.66
SOLARNTR:IND,21/11/2024,34.73,34.96,34.05,34.34
SOLARNTR:IND,20/11/2024,34.02,34.68,33.79,34.59
SOLARNTR:IND,19/11/2024,34.19,34.49,33.97,34.09
SOLARNTR:IND,18/11/2024,34.6,34.78,33.89,34.61
SOLARNTR:IND,16/11/2024,34.5,34.5,34.5,34.5
SOLARNTR:IND,15/11/2024,35.2,35.95,34.28,34.5
SOLARNTR:IND,14/11/2024,35,36.07,34.3,35.57
SOLARNTR:IND,13/11/2024,35,35.55,34.48,34.84
SOLARNTR:IND,12/11/2024,35.8,35.8,34.42,34.65
SOLARNTR:IND,11/11/2024,36.26,36.4,35.67,36.06
SOLARNTR:IND,08/11/2024,37.09,37.41,35.74,36.1
SOLARNTR:IND,07/11/2024,36.97,37.77,36.97,37.15
SOLARNTR:IND,06/11/2024,42.17,42.27,36.3,36.85
SOLARNTR:IND,05/11/2024,41.24,42.1,40.59,42
SOLARNTR:IND,04/11/2024,39.33,41.71,39.33,41.4
SOLARNTR:IND,01/11/2024,39.69,40.31,39.5,39.5
SOLARNTR:IND,31/10/2024,38.75,39.99,38.75,39.75
SOLARNTR:IND,30/10/2024,38.2,39.28,38,38.75
SOLARNTR:IND,29/10/2024,39.99,39.99,37.95,38.34
SOLARNTR:IND,28/10/2024,39.06,40.17,38.75,39.51
SOLARNTR:IND,25/10/2024,37.21,39.38,37.21,39
SOLARNTR:IND,24/10/2024,37.18,37.35,36.85,37.23
SOLARNTR:IND,23/10/2024,37.1,37.84,36.85,36.85
SOLARNTR:IND,22/10/2024,36.97,37.51,36.6,36.61
SOLARNTR:IND,21/10/2024,37.01,37.55,36.64,36.9
SOLARNTR:IND,18/10/2024,37.07,37.65,37.07,37.21
SOLARNTR:IND,17/10/2024,37.7,37.85,37,37.03
SOLARNTR:IND,16/10/2024,37.51,37.85,37.48,37.65
SOLARNTR:IND,15/10/2024,38.5,38.7,37.35,37.55
SOLARNTR:IND,14/10/2024,39.32,39.33,38.59,38.87
SOLARNTR:IND,11/10/2024,38.31,39.53,38.31,39.38
SOLARNTR:IND,10/10/2024,40.11,40.11,38.47,38.62
SOLARNTR:IND,09/10/2024,39.99,40.43,39.52,40.19
SOLARNTR:IND,08/10/2024,41.61,41.88,40.31,40.62
SOLARNTR:IND,07/10/2024,42.08,43.42,42.08,42.3
SOLARNTR:IND,04/10/2024,41.9,42.83,41.64,42.15
SOLARNTR:IND,03/10/2024,41.97,42.05,41.45,41.55
SOLARNTR:IND,02/10/2024,42.7,42.91,42,42.32
SOLARNTR:IND,01/10/2024,43.2,43.2,41.98,42.5
SOLARNTR:IND,30/09/2024,43,43.79,42.83,43.11
SOLARNTR:IND,27/09/2024,42.25,43.72,42.25,42.98
SOLARNTR:IND,26/09/2024,40.65,42.56,40.65,42.12
SOLARNTR:IND,25/09/2024,41.5,41.5,40.4,40.7
SOLARNTR:IND,24/09/2024,41.1,41.79,40.91,41.49
SOLARNTR:IND,23/09/2024,40.8,41.02,40.34,40.72
SOLARNTR:IND,20/09/2024,41.16,41.23,40.22,40.5
SOLARNTR:IND,19/09/2024,41.65,43.06,41.01,41.14
SOLARNTR:IND,18/09/2024,41.7,43.14,41.21,41.62
SOLARNTR:IND,17/09/2024,40.79,41.68,40.5,41.59
SOLARNTR:IND,16/09/2024,40.87,40.91,39.8,40.82
SOLARNTR:IND,13/09/2024,40.44,40.7,40.08,40.57
SOLARNTR:IND,12/09/2024,40.75,40.76,39.69,40.04
SOLARNTR:IND,11/09/2024,38.22,40.88,38.22,40.72
SOLARNTR:IND,10/09/2024,38.1,38.32,37.35,38.32
SOLARNTR:IND,09/09/2024,39.08,39.2,38.01,38.17
SOLARNTR:IND,06/09/2024,40,40.28,38.81,39
SOLARNTR:IND,05/09/2024,40.4,40.63,39.98,40.01
SOLARNTR:IND,04/09/2024,39.59,40.39,39.55,40.29
SOLARNTR:IND,03/09/2024,41.3,41.3,39.61,39.64
SOLARNTR:IND,30/08/2024,41.1,41.42,40.83,41.26
SOLARNTR:IND,29/08/2024,41,41.4,40.6,40.6
SOLARNTR:IND,28/08/2024,41.6,41.6,40.54,40.7
SOLARNTR:IND,27/08/2024,41.8,41.8,41.04,41.52
SOLARNTR:IND,26/08/2024,42.2,42.9,41.61,41.61
SOLARNTR:IND,23/08/2024,40.37,42.26,40.29,42.26
SOLARNTR:IND,22/08/2024,40.9,40.97,39.99,40.1
SOLARNTR:IND,21/08/2024,40.84,41.18,40.64,41.08
SOLARNTR:IND,20/08/2024,41.41,41.65,40.53,40.74
SOLARNTR:IND,19/08/2024,40.99,41.66,40.68,41.1
SOLARNTR:IND,16/08/2024,41.28,41.28,40.34,40.75
