Symbol,Date,Open,High,Low,Close
S 1:COM,31/12/2024,985,996,983.75,994.8574
S 1:COM,30/12/2024,992,994.75,974.75,982
S 1:COM,27/12/2024,988,989,979.25,980
S 1:COM,26/12/2024,979,989.75,975,988
S 1:COM,25/12/2024,973.821,973.8551,973.6883,973.8057
S 1:COM,24/12/2024,972,975.75,971.5,975.25
S 1:COM,23/12/2024,972.25,975.5,968,969.5
S 1:COM,20/12/2024,969.25,977.5,968.5,974.5
S 1:COM,19/12/2024,954.25,964.75,954,963
S 1:COM,18/12/2024,964.5,969,950.25,951.75
S 1:COM,17/12/2024,976.75,979.25,970.5,976.75
S 1:COM,16/12/2024,992.5,993.25,981,982
S 1:COM,13/12/2024,990.5,992,986,988.25
S 1:COM,12/12/2024,996,997.5,988.5,995.75
S 1:COM,11/12/2024,991.25,1001,990.75,995.5
S 1:COM,10/12/2024,993.75,1000,990.5,994.75
S 1:COM,09/12/2024,998,1003.5,985.75,990
S 1:COM,06/12/2024,995.5,997.5,987.75,993.75
S 1:COM,05/12/2024,987,994.75,986.5,993.75
S 1:COM,04/12/2024,986,987.5,980.5,983.75
S 1:COM,03/12/2024,996,999,987,991.75
S 1:COM,02/12/2024,984.25,986.5,977.5,985.25
S 1:COM,29/11/2024,993.25,998,982.75,989.5
S 1:COM,27/11/2024,989.75,994.25,986,988.75
S 1:COM,26/11/2024,987,987,976.75,983.5
S 1:COM,25/11/2024,988.5,990.75,983,985.75
S 1:COM,22/11/2024,983.5,985.25,976.75,983.5
S 1:COM,21/11/2024,990.5,990.5,976.25,977.75
S 1:COM,20/11/2024,991.75,995.25,985.25,990.5
S 1:COM,19/11/2024,1004.25,1009.5,995.25,998.5
S 1:COM,18/11/2024,990.75,1011.5,990.25,1009.75
S 1:COM,15/11/2024,995.25,1005.25,992.5,998.5
S 1:COM,14/11/2024,1007.25,1008,986.25,987.5
S 1:COM,13/11/2024,1009,1009.5,1001.75,1007.75
S 1:COM,12/11/2024,1020.25,1021.75,1003.75,1010.5
S 1:COM,11/11/2024,1034.5,1036.75,1019.5,1022.25
S 1:COM,08/11/2024,1011,1030,1006,1016.75
S 1:COM,07/11/2024,997.5,1015.5,989.75,1015.5
S 1:COM,06/11/2024,978,997.5,977.5,994.5
S 1:COM,05/11/2024,993.25,996.75,991,993.75
S 1:COM,04/11/2024,993.5,995,982.5,987.25
S 1:COM,01/11/2024,990.5,997.25,978.25,982.5
S 1:COM,31/10/2024,983,985.5,978,982.5
S 1:COM,30/10/2024,970.25,979,968,976.5
S 1:COM,29/10/2024,976.5,978,965,965.25
S 1:COM,28/10/2024,981,983,973.5,974
S 1:COM,25/10/2024,992,993.75,984,987.75
S 1:COM,24/10/2024,1010.5,1012.25,994.25,996.25
S 1:COM,23/10/2024,988,999.75,988,997.5
S 1:COM,22/10/2024,981.5,997,980.75,991.75
S 1:COM,21/10/2024,973.5,983.75,972,981
S 1:COM,18/10/2024,990.75,993,969.25,970
S 1:COM,17/10/2024,973.75,991.25,968.25,988.75
S 1:COM,16/10/2024,998,1001.5,978.25,980
S 1:COM,15/10/2024,987,993.75,981,991
S 1:COM,14/10/2024,1000.25,1008.5,995.5,996
S 1:COM,11/10/2024,1018.5,1023.75,1004,1005.5
S 1:COM,10/10/2024,1017.25,1018.5,1011.75,1014.75
S 1:COM,09/10/2024,1018,1024,1011.5,1020.25
S 1:COM,08/10/2024,1020,1022.25,1011.5,1016.25
S 1:COM,07/10/2024,1031.75,1039,1030.75,1034
S 1:COM,04/10/2024,1047.75,1052.5,1036.25,1037.75
S 1:COM,03/10/2024,1044,1056.25,1041.75,1046
S 1:COM,02/10/2024,1045.5,1059.25,1043.5,1056
S 1:COM,01/10/2024,1046.25,1065.5,1046,1057.25
S 1:COM,30/09/2024,1058,1069.75,1056.25,1057
S 1:COM,27/09/2024,1041,1069.5,1039.5,1065.75
S 1:COM,26/09/2024,1059.5,1063.75,1039.75,1041
S 1:COM,25/09/2024,1034.75,1054.5,1034,1053.25
S 1:COM,24/09/2024,1052.25,1058.25,1038.75,1042.25
S 1:COM,23/09/2024,1025.25,1041.75,1024.75,1039.25
S 1:COM,20/09/2024,1006.25,1014.25,1001.25,1012
S 1:COM,19/09/2024,1015.25,1018.25,1009,1013.25
S 1:COM,18/09/2024,1017,1021,1006.25,1014
S 1:COM,17/09/2024,1008.25,1011,1002.75,1006
S 1:COM,16/09/2024,1004.5,1012,1001,1004.5
S 1:COM,13/09/2024,1017.5,1021,1002.25,1006.25
S 1:COM,12/09/2024,1004.75,1017.25,997.25,1010.75
S 1:COM,11/09/2024,1003.5,1005.5,995.5,1000.5
S 1:COM,10/09/2024,1005.75,1006,995.75,997.25
S 1:COM,09/09/2024,986.2993,1004.2806,985.8015,998.9208
S 1:COM,06/09/2024,1006.0843,1015.4553,986.7622,1002.3285
S 1:COM,05/09/2024,1004.0941,1009.0992,994.6601,1009.0216
S 1:COM,04/09/2024,995.5902,1006.3741,984.7398,1005.7704
S 1:COM,03/09/2024,981.7283,1007.1415,976.9927,996.5218
S 1:COM,30/08/2024,974.3182,988.6999,969.5782,980.0036
S 1:COM,29/08/2024,957.2956,975.2807,957.0716,972.7164
S 1:COM,28/08/2024,968.7646,969.562,953.2836,953.3055
S 1:COM,27/08/2024,959.0914,971.4071,957.3211,967.5504
