Symbol,Date,Open,High,Low,Close
TEA:COM,14/12/2024,183.74,183.74,183.74,183.74
TEA:COM,30/11/2024,199.17,199.17,199.17,199.17
TEA:COM,23/11/2024,204.17,204.17,204.17,204.17
TEA:COM,16/11/2024,215.69,215.69,215.69,215.69
TEA:COM,09/11/2024,217.97,217.97,217.97,217.97
TEA:COM,01/11/2024,226.19,226.19,226.19,226.19
TEA:COM,26/10/2024,227.41,227.41,227.41,227.41
TEA:COM,19/10/2024,235.24,235.24,235.24,235.24
TEA:COM,12/10/2024,163.92,163.92,163.92,163.92
TEA:COM,05/10/2024,237.75,237.75,237.75,237.75
TEA:COM,28/09/2024,239.02,239.02,239.02,239.02
TEA:COM,21/09/2024,245.48,245.48,245.48,245.48
TEA:COM,14/09/2024,237.85,237.85,237.85,237.85
TEA:COM,07/09/2024,237.47,237.47,237.47,237.47
TEA:COM,31/08/2024,238.27,238.27,238.27,238.27
TEA:COM,24/08/2024,229.58,229.58,229.58,229.58
TEA:COM,17/08/2024,225.4,225.4,225.4,225.4
TEA:COM,10/08/2024,216.66,216.66,216.66,216.66
TEA:COM,03/08/2024,212.74,212.74,212.74,212.74
TEA:COM,27/07/2024,209.11,209.11,209.11,209.11
TEA:COM,13/07/2024,222.16,222.16,222.16,222.16
TEA:COM,06/07/2024,225.4,225.4,225.4,225.4
TEA:COM,29/06/2024,223.94,223.94,223.94,223.94
TEA:COM,22/06/2024,223.46,223.46,223.46,223.46
TEA:COM,15/06/2024,218.05,218.05,218.05,218.05
TEA:COM,08/06/2024,210.91,210.91,210.91,210.91
TEA:COM,01/06/2024,201.73,201.73,201.73,201.73
TEA:COM,25/05/2024,206.85,206.85,206.85,206.85
TEA:COM,18/05/2024,194.34,194.34,194.34,194.34
TEA:COM,11/05/2024,188.74,188.74,188.74,188.74
TEA:COM,04/05/2024,192.85,192.85,192.85,192.85
TEA:COM,27/04/2024,182.67,182.67,182.67,182.67
TEA:COM,20/04/2024,168.66,168.66,168.66,168.66
TEA:COM,13/04/2024,154.13,154.13,154.13,154.13
TEA:COM,06/04/2024,135.27,135.27,135.27,135.27
TEA:COM,30/03/2024,111.05,111.05,111.05,111.05
TEA:COM,23/03/2024,121.98,121.98,121.98,121.98
TEA:COM,16/03/2024,115.94,115.94,115.94,115.94
TEA:COM,09/03/2024,115.46,115.46,115.46,115.46
TEA:COM,02/03/2024,127.65,127.65,127.65,127.65
TEA:COM,24/02/2024,117.49,117.49,117.49,117.49
TEA:COM,17/02/2024,120.09,120.09,120.09,120.09
TEA:COM,10/02/2024,119.86,119.86,119.86,119.86
TEA:COM,03/02/2024,123.42,123.42,123.42,123.42
TEA:COM,27/01/2024,126.02,126.02,126.02,126.02
TEA:COM,20/01/2024,132.4,132.4,132.4,132.4
TEA:COM,13/01/2024,136.89,136.89,136.89,136.89
TEA:COM,06/01/2024,142.7,142.7,142.7,142.7
TEA:COM,30/12/2023,151.73,151.73,151.73,151.73
TEA:COM,23/12/2023,154.27,154.27,154.27,154.27
TEA:COM,16/12/2023,159.23,159.23,159.23,159.23
TEA:COM,09/12/2023,164.97,164.97,164.97,164.97
TEA:COM,02/12/2023,169.7,169.7,169.7,169.7
TEA:COM,25/11/2023,171.97,171.97,171.97,171.97
TEA:COM,18/11/2023,175.9,175.9,175.9,175.9
TEA:COM,11/11/2023,177.27,177.27,177.27,177.27
TEA:COM,04/11/2023,146.63,146.63,146.63,146.63
TEA:COM,28/10/2023,107.9,107.9,107.9,107.9
TEA:COM,21/10/2023,175.21,175.21,175.21,175.21
TEA:COM,14/10/2023,174.48,174.48,174.48,174.48
TEA:COM,07/10/2023,175.15,175.15,175.15,175.15
TEA:COM,30/09/2023,176.91,176.91,176.91,176.91
TEA:COM,23/09/2023,176.15,176.15,176.15,176.15
TEA:COM,16/09/2023,172.8,172.8,172.8,172.8
TEA:COM,09/09/2023,172.68,172.68,172.68,172.68
TEA:COM,02/09/2023,175.82,175.82,175.82,175.82
TEA:COM,26/08/2023,175.69,175.69,175.69,175.69
TEA:COM,19/08/2023,173.17,173.17,173.17,173.17
TEA:COM,12/08/2023,176.29,176.29,176.29,176.29
TEA:COM,05/08/2023,177.1,177.1,177.1,177.1
TEA:COM,29/07/2023,178.81,178.81,178.81,178.81
TEA:COM,22/07/2023,184.86,184.86,184.86,184.86
TEA:COM,15/07/2023,184.87,184.87,184.87,184.87
TEA:COM,08/07/2023,185.6,185.6,185.6,185.6
TEA:COM,01/07/2023,184.77,184.77,184.77,184.77
TEA:COM,24/06/2023,182.61,182.61,182.61,182.61
TEA:COM,17/06/2023,183.02,183.02,183.02,183.02
TEA:COM,10/06/2023,178,178,178,178
TEA:COM,03/06/2023,165.81,165.81,165.81,165.81
TEA:COM,27/05/2023,165.55,165.55,165.55,165.55
TEA:COM,20/05/2023,163.27,163.27,163.27,163.27
TEA:COM,13/05/2023,171.43,171.43,171.43,171.43
TEA:COM,06/05/2023,164.09,164.09,164.09,164.09
TEA:COM,29/04/2023,175.58,175.58,175.58,175.58
TEA:COM,22/04/2023,178.97,178.97,178.97,178.97
TEA:COM,15/04/2023,169.25,169.25,169.25,169.25
TEA:COM,08/04/2023,164.67,164.67,164.67,164.67
TEA:COM,01/04/2023,144.65,144.65,144.65,144.65
TEA:COM,25/03/2023,135.05,135.05,135.05,135.05
TEA:COM,18/03/2023,129.4,129.4,129.4,129.4
TEA:COM,11/03/2023,136.32,136.32,136.32,136.32
TEA:COM,04/03/2023,133.22,133.22,133.22,133.22
TEA:COM,25/02/2023,133.2,133.2,133.2,133.2
TEA:COM,18/02/2023,140.55,140.55,140.55,140.55
TEA:COM,11/02/2023,139.53,139.53,139.53,139.53
TEA:COM,04/02/2023,140.07,140.07,140.07,140.07
TEA:COM,28/01/2023,145.9,145.9,145.9,145.9
TEA:COM,21/01/2023,144.23,144.23,144.23,144.23
TEA:COM,14/01/2023,149.5,149.5,149.5,149.5
TEA:COM,07/01/2023,152.23,152.23,152.23,152.23
TEA:COM,31/12/2022,162.64,162.64,162.64,162.64
TEA:COM,24/12/2022,164.34,164.34,164.34,164.34
TEA:COM,17/12/2022,167.15,167.15,167.15,167.15
TEA:COM,10/12/2022,173.53,173.53,173.53,173.53
TEA:COM,03/12/2022,176.94,176.94,176.94,176.94
TEA:COM,26/11/2022,182.03,182.03,182.03,182.03
TEA:COM,19/11/2022,187.39,187.39,187.39,187.39
TEA:COM,12/11/2022,189.15,189.15,189.15,189.15
TEA:COM,05/11/2022,188.43,188.43,188.43,188.43
TEA:COM,29/10/2022,191.19,191.19,191.19,191.19
TEA:COM,22/10/2022,189.41,189.41,189.41,189.41
TEA:COM,15/10/2022,188.02,188.02,188.02,188.02
TEA:COM,08/10/2022,115.28,115.28,115.28,115.28
TEA:COM,01/10/2022,186.25,186.25,186.25,186.25
TEA:COM,24/09/2022,186.92,186.92,186.92,186.92
TEA:COM,17/09/2022,192.73,192.73,192.73,192.73
TEA:COM,10/09/2022,204.96,204.96,204.96,204.96
TEA:COM,03/09/2022,203.81,203.81,203.81,203.81
TEA:COM,27/08/2022,204.49,204.49,204.49,204.49
TEA:COM,20/08/2022,202.51,202.51,202.51,202.51
TEA:COM,13/08/2022,200.45,200.45,200.45,200.45
TEA:COM,06/08/2022,203.43,203.43,203.43,203.43
