Symbol,Date,Open,High,Low,Close
LMSNDS03:COM,30/12/2024,29150,29295,29050,29295
LMSNDS03:COM,27/12/2024,29000,29000,28810,28810
LMSNDS03:COM,24/12/2024,28800,28818,28700,28818
LMSNDS03:COM,23/12/2024,29000,29000,28542,28542
LMSNDS03:COM,20/12/2024,28605,28689,28600,28689
LMSNDS03:COM,19/12/2024,28600,28600,28399,28399
LMSNDS03:COM,18/12/2024,29250,29250,29116,29116
LMSNDS03:COM,17/12/2024,29100,29200,29047,29047
LMSNDS03:COM,16/12/2024,29225,29246,29075,29246
LMSNDS03:COM,13/12/2024,29550,29595,29097,29097
LMSNDS03:COM,12/12/2024,29950,29950,29534,29534
LMSNDS03:COM,11/12/2024,29900,29957,29850,29957
LMSNDS03:COM,10/12/2024,29900,29900,29725,29776
LMSNDS03:COM,09/12/2024,29350,29918,29205,29918
LMSNDS03:COM,06/12/2024,29200,29200,29150,29151
LMSNDS03:COM,05/12/2024,29150,29175,29125,29165
LMSNDS03:COM,04/12/2024,28875,29034,28750,29034
LMSNDS03:COM,03/12/2024,28850,28850,28700,28824
LMSNDS03:COM,02/12/2024,28650,28650,28550,28573
LMSNDS03:COM,29/11/2024,28650,28913,28450,28913
LMSNDS03:COM,28/11/2024,27550,28192,27475,28192
LMSNDS03:COM,27/11/2024,28250,28250,27950,27950
LMSNDS03:COM,26/11/2024,29050,29050,28904,28904
LMSNDS03:COM,25/11/2024,29250,29250,28976,28976
LMSNDS03:COM,22/11/2024,28800,28914,28700,28914
LMSNDS03:COM,21/11/2024,28950,28950,28750,28750
LMSNDS03:COM,20/11/2024,29400,29400,29026,29026
LMSNDS03:COM,19/11/2024,29000,29000,28880,28880
LMSNDS03:COM,18/11/2024,28900,29023,28850,29023
LMSNDS03:COM,15/11/2024,29400,29400,28742,28742
LMSNDS03:COM,14/11/2024,29250,29250,28932,28932
LMSNDS03:COM,13/11/2024,29950,29950,29663,29663
LMSNDS03:COM,12/11/2024,30200,30208,30145,30208
LMSNDS03:COM,11/11/2024,31900,31900,31279,31279
LMSNDS03:COM,08/11/2024,31700,31700,31648,31648
LMSNDS03:COM,07/11/2024,31850,31850,31817,31817
LMSNDS03:COM,06/11/2024,31475,31475,31347,31347
LMSNDS03:COM,05/11/2024,32250,32349,32150,32349
LMSNDS03:COM,04/11/2024,32200,32200,32055,32150
LMSNDS03:COM,01/11/2024,31500,31724,31500,31724
LMSNDS03:COM,31/10/2024,31400,31400,31213,31213
LMSNDS03:COM,30/10/2024,31050,31050,30950,30950
LMSNDS03:COM,29/10/2024,31375,31375,31084,31084
LMSNDS03:COM,28/10/2024,31600,31600,31429,31429
LMSNDS03:COM,25/10/2024,31250,31325,31250,31325
LMSNDS03:COM,24/10/2024,31375,31375,31135,31135
LMSNDS03:COM,23/10/2024,31200,31200,30906,30906
LMSNDS03:COM,22/10/2024,31150,31150,30907,30907
LMSNDS03:COM,21/10/2024,31650,31650,31016,31016
LMSNDS03:COM,18/10/2024,31700,31700,31313,31313
LMSNDS03:COM,17/10/2024,31450,31450,31218,31218
LMSNDS03:COM,16/10/2024,32700,32700,32150,32150
LMSNDS03:COM,15/10/2024,32050,32396,32045,32396
LMSNDS03:COM,14/10/2024,32750,32750,32445,32445
LMSNDS03:COM,11/10/2024,33250,33250,33212,33212
LMSNDS03:COM,10/10/2024,32800,32817,32775,32817
LMSNDS03:COM,09/10/2024,32650,32650,32485,32485
LMSNDS03:COM,08/10/2024,33250,33250,32867,32867
LMSNDS03:COM,07/10/2024,34150,34150,33905,33905
LMSNDS03:COM,04/10/2024,33900,33900,33750,33805
LMSNDS03:COM,03/10/2024,33925,33925,33709,33709
LMSNDS03:COM,02/10/2024,34275,34275,33893,33893
LMSNDS03:COM,01/10/2024,33550,33879,33400,33879
LMSNDS03:COM,30/09/2024,33300,33458,33300,33458
LMSNDS03:COM,27/09/2024,32450,32913,32350,32913
LMSNDS03:COM,26/09/2024,32500,32500,32435,32435
LMSNDS03:COM,25/09/2024,32300,32300,32100,32102
LMSNDS03:COM,24/09/2024,32700,32700,32500,32689
LMSNDS03:COM,23/09/2024,32150,32295,32050,32295
LMSNDS03:COM,20/09/2024,32275,32275,32127,32127
LMSNDS03:COM,19/09/2024,32000,32000,31823,31823
LMSNDS03:COM,18/09/2024,31750,31750,31594,31594
LMSNDS03:COM,17/09/2024,31900,31900,31850,31855
LMSNDS03:COM,16/09/2024,32000,32000,31900,31929
LMSNDS03:COM,13/09/2024,31800,31850,31800,31805
LMSNDS03:COM,12/09/2024,31550,31550,31350,31406
LMSNDS03:COM,11/09/2024,31150,31150,30944,30944
LMSNDS03:COM,10/09/2024,30850,30850,30550,30550
LMSNDS03:COM,09/09/2024,31100,31100,30818,30818
LMSNDS03:COM,06/09/2024,31500,31500,31024,31024
LMSNDS03:COM,05/09/2024,30500,30771,30150,30771
LMSNDS03:COM,04/09/2024,30300,30499,30200,30499
LMSNDS03:COM,03/09/2024,30850,30895,30745,30745
LMSNDS03:COM,02/09/2024,31500,31500,31200,31384
LMSNDS03:COM,30/08/2024,32550,32550,32346,32346
LMSNDS03:COM,29/08/2024,32500,32500,32345,32345
LMSNDS03:COM,28/08/2024,32450,32605,32375,32605
LMSNDS03:COM,27/08/2024,33050,33244,32950,33244
LMSNDS03:COM,23/08/2024,32950,32950,32800,32912
