Symbol,Date,Open,High,Low,Close
W 1:COM,31/12/2024,548.7599,552.6726,546.5738,548.5458
W 1:COM,30/12/2024,551.25,554.75,544.5,548.25
W 1:COM,27/12/2024,541.5,547.75,538,546.5
W 1:COM,26/12/2024,534.75,544,533.75,541
W 1:COM,25/12/2024,535.0376,535.0436,534.9715,535.0436
W 1:COM,24/12/2024,539.5,539.5,533.5,534.75
W 1:COM,23/12/2024,536,544,534.5,540.5
W 1:COM,20/12/2024,533.25,536,529.25,533
W 1:COM,19/12/2024,535,535.25,530.5,533
W 1:COM,18/12/2024,547.25,554.25,540,541.25
W 1:COM,17/12/2024,550.5,550.75,542.5,545
W 1:COM,16/12/2024,558.5,558.75,548.5,550
W 1:COM,13/12/2024,559,560,551.25,552.25
W 1:COM,12/12/2024,563.5,566.25,556.25,558.5
W 1:COM,11/12/2024,565.25,569.25,562.25,563.25
W 1:COM,10/12/2024,557.75,563.5,555,561.75
W 1:COM,09/12/2024,541.25,541.25,541.25,541.25
W 1:COM,06/12/2024,544.75,546,542.5,542.5
W 1:COM,05/12/2024,535.5,546.75,535.5,546.75
W 1:COM,04/12/2024,536,538,535.75,538
W 1:COM,03/12/2024,542.5,544.75,536.75,536.75
W 1:COM,02/12/2024,531.25,539.5,531.25,537.5
W 1:COM,29/11/2024,535,545.25,531.75,532.25
W 1:COM,27/11/2024,539.5,539.5,531,537.75
W 1:COM,26/11/2024,542.5,542.75,533.5,539.5
W 1:COM,25/11/2024,534.5,537,529.5,535.75
W 1:COM,22/11/2024,549,549.25,542.5,544.25
W 1:COM,21/11/2024,556,557,547.75,548.75
W 1:COM,20/11/2024,548.5,555.25,545.5,552.5
W 1:COM,19/11/2024,551.5,558.75,548.75,549.75
W 1:COM,18/11/2024,541,551,540,547.25
W 1:COM,15/11/2024,531.5,541.25,530.75,536.5
W 1:COM,14/11/2024,539.25,539.5,528,530.25
W 1:COM,13/11/2024,545.5,546.5,536.25,541
W 1:COM,12/11/2024,567,568.5,549,552.25
