Symbol,Date,Open,High,Low,Close
GWETR:IND,31/12/2024,14.92,14.95,14.8,14.8
GWETR:IND,30/12/2024,14.83,14.89,14.75,14.81
GWETR:IND,27/12/2024,15,15.02,14.88,14.9
GWETR:IND,26/12/2024,15,15.14,15,15.09
GWETR:IND,25/12/2024,15.07,15.07,15.07,15.07
GWETR:IND,24/12/2024,15.04,15.14,14.99,15.07
GWETR:IND,23/12/2024,14.98,15.01,14.93,15
GWETR:IND,20/12/2024,14.76,15.1,14.76,14.95
GWETR:IND,19/12/2024,14.92,14.97,14.8,14.8
GWETR:IND,18/12/2024,15.29,15.35,14.8,14.81
GWETR:IND,17/12/2024,15.07,15.23,15.07,15.2
GWETR:IND,16/12/2024,15.26,15.34,15.22,15.24
GWETR:IND,13/12/2024,15.38,15.43,15.3,15.32
GWETR:IND,12/12/2024,15.54,15.54,15.38,15.38
GWETR:IND,11/12/2024,15.61,15.65,15.52,15.63
GWETR:IND,10/12/2024,15.68,15.69,15.54,15.6
GWETR:IND,09/12/2024,15.79,15.86,15.71,15.71
GWETR:IND,06/12/2024,15.81,15.85,15.64,15.68
GWETR:IND,05/12/2024,15.8,15.91,15.76,15.76
GWETR:IND,04/12/2024,15.82,15.86,15.51,15.51
GWETR:IND,03/12/2024,15.97,15.97,15.88,15.9
GWETR:IND,02/12/2024,16.04,16.07,15.93,16.01
GWETR:IND,30/11/2024,16.13,16.13,16.13,16.13
GWETR:IND,29/11/2024,15.98,16.13,15.98,16.13
GWETR:IND,28/11/2024,15.91,15.91,15.91,15.91
GWETR:IND,27/11/2024,15.86,15.96,15.86,15.9
GWETR:IND,26/11/2024,13,15.87,13,15.72
GWETR:IND,25/11/2024,15.82,15.93,15.82,15.84
GWETR:IND,22/11/2024,15.58,15.67,15.57,15.65
GWETR:IND,21/11/2024,15.53,15.62,15.53,15.57
GWETR:IND,20/11/2024,15.56,15.57,15.49,15.55
GWETR:IND,19/11/2024,15.52,15.65,15.5,15.65
GWETR:IND,18/11/2024,15.61,15.84,15.61,15.75
GWETR:IND,15/11/2024,15.77,15.86,15.66,15.66
GWETR:IND,14/11/2024,15.65,15.69,15.6,15.63
GWETR:IND,13/11/2024,15.59,15.71,15.52,15.55
GWETR:IND,12/11/2024,15.68,15.72,15.37,15.39
GWETR:IND,11/11/2024,16.01,16.03,15.9,15.94
GWETR:IND,08/11/2024,16.02,16.04,15.81,15.94
GWETR:IND,07/11/2024,16.22,16.26,16.08,16.14
GWETR:IND,06/11/2024,15.85,15.9,15.7,15.82
GWETR:IND,05/11/2024,16.68,16.86,16.65,16.86
GWETR:IND,04/11/2024,16.81,16.93,16.78,16.81
GWETR:IND,01/11/2024,16.74,16.75,16.58,16.58
GWETR:IND,31/10/2024,16.67,16.7,16.6,16.64
GWETR:IND,30/10/2024,16.72,16.84,16.7,16.71
GWETR:IND,29/10/2024,16.91,16.91,16.74,16.75
GWETR:IND,28/10/2024,17.1,17.13,17.07,17.09
GWETR:IND,25/10/2024,17.18,17.2,17.02,17.02
GWETR:IND,24/10/2024,17.12,17.14,17,17.06
GWETR:IND,23/10/2024,16.97,17.07,16.92,16.99
GWETR:IND,22/10/2024,17.08,17.14,17.01,17.01
GWETR:IND,21/10/2024,17.28,17.33,17.17,17.2
GWETR:IND,18/10/2024,17.27,17.34,17.25,17.34
GWETR:IND,17/10/2024,17.25,17.3,17.17,17.18
