Symbol,Date,Open,High,Low,Close
LMZSDS03:COM,31/12/2024,3022.5,3045.5,2970.5,2989.5
LMZSDS03:COM,30/12/2024,3034.5,3064.5,3019,3021
LMZSDS03:COM,27/12/2024,3042.5,3052,3010.5,3041
LMZSDS03:COM,24/12/2024,2997.5,3056,2995,3040
LMZSDS03:COM,23/12/2024,2978,3030,2975,3002
LMZSDS03:COM,20/12/2024,2974,2999,2951.5,2975
LMZSDS03:COM,19/12/2024,2976,3001,2953.5,2971
LMZSDS03:COM,18/12/2024,3033,3040,2992,3003
LMZSDS03:COM,17/12/2024,3056,3070,3017,3035
LMZSDS03:COM,16/12/2024,3089.5,3101.5,3045,3048
LMZSDS03:COM,13/12/2024,3074.5,3122,3062,3088
LMZSDS03:COM,12/12/2024,3115.5,3145,3065,3078
LMZSDS03:COM,11/12/2024,3146.5,3171,3112,3119
LMZSDS03:COM,10/12/2024,3122,3153.5,3105,3150
LMZSDS03:COM,09/12/2024,3073.5,3154.5,3064,3128
LMZSDS03:COM,06/12/2024,3117.5,3133.5,3057,3073
LMZSDS03:COM,05/12/2024,3088.5,3130.5,3074.5,3112
LMZSDS03:COM,04/12/2024,3098,3115,3076.5,3090
LMZSDS03:COM,03/12/2024,3088.5,3108.5,3045.5,3102
LMZSDS03:COM,02/12/2024,3103.5,3116,3067,3085
LMZSDS03:COM,29/11/2024,3055,3118.5,3046.5,3117
LMZSDS03:COM,28/11/2024,3147.5,3174,3027,3051
LMZSDS03:COM,27/11/2024,3078.5,3154,3059.5,3145
LMZSDS03:COM,26/11/2024,3005.5,3100.5,3002,3072
LMZSDS03:COM,25/11/2024,2988.5,3032.5,2983,3021
LMZSDS03:COM,22/11/2024,3000,3016,2965.5,2976
LMZSDS03:COM,21/11/2024,2980.5,3022.5,2967,3005
LMZSDS03:COM,20/11/2024,2967,3007,2958,2981
LMZSDS03:COM,19/11/2024,2955,2986.5,2942,2961
LMZSDS03:COM,18/11/2024,2955,2984,2920,2961
LMZSDS03:COM,15/11/2024,2949,3029,2939,2948
LMZSDS03:COM,14/11/2024,2966,2969.5,2868.5,2935
LMZSDS03:COM,13/11/2024,2945.5,2990.5,2906.5,2970
LMZSDS03:COM,12/11/2024,2984,2989.5,2916.5,2949
LMZSDS03:COM,11/11/2024,2992.5,3028,2971,2979
LMZSDS03:COM,08/11/2024,3068.5,3073.5,2972,2989
LMZSDS03:COM,07/11/2024,2984.5,3093,2983.5,3068
LMZSDS03:COM,06/11/2024,3073.5,3086.5,2963,2968
LMZSDS03:COM,05/11/2024,3032,3119,3024,3111
LMZSDS03:COM,04/11/2024,3081,3107.5,3019,3038
LMZSDS03:COM,01/11/2024,3044.5,3091,3025,3070
LMZSDS03:COM,31/10/2024,3092.5,3132.5,3018.5,3039
LMZSDS03:COM,30/10/2024,3130.5,3141,3077.5,3092
LMZSDS03:COM,29/10/2024,3143,3189,3092.5,3131
LMZSDS03:COM,28/10/2024,3085,3159.5,3046,3157
LMZSDS03:COM,25/10/2024,3186.5,3187.5,3037.5,3107
LMZSDS03:COM,24/10/2024,3159,3296,3158,3184
LMZSDS03:COM,23/10/2024,3147.5,3173.5,3109,3161
LMZSDS03:COM,22/10/2024,3066.5,3150,3064,3148
LMZSDS03:COM,21/10/2024,3098.5,3146.5,3066.5,3068
LMZSDS03:COM,18/10/2024,3053.5,3099.5,3036.5,3091
LMZSDS03:COM,17/10/2024,3065.5,3086.5,2980.5,3049
LMZSDS03:COM,16/10/2024,3053.5,3108.5,3042,3066
LMZSDS03:COM,15/10/2024,3091.5,3093.5,2993.5,3051
LMZSDS03:COM,14/10/2024,3125,3142.5,3041.5,3094
LMZSDS03:COM,11/10/2024,3099.5,3159.5,3083.5,3154
LMZSDS03:COM,10/10/2024,3025,3102.5,3004.5,3099
LMZSDS03:COM,09/10/2024,3081,3113.5,2982.5,3031
LMZSDS03:COM,08/10/2024,3177,3193.5,3068.5,3081
LMZSDS03:COM,07/10/2024,3176,3193,3158.5,3181
LMZSDS03:COM,04/10/2024,3133.5,3200,3124.5,3176
LMZSDS03:COM,03/10/2024,3193.5,3212.5,3105.5,3120
LMZSDS03:COM,02/10/2024,3143,3201,3141.5,3198
LMZSDS03:COM,01/10/2024,3080,3155,3079,3144
LMZSDS03:COM,30/09/2024,3106.5,3133,3079,3084
LMZSDS03:COM,27/09/2024,3089,3089.5,3086,3089.5
LMZSDS03:COM,26/09/2024,3079,3099,3074,3099
LMZSDS03:COM,25/09/2024,3002,3002,2997,2997.5
LMZSDS03:COM,24/09/2024,2975,3009.5,2973,3009.5
LMZSDS03:COM,23/09/2024,2875,2885,2871,2885
LMZSDS03:COM,20/09/2024,2904,2904,2874,2874
LMZSDS03:COM,19/09/2024,2934,2946.5,2929.5,2929.5
LMZSDS03:COM,18/09/2024,2922,2922,2886,2886
LMZSDS03:COM,17/09/2024,2927,2927,2923,2926
LMZSDS03:COM,16/09/2024,2935,2946,2934,2946
